packagetype,p2p_zone,weight_group,shipments,carrier,assigned_avg,usps_avg,fedex_avg,p2p_avg
PIZZA BOX 20x16x1,false,1-3,57830,USPS,6.49,6.49,10.44,
PIZZA BOX 20x16x1,false,4-6,536,FEDEX,10.72,9.82,10.72,
PIZZA BOX 20x16x1,false,7-10,9,FEDEX,10.24,10.14,10.24,
PIZZA BOX 20x16x1,true,1-3,58109,P2P,4.46,6.51,9.1,4.46
PIZZA BOX 20x16x1,true,4-6,712,P2P,4.6,9.75,9.31,4.6
PIZZA BOX 20x16x1,true,7-10,9,P2P,4.87,12.33,11.24,4.87
PIZZA BOX 20x16x1,true,21+,1,FEDEX,25.84,200.0,25.84,43.07
PIZZA BOX 12x8x1,false,1-3,27689,USPS,4.64,4.64,10.18,
PIZZA BOX 12x8x1,false,4-6,38,FEDEX,10.01,9.97,10.01,
PIZZA BOX 12x8x1,false,7-10,7,FEDEX,12.27,14.2,12.27,
PIZZA BOX 12x8x1,true,1-3,28106,P2P,4.19,4.71,8.88,4.19
PIZZA BOX 12x8x1,true,4-6,42,P2P,4.54,8.83,9.35,4.54
PIZZA BOX 12x8x1,true,7-10,11,FEDEX,10.57,12.45,10.57,4.97
PIZZA BOX 12x8x1,true,11-15,5,FEDEX,11.77,12.88,11.77,5.72
PIZZA BOX 16x12x2,false,1-3,20151,USPS,7.75,7.75,10.47,
PIZZA BOX 16x12x2,false,4-6,1874,FEDEX,10.86,9.23,10.86,
PIZZA BOX 16x12x2,false,7-10,5,FEDEX,11.39,11.07,11.39,
PIZZA BOX 16x12x2,false,11-15,1,FEDEX,10.32,8.75,10.32,
PIZZA BOX 16x12x2,true,1-3,20048,P2P,4.46,7.98,9.09,4.46
PIZZA BOX 16x12x2,true,4-6,1593,P2P,4.57,9.45,9.47,4.56
PIZZA BOX 16x12x2,true,7-10,2,FEDEX,12.62,14.06,12.62,5.28
WRAP 16''x12'',false,1-3,20341,USPS,6.53,6.53,10.36,
WRAP 16''x12'',false,4-6,112,FEDEX,10.63,9.66,10.63,
WRAP 16''x12'',true,1-3,21702,P2P,4.4,6.64,9.07,4.4
WRAP 16''x12'',true,4-6,143,P2P,4.53,9.1,9.43,4.53
PIZZA BOX 24x20x2,false,1-3,5045,FEDEX,11.03,11.18,11.03,
PIZZA BOX 24x20x2,false,4-6,13833,FEDEX,11.18,12.63,11.18,
PIZZA BOX 24x20x2,false,7-10,2344,FEDEX,11.43,13.76,11.43,
PIZZA BOX 24x20x2,false,11-15,21,FEDEX,12.59,15.73,12.59,
PIZZA BOX 24x20x2,true,1-3,5112,P2P,4.7,11.38,9.84,4.7
PIZZA BOX 24x20x2,true,4-6,12517,P2P,4.7,12.8,9.9,4.7
PIZZA BOX 24x20x2,true,7-10,2058,P2P,4.83,13.88,10.06,4.83
PIZZA BOX 24x20x2,true,11-15,20,P2P,5.33,15.44,12.07,5.33
PIZZA BOX 36x24x2,false,1-3,53,FEDEX,12.88,16.17,12.88,
PIZZA BOX 36x24x2,false,4-6,9602,FEDEX,12.72,16.12,12.72,
PIZZA BOX 36x24x2,false,7-10,6677,FEDEX,12.81,16.25,12.81,
PIZZA BOX 36x24x2,false,11-15,687,FEDEX,13.2,16.9,13.2,
PIZZA BOX 36x24x2,false,16-20,49,FEDEX,14.52,19.44,14.52,
PIZZA BOX 36x24x2,false,21+,16,FEDEX,15.41,200.0,15.41,
PIZZA BOX 36x24x2,true,1-3,32,P2P,4.99,15.21,11.77,4.99
PIZZA BOX 36x24x2,true,4-6,11783,FEDEX,11.78,16.3,11.78,20.38
PIZZA BOX 36x24x2,true,7-10,7373,FEDEX,11.92,16.44,11.92,18.94
PIZZA BOX 36x24x2,true,11-15,769,FEDEX,12.01,17.1,12.01,15.06
PIZZA BOX 36x24x2,true,16-20,82,FEDEX,13.48,18.31,13.48,15.4
PIZZA BOX 36x24x2,true,21+,20,FEDEX,13.86,200.0,13.86,16.16
PIZZA BOX 20x16x2,false,1-3,9006,USPS,8.1,8.1,10.9,
PIZZA BOX 20x16x2,false,4-6,10146,USPS,9.75,9.33,10.99,
PIZZA BOX 20x16x2,false,7-10,324,FEDEX,11.17,10.79,11.17,
PIZZA BOX 20x16x2,false,11-15,11,FEDEX,13.95,15.33,13.95,
PIZZA BOX 20x16x2,true,1-3,7730,P2P,4.53,8.26,9.63,4.53
PIZZA BOX 20x16x2,true,4-6,8692,P2P,4.57,9.57,9.7,4.57
PIZZA BOX 20x16x2,true,7-10,392,P2P,4.84,10.89,10.2,4.84
PIZZA BOX 20x16x2,true,11-15,15,P2P,5.31,12.73,11.41,5.31
PIZZA BOX 42x32x2,false,4-6,968,FEDEX,16.74,171.58,16.74,
PIZZA BOX 42x32x2,false,7-10,6484,FEDEX,16.53,169.19,16.53,
PIZZA BOX 42x32x2,false,11-15,2757,FEDEX,16.94,173.16,16.94,
PIZZA BOX 42x32x2,false,16-20,321,FEDEX,17.53,175.4,17.53,
PIZZA BOX 42x32x2,false,21+,127,FEDEX,22.88,200.0,22.88,
PIZZA BOX 42x32x2,true,1-3,1,FEDEX,14.95,178.62,14.95,39.52
PIZZA BOX 42x32x2,true,4-6,1274,FEDEX,15.42,172.36,15.42,39.31
PIZZA BOX 42x32x2,true,7-10,9084,FEDEX,15.44,173.06,15.44,39.32
PIZZA BOX 42x32x2,true,11-15,3256,FEDEX,15.85,176.68,15.85,39.36
PIZZA BOX 42x32x2,true,16-20,334,FEDEX,16.18,176.55,16.18,39.35
PIZZA BOX 42x32x2,true,21+,203,FEDEX,19.7,200.0,19.7,39.47
WRAP 24''x16'',false,1-3,10108,FEDEX,10.27,11.2,10.27,
WRAP 24''x16'',false,4-6,295,FEDEX,10.66,12.14,10.66,
WRAP 24''x16'',true,1-3,12784,P2P,4.46,11.37,9.06,4.46
WRAP 24''x16'',true,4-6,245,P2P,4.52,12.08,9.48,4.52
PIZZA BOX 40x30x1,false,1-3,4065,FEDEX,11.16,11.23,11.16,
PIZZA BOX 40x30x1,false,4-6,4908,FEDEX,11.18,12.7,11.18,
PIZZA BOX 40x30x1,false,7-10,477,FEDEX,11.23,14.29,11.23,
PIZZA BOX 40x30x1,false,11-15,38,FEDEX,12.88,16.22,12.88,
PIZZA BOX 40x30x1,true,1-3,4499,FEDEX,10.13,11.41,10.13,39.37
