weight_bracket,shipment_count,current_total,p2p_total,current_avg,p2p_avg,p2p_us_count,p2p_us2_count,diff,diff_pct
1,145687,981887.2296566418,704575.0399999622,6.739703814730497,4.836357296321205,76854,68829,-277312.18965667963,-28.242773842129864
2,113398,976174.4094602059,642492.5900001717,8.608391765817792,5.666219155129832,55684,57706,-333681.81946003425,-34.18260264009071
3,96338,942457.1608266438,715477.9800004709,9.782818418761483,7.427132758249726,45903,50430,-226979.18082617293,-24.083766377994937
4,43900,518775.0226739719,448191.37000012334,11.817198694167924,10.2098357556181,15878,28020,-70583.65267384856,-13.605830965036144
5,41160,480144.89121994766,600570.1499999458,11.665327775023023,14.591466022010879,17495,23664,120425.25877999811,25.08102470361035
6,28730,385389.425572232,525045.4699999517,13.4141811894268,18.276436577553316,13900,14828,139656.04442771967,36.23764305944728
7,25303,391609.23111779604,747604.9599999957,15.476790543326722,29.54726740969076,12228,13074,355995.7288821996,90.9058573175248
8,14087,215540.70613687029,354163.80999998987,15.300681915018831,25.141180521047055,5433,8654,138623.10386311958,64.31411789803299
9,12704,216709.38394801042,412146.6899999862,17.05835830825019,32.442277235515284,6176,6528,195437.3060519758,90.18405317365588
10,7074,115353.33161741351,230503.11999999505,16.306662654426564,32.5845518801237,3405,3669,115149.78838258154,99.82354802242985
11,5815,105772.15765307509,217741.64999999575,18.189536999668974,37.44482373172756,2912,2903,111969.49234692066,105.85913611989686
12,3710,66660.16434662922,138274.20999999918,17.967699284805718,37.27067654986501,1735,1975,71614.04565336996,107.43154679454558
13,4128,80508.9305035818,167852.94999999923,19.503132389433574,40.66205184108508,2043,2085,87344.01949641743,108.4898519332977
14,2767,49724.49350360447,114518.1799999994,17.970543369571548,41.38712685218626,1426,1341,64793.68649639493,130.3053725257113
15,1667,32099.237947876445,73901.68999999971,19.255691630399788,44.33214757048573,777,890,41802.45205212326,130.22879895156123
16,1761,37377.2223965,88321.09999999941,21.224998521578648,50.153946621237594,926,835,50943.87760349941,136.29658475711074
17,1366,28516.44961512501,70079.47999999985,20.875878195552716,51.302693997071636,669,697,41563.030384874844,145.75106980649505
18,1193,25636.194572125,66493.94000000002,21.4888470847653,55.73674769488685,588,605,40857.745427875016,159.3752353256862
