packagetype,shipment_count,current_total,s13_total,current_avg,s13_avg,avg_weight,p2p_us_count,p2p_us2_count,fedex_count,diff,diff_pct
PIZZA BOX 20x16x1,117206,1248684.292361058,636035.8471894062,10.653757421642732,5.426649208994473,1.2801360772315937,58830,58366,10,-612648.4451716519,-49.06351821029427
PIZZA BOX 12x8x1,55898,365436.03836328065,255754.0790378104,6.53755122478945,4.575370836842292,0.694598109654211,28133,27763,2,-109681.95932547023,-30.013996379972575
PIZZA BOX 16x12x2,43674,450836.73913811037,234446.05012976742,10.322771881167522,5.3680920027880985,2.199338421151596,21643,22029,2,-216390.68900834295,-47.99757211935057
WRAP 16''x12'',42298,382301.0679906329,216340.77012971626,9.038277648839966,5.114680839040055,1.3065170732071762,21845,20451,2,-165960.29786091665,-43.41089046211689
PIZZA BOX 24x20x2,40950,498051.4728231116,374786.5999027205,12.162429128769514,9.152297921922356,4.2521460932502535,19707,14193,7050,-123264.87292039109,-24.749424436331292
PIZZA BOX 36x24x2,37143,545747.6806096906,473365.6839027595,14.69315027352908,12.744411703490819,5.966790970008893,11608,189,25346,-72381.9967069311,-13.262905052765117
PIZZA BOX 20x16x2,36316,415125.4920641567,208508.02000002807,11.430925544227247,5.74149190439553,3.211601728026,16829,19487,0,-206617.4720641286,-49.77229199699361
PIZZA BOX 42x32x2,24809,598262.6443111806,551362.336367497,24.11474240441697,22.224287007436697,8.881401802223563,42,15,24752,-46900.30794368358,-7.839417752328999
WRAP 24''x16'',23432,263995.9877371971,184928.92534053506,11.26647267570831,7.892152839729219,2.616795410197715,13029,7312,3091,-79067.06239666202,-29.950100027797298
PIZZA BOX 40x30x1,21002,424769.445018712,296144.42915675585,20.225190220870015,14.100772743393765,3.347536797134331,0,5623,15379,-128625.01586195617,-30.281136595474745
PIZZA BOX 48X36X1,19768,593934.8075862328,523074.8504539922,30.045265458631768,26.460686485936474,7.972522646557772,117,0,19651,-70859.95713224058,-11.930595113665316
"CROSS PACKAGING 30X24""",15128,194432.13861218124,132732.656151351,12.852468179017798,8.773972511326745,5.977222017073381,8607,3008,3513,-61699.482460830244,-31.73317070996037
"21"" Tube",12376,95116.5811030379,78789.24234594691,7.68556731601793,6.366293014378387,0.6042582732145482,7235,5072,69,-16327.338757090984,-17.165607266102114
PIZZA BOX 30x20x3,10152,152422.5792261764,107546.11505946048,15.014044447022892,10.593588953847565,5.516858980113605,5328,39,4785,-44876.464166715916,-29.442136719209266
POLY BAG 9x12,5471,32011.698543210347,25722.750000001026,5.851160399051425,4.701654176567542,0.8423596671021725,3322,2149,0,-6288.948543209321,-19.645782102815662
MUG BOX 16x12x8,4962,57258.3762384451,30902.00000000088,11.539374493842221,6.227730753728513,4.595561176559113,2417,2545,0,-26356.376238444216,-46.03060367741917
"26"" Tube",4717,47740.99242782828,30308.86710270319,10.121049910499952,6.42545412395658,0.6701594734236349,2756,1918,43,-17432.12532512509,-36.513956745825595
MUG BOX 5x5x5,4464,27785.686303756942,20729.739999999823,6.224392093135515,4.643758960573437,0.8879809015953741,2565,1899,0,-7055.946303757119,-25.39417679527705
MIXPIX BOX,3239,31611.486849891968,16332.429999999782,9.759643979589987,5.042429762272239,1.2795503085736784,1818,1421,0,-15279.056849892186,-48.33387598136467
PIZZA BOX 42x32x2 (2x strapped),2910,104966.12251111327,104613.61131891873,36.070832478045794,35.94969461131228,22.43618681896649,448,0,2462,-352.5111921945354,-0.3358332991267857
"",2685,34302.41243700266,14233.673048648327,12.775572602235629,5.301181768584107,2.2415469698031387,1591,1083,11,-20068.739388354334,-58.50532939982321
PIZZA BOX 27x23x2,2427,33411.97081146613,25820.825999999863,13.766778249471006,10.638988875154455,7.271771033413389,1194,476,757,-7591.144811466271,-22.719835517338545
"CROSS PACKAGING 49X30""",2254,65701.38167072972,62397.61481081072,29.148793997661812,27.683058922276274,17.87450410592232,128,0,2126,-3303.766859919,-5.02845872629623
BUBBLE MAILER 9x14,2053,12116.608921888448,8881.370000000106,5.9019040048165845,4.3260448124696085,0.4611580843536412,1107,946,0,-3235.238921888342,-26.700861129915133
"POLY BAG 14,5x19",2043,23483.66687333787,11698.360000000119,11.494697441672965,5.726069505629035,3.7854007060557655,1198,845,0,-11785.30687333775,-50.18512201226195
PIZZA BOX 24x20x2 (2x strapped),1846,27473.540653817337,21488.32299459475,14.882741415935719,11.640478328599539,10.816503176986654,858,195,793,-5985.217659222588,-21.785388838809773
PIZZA BOX 40x30x2,1692,41826.30939109822,36176.99686486481,24.720041011287364,21.381203820842085,7.719637248270472,2,2,1688,-5649.312526233414,-13.50660053080309
BOX 16x24x12,1666,29780.366037273863,23271.061459459375,17.875369770272428,13.968224165341763,9.53640082577827,881,0,785,-6509.304577814488,-21.857705072084325
PIZZA BOX 30x20x3 (2x strapped),1519,26838.56950041661,20718.375632432202,17.668577682960244,13.639483628987625,11.072198246154315,785,0,734,-6120.193867984406,-22.803726062558603
MUG BOX 9x7x5,1493,14033.343428314272,7585.5800000000345,9.399426274825366,5.080763563295402,1.7429513124694795,853,640,0,-6447.763428314238,-45.94602463234068
"CROSS PACKAGING 40X30""",1483,23889.329806943366,29367.780745946056,16.108786113920004,19.802953975688506,12.772469999496195,66,3,1414,5478.450939002691,22.932627174038153
PIZZA BOX 36x24x2 (2x strapped),1479,31640.95740071992,24171.927308108112,21.39348032503037,16.34342617181076,15.66901764688771,614,0,865,-7469.030092611807,-23.605575514102068
