weight_bracket,shipment_count,current_total,s13_total,current_avg,s13_avg,p2p_us_count,p2p_us2_count,fedex_count,diff,diff_pct
1,142303,992031.6529697056,694966.4319173848,6.971263100354213,4.8837089303625705,75033,64157,3113,-297065.2210523208,-29.94513533545411
2,109943,994763.0829629526,627674.6357750882,9.047989257733121,5.709091399862549,53846,54685,1412,-367088.44718786434,-36.90209794421328
3,93314,983556.5022823598,664872.9073331251,10.540288727118758,7.12511420936971,44349,35778,13187,-318683.5949492346,-32.40114769306327
4,42378,557905.237844882,399675.6288496651,13.164973284366463,9.43120555122151,15272,15617,11489,-158229.60899521684,-28.361377212810908
5,40112,590990.6830600878,462092.8877948067,14.733513239431787,11.520066010042049,15988,9320,14804,-128897.79526528117,-21.810461477643248
6,27885,484949.2451592379,400101.1345712443,17.39104339821545,14.348256574188428,11511,5423,10951,-84848.11058799358,-17.49628676298545
7,24421,559471.7336898842,518549.3450887477,22.909452261982892,21.23374739317586,6166,1979,16276,-40922.38860113651,-7.31446937117646
8,13611,274198.22909689095,243630.51037794317,20.1453404670407,17.89953055454729,3922,863,8826,-30567.718718947785,-11.148036520741476
9,12272,299507.7526410109,279821.9128401352,24.40578166892201,22.80165521839433,3175,445,8652,-19685.839800875692,-6.572731299036216
10,6837,170677.45496899096,158066.3552108074,24.9637933258726,23.11925628357575,1581,254,5002,-12611.099758183555,-7.388849195387151
11,5528,154491.75924306313,139619.36889692006,27.94713445062647,25.256759930701893,1280,119,4129,-14872.390346143075,-9.626656087684408
12,3550,93839.6057124986,89394.71465116367,26.433691749999603,25.181609760891174,803,68,2679,-4444.891061334929,-4.736689831107111
13,3887,109862.56794145482,106715.50910698451,28.26410289206453,27.45446593953808,717,109,3061,-3147.0588344703137,-2.864541484363778
14,2617,73301.93161347239,70576.06501621644,28.009908908472447,26.96830913879115,496,45,2076,-2725.866597255954,-3.7186831741756694
15,1535,41563.972810487816,39544.149654054025,27.077506716930174,25.761661012413047,337,22,1176,-2019.8231564337912,-4.859552684348139
16,1614,46342.43649972305,45495.69393513536,28.712785935392226,28.18816228942711,336,14,1264,-846.7425645876938,-1.827142956958584
17,1214,34092.73216822976,32375.314367567596,28.082975426877894,26.668298490582863,271,15,928,-1717.417800662166,-5.0374894924455145
18,1079,31590.150142783827,30657.052151351312,29.27724758367361,28.412467239435877,194,10,875,-933.0979914325144,-2.9537624456199776
19,789,22225.71022699177,21603.12409729727,28.16946796830389,27.380385421162572,161,10,618,-622.5861296945004,-2.801197907000549
20,668,19175.115388925675,18329.648399999984,28.70526255827197,27.43959341317363,127,1,540,-845.4669889256911,-4.409188533039957
21,521,14858.221453297469,14367.525427027058,28.518659219380936,27.57682423613639,84,0,437,-490.6960262704106,-3.3025219593931343
22,504,14476.102128837874,13883.474562162171,28.722424858805304,27.54657651222653,106,1,397,-592.6275666757028,-4.093833833177567
23,419,12223.830425912194,12203.932832432443,29.173819632248673,29.126331342320867,87,0,332,-19.897593479750867,-0.16277707385053178
24,350,10824.148776337846,10571.694345945947,30.926139360965276,30.204840988416993,54,0,296,-252.45443039189922,-2.33232594644096
25,335,9122.532899851354,8782.888389189182,27.231441492093595,26.217577281161738,85,0,250,-339.64451066217225,-3.7231382379306797
26,348,11305.631882621637,11262.840421621626,32.487447938567925,32.36448397017708,37,0,311,-42.79146100001162,-0.3784968539952922
27,178,6024.727779368242,5379.615556756752,33.846785277349674,30.222559307622202,24,0,154,-645.1122226114903,-10.707740602333693
28,139,4411.047633689188,4263.603848648646,31.73415563805171,30.673408983083785,29,0,110,-147.44378504054202,-3.3426024220288717
29,112,3293.5289335101343,3164.582194594594,29.406508334911912,28.25519816602316,26,0,86,-128.9467389155402,-3.9151542773335537
30,110,3431.3946984560803,3339.240854054054,31.194497258691637,30.35673503685504,21,0,89,-92.15384440202615,-2.6856089870247164
31,144,4498.091200864862,4312.117221621619,31.23674445045043,29.945258483483467,8,0,136,-185.97397924324287,-4.134508860280224
32,115,3588.2488204797305,3613.4447891891887,31.202163656345483,31.421259036427728,13,0,102,25.195968709458157,0.7021800875584092
33,94,3093.191758283783,3074.9826702702717,32.90629530089131,32.71258159861991,9,0,85,-18.20908801351152,-0.5886828052204107
34,93,3251.1704080135137,3170.802216216215,34.958821591543156,34.09464748619586,16,0,77,-80.36819179729855,-2.471977217779982
35,58,2204.900302202703,1989.2182702702703,38.01552245177074,34.29686672879777,3,0,55,-215.6820319324329,-9.78194033158623
36,61,1966.167976905406,1973.2334594594595,32.23226191648207,32.3480894993354,3,0,58,7.06548255405346,0.35935294629169856
37,198,6816.987241604727,6728.245675675676,34.42922849295317,33.981038766038765,14,1,183,-88.74156592905183,-1.3017710431883096
38,60,2150.4924127533786,2136.590021621622,35.84154021255631,35.609833693693695,4,0,56,-13.902391131756758,-0.6464747817434454
39,58,1998.4235169054054,1976.3533729729731,34.4555778776794,34.07505815470643,3,0,55,-22.070143932432302,-1.1043777130189258
40,33,1093.3873033243244,1093.5416756756756,33.13294858558559,33.13762653562653,1,0,32,0.154372351351185,0.014118725439908874
41,50,1873.101091385135,1823.6427027027028,37.4620218277027,36.472854054054054,9,0,41,-49.458388682432314,-2.6404548537131247
42,25,845.4263802263514,834.195772972973,33.817055209054054,33.36783091891892,0,0,25,-11.230607253378366,-1.3283956493493287
43,30,1088.8932015675675,1060.111145945946,36.29644005225225,35.3370381981982,4,0,26,-28.782055621621566,-2.643239537191251
44,17,564.763382087838,559.9684432432434,33.22137541693164,32.93932019077903,1,0,16,-4.794938844594526,-0.8490173047105889
45,29,1036.5186469358111,1027.1045405405407,35.74202230813142,35.41739794967382,1,0,28,-9.414106395270437,-0.9082428399238849
46,31,1079.9811194493243,1098.2336756756758,34.83810062739756,35.42689276373148,2,0,29,18.252556226351544,1.6900810484222546
47,74,3353.4514525371633,2808.9955459459466,45.31691152077248,37.959399269539816,12,0,62,-544.4559065912167,-16.2356877472996
48,17,621.21850525,603.6472648648651,36.54226501470588,35.50866263910971,2,0,15,-17.571240385134956,-2.828512067273926
49,34,1281.5226475000002,1265.9501189189189,37.691842573529414,37.233827027027026,2,0,32,-15.572528581081315,-1.2151582815536088
50,12,419.9032864864865,419.9032864864865,34.99194054054054,34.99194054054054,0,0,12,0.0,0.0
51,10,574.0277297297298,574.0277297297298,57.40277297297298,57.40277297297298,0,0,10,0.0,0.0
52,11,568.689427027027,568.689427027027,51.69903882063882,51.69903882063882,0,0,11,0.0,0.0
53,4,196.62191351351353,196.62191351351353,49.15547837837838,49.15547837837838,0,0,4,0.0,0.0
54,5,248.5019891891892,248.5019891891892,49.70039783783784,49.70039783783784,0,0,5,0.0,0.0
55,6,265.182306179054,282.07625945945944,44.197051029842335,47.01270990990991,0,0,6,16.893953280405412,6.370694004372384
56,2,313.4135243243243,230.26340540540542,156.70676216216216,115.13170270270271,0,1,1,-83.1501189189189,-26.530482083751465
57,2,93.71496945608109,111.64140540540541,46.857484728040546,55.820702702702704,0,0,2,17.926435949324315,19.128679285037194
58,19,993.4292533716217,1031.3842810810813,52.28575017745377,54.28338321479375,0,0,19,37.955027709459614,3.8206070115856963
59,1,51.49188108108108,51.49188108108108,51.49188108108108,51.49188108108108,0,0,1,0.0,0.0
61,7,450.8154486486486,450.8154486486486,64.40220694980694,64.40220694980694,0,0,7,0.0,0.0
62,4,245.65189097635135,266.8324324324324,61.41297274408784,66.7081081081081,0,0,4,21.180541456081073,8.622177249236035
63,1,47.514335135135134,47.514335135135134,47.514335135135134,47.514335135135134,0,0,1,0.0,0.0
64,2,118.81367567567568,118.81367567567568,59.40683783783784,59.40683783783784,0,0,2,0.0,0.0
65,2,95.99883243243244,95.99883243243244,47.99941621621622,47.99941621621622,0,0,2,0.0,0.0
66,4,202.2785081081081,202.2785081081081,50.569627027027025,50.569627027027025,0,0,4,0.0,0.0
67,2,108.68295135135136,108.68295135135136,54.34147567567568,54.34147567567568,0,0,2,0.0,0.0
68,1,56.07503783783783,56.07503783783783,56.07503783783783,56.07503783783783,0,0,1,0.0,0.0
69,2,123.35594594594595,123.35594594594595,61.677972972972974,61.677972972972974,0,0,2,0.0,0.0
70,3,153.18010810810813,153.18010810810813,51.060036036036045,51.060036036036045,0,0,3,0.0,0.0
