packagetype,shipment_count,current_total,s14_total,current_avg,s14_avg,avg_weight,p2p_us_count,p2p_us2_count,fedex_count,forced_count,diff,diff_pct
PIZZA BOX 20x16x1,113896,964392.8545861717,728695.4914783211,8.46731100816685,6.397902397611164,1.2801000444179076,40880,28626,44390,41444,-235697.36310785054,-24.439974019611547
PIZZA BOX 12x8x1,54637,329654.6449868216,299965.8835525283,6.033542196438706,5.490160212905692,0.6923765887960629,22825,15691,16121,15901,-29688.761434293294,-9.006019446648521
PIZZA BOX 16x12x2,42377,364910.57715542405,262806.68295484607,8.611052626552707,6.2016349188202575,2.198972497426763,16435,11950,13992,13927,-102103.89420057798,-27.980524707314668
WRAP 16''x12'',41536,316144.5210417012,242128.08579582558,7.611337659902282,5.829354916116756,1.3053422659400067,19272,10657,11607,11605,-74016.43524587562,-23.412215085047272
PIZZA BOX 24x20x2,39950,432269.772237655,346010.5033189524,10.82026964299512,8.661088944154002,4.252816255794059,19159,208,20583,5149,-86259.26891870261,-19.95496203034957
PIZZA BOX 36x24x2,36438,443182.2659506507,373584.31930813415,12.16263971542485,10.252602209455352,5.957692896743068,11287,63,25088,28,-69597.94664251653,-15.704136196249877
PIZZA BOX 20x16x2,35114,325707.9438531872,231928.6555152127,9.27572887888555,6.605019522561164,3.209486960680722,12746,10143,12225,11967,-93779.28833797449,-28.792447377410447
PIZZA BOX 42x32x2,24261,660234.9564684541,642774.8524971671,27.213839349921855,26.49416151424785,8.852311050295048,22,21,24218,23,-17460.103971287026,-2.644528860555911
WRAP 24''x16'',22638,205962.875936222,168220.99891748792,9.098103893286599,7.430912576971814,2.616951714195313,9097,11,13530,4609,-37741.877018734085,-18.32460187166019
PIZZA BOX 40x30x1,20091,395554.2227500787,238024.5866270159,19.688130145342626,11.847324007118406,3.344867023867447,0,42,20049,156,-157529.6361230628,-39.82504219720948
PIZZA BOX 48X36X1,18697,595301.6043779678,548761.408821662,31.83941832261688,29.350238477919557,7.991140901163236,91,3,18603,127,-46540.195556305815,-7.817918717846525
"CROSS PACKAGING 30X24""",14740,165532.876805115,118508.5163351306,11.230181601432497,8.039926481352143,5.977105990741783,8371,32,6337,686,-47024.3604699844,-28.4078675955998
"21"" Tube",12032,84090.05730901894,84278.7003981246,6.988867794965005,7.004546243195196,0.6008384528236501,5242,137,6653,3789,188.6430891056516,0.22433459453168786
PIZZA BOX 30x20x3,9920,121700.66700070402,87816.20819459375,12.268212399264518,8.852440342196951,5.452033294941356,5214,7,4699,10,-33884.45880611027,-27.84245940567791
POLY BAG 9x12,5340,29544.371541513916,31810.577742306705,5.532653846725452,5.957037030394514,0.8381620149657351,2280,928,2132,2104,2266.206200792789,7.670517538707691
MUG BOX 16x12x8,4610,44450.030740923336,32144.861565480132,9.642089097814173,6.972855003357946,4.684391707499256,1950,1133,1527,1400,-12305.169175443203,-27.683151103232724
"26"" Tube",4555,36958.14345419711,30590.154280118288,8.11375267929684,6.715730906721907,0.6629597878693503,2428,107,2020,937,-6367.9891740788225,-17.230273436139417
MUG BOX 5x5x5,4342,25897.968217602578,24355.432318810515,5.964525153754624,5.609265849564835,0.8879627884346513,2057,891,1394,1391,-1542.5358987920627,-5.956204308504855
MIXPIX BOX,3082,24639.55871334894,18678.618255124395,7.99466538395488,6.06055102372628,1.2547943697136745,1229,707,1146,1132,-5960.940458224544,-24.19256175637226
"",2656,23985.258544843527,17272.380055498936,9.030594331642895,6.503155141377611,2.23970068924745,950,445,1261,1251,-6712.878489344592,-27.98751773633793
PIZZA BOX 42x32x2 (2x strapped),2532,82494.68342564034,76079.04781621633,32.58083863571893,30.047017304982756,21.938594991252454,8,0,2524,14,-6415.635609424004,-7.777029189047045
PIZZA BOX 27x23x2,2325,27858.50680333119,21323.01601081096,11.982153463798362,9.17118968206923,7.289061747062277,1130,5,1190,27,-6535.4907925202315,-23.459587545943947
BUBBLE MAILER 9x14,2000,11290.80922984217,10253.551380198149,5.645404614921086,5.126775690099074,0.45949846957349316,884,645,471,468,-1037.257849644022,-9.186744975749814
"CROSS PACKAGING 49X30""",1990,53979.60341206074,52609.182789189166,27.12542885028178,26.43677527094933,17.70039100266382,0,0,1990,1,-1370.4206228715702,-2.538774900605097
"POLY BAG 14,5x19",1953,18417.891791124115,12478.746886005014,9.430564153161349,6.389527335384032,3.745242933974186,1016,402,535,523,-5939.144905119101,-32.246605488155126
PIZZA BOX 24x20x2 (2x strapped),1749,22207.403659871365,17171.56806486486,12.697200491636,9.81793485698391,10.800248316151107,806,0,943,7,-5035.835595006505,-22.676381589380608
PIZZA BOX 40x30x2,1597,41267.59389558805,33756.96904864849,25.840697492541043,21.137738915872568,7.673438205104761,1,4,1592,0,-7510.624846939558,-18.199812826360407
"CROSS PACKAGING 40X30""",1383,21422.556959578113,26021.49764324324,15.48991826433703,18.81525498426843,12.785830832362034,55,2,1326,3,4598.940683665129,21.46774865550736
PIZZA BOX 30x20x3 (2x strapped),1359,20008.96201097051,15608.616432432342,14.72329802131752,11.485368971620561,10.576145736221127,660,0,699,55,-4400.345578538168,-21.991873322192067
MUG BOX 9x7x5,1345,10730.673598365152,8302.723175970112,7.9781959839146115,6.173028383620901,1.7368689041455618,518,288,539,539,-2427.9504223950407,-22.626262928777795
PIZZA BOX 36x24x2 (2x strapped),1289,24431.762543006997,17078.81029189194,18.95404386579286,13.249658876564732,15.305398416256603,467,0,822,75,-7352.952251115057,-30.09587310032064
BOX 16x24x12,1238,18334.52550774064,15154.2914313621,14.809794432746882,12.240946228886996,9.242613215292607,420,0,818,237,-3180.2340763785396,-17.345603381095838
Carpet Box 22x4x4,1058,8842.489703745645,7304.271243243313,8.357740740780383,6.90384805599557,1.393529872269102,484,0,574,236,-1538.2184605023322,-17.395761963406624
MUG BOX 16x6x4,1009,8542.091561250234,6346.078790901843,8.465898474975456,6.2894735291395865,2.8594851214179138,424,221,364,350,-2196.0127703483913,-25.70813897980484
PIZZA BOX 42x32x2 (3x strapped),877,31632.823504969438,27590.047102702723,36.06935405355694,31.459574803537883,36.02011481175416,4,0,873,0,-4042.7764022667143,-12.78032105364102
POLY BAG 12x15,808,5295.568786341455,4467.907168691472,6.553921765274078,5.529588080063704,0.6510212397953204,354,238,216,213,-827.6616176499829,-15.629324271733022
PIZZA BOX 36x24x2 (3x strapped),613,12810.760119023675,9962.753762162149,20.898466752077773,16.252453119350978,23.295571093317164,74,0,539,106,-2848.006356861526,-22.23136121823329
WRAP 36''x24'' [x2],601,9006.232884334453,7657.5434270270025,14.98541245313553,12.741336817016643,7.767314676360728,197,0,404,81,-1348.6894573074505,-14.97506754076254
