weight_bracket,shipment_count,current_total,s14_total,current_avg,s14_avg,p2p_us_count,p2p_us2_count,fedex_count,forced_count,diff,diff_pct
1,145687,1000266.6818513572,933290.751557008,6.865860933723374,6.406136110682546,42884,34370,68433,64947,-66975.93029434921,-6.695807379126724
2,113398,1001847.4109627951,815113.5568001607,8.834789070025883,7.188077010177963,24468,27453,61477,59467,-186733.85416263447,-18.6389516127191
3,96338,963889.6260697617,753435.7682055604,10.005289979756292,7.82075368188628,23089,13277,59972,38954,-210453.8578642013,-21.833812935856795
4,43900,528484.4026739632,372868.0138810768,12.038369081411464,8.493576625992638,10955,5335,27610,10437,-155616.3887928864,-29.445786480266378
5,41160,492988.95263617544,389984.13321077725,11.977379801656351,9.47483316838623,12632,2016,26512,6441,-103004.8194253982,-20.893940700820426
6,28730,394120.9258965473,301450.2906053929,13.718096968205614,10.492526648290738,7992,545,20193,4355,-92670.63529115444,-23.513249158325465
7,25303,402815.3836691654,326681.31830271694,15.919668958983735,12.910774149417735,4533,178,20592,1278,-76134.06536644849,-18.900486042255483
8,14087,220655.65074227125,169817.73697296443,15.663778713868904,12.0549256032487,3332,65,10690,382,-50837.91376930682,-23.039479659048563
9,12704,222184.07311557993,173082.14375134662,17.489300465647034,13.62422416178736,2459,28,10217,185,-49101.92936423331,-22.099662084550285
10,7074,118759.1530984931,96945.30700540384,16.788118899984887,13.70445391651171,1297,21,5756,91,-21813.84609308926,-18.368138812002062
11,5815,108666.96335037224,87138.70951351224,18.687353972548966,14.985160707396773,964,5,4846,61,-21528.253836860007,-19.811222448028644
12,3710,68372.83626014288,54764.6453945948,18.42933591917598,14.761359944634718,569,3,3138,35,-13608.19086554808,-19.902919945827684
13,4128,82476.41336844688,64585.22098378381,19.979751300495852,15.645644618164683,449,4,3675,65,-17891.192384663074,-21.692495652954438
14,2767,51202.35684414506,43324.3631243245,18.504646492282276,15.657521909766716,292,0,2475,79,-7877.993719820559,-15.385998234027385
15,1667,32941.851385714246,27238.428075675714,19.761158599708605,16.339788887627904,243,0,1424,51,-5703.423310038532,-17.313608889972443
16,1761,38332.69706677025,32833.52888648654,21.767573575678732,18.64482049204233,173,1,1587,54,-5499.168180283705,-14.345894239335458
17,1366,29264.92000431419,24674.400324324393,21.423806738150944,18.06325060345856,167,0,1199,61,-4590.519679989797,-15.686083130632406
