metric,value
total_shipments,539917.0
current_mix_total,6072061.727426224
s14_total,4944679.844305111
cost_difference,-1127381.8831211133
cost_diff_percent,-18.566706560787527
avg_per_shipment_current,11.246287350511698
avg_per_shipment_s14,9.158222179159225
shipments_no_coverage,0.0
fedex_earned_discount,0.16
fedex_undiscounted_spend,5100006.723039871
fedex_undiscounted_threshold,5100000.0
fedex_margin_above_5m,100006.72303987108
unconstrained_total,4647086.647047418
constraint_cost,297593.1972576929
