packagetype,group,shipments,p2p_us_max_weight,p2p_us2_max_weight
PIZZA BOX 20x16x1,Light,113896,3,1
PIZZA BOX 12x8x1,Light,54637,3,1
PIZZA BOX 16x12x2,Light,42377,3,1
WRAP 16''x12'',Light,41536,3,1
PIZZA BOX 24x20x2,Medium,39950,21,2
PIZZA BOX 36x24x2,Light,36438,3,1
PIZZA BOX 20x16x2,Medium,35114,21,2
PIZZA BOX 42x32x2,Heavy,24261,0,0
WRAP 24''x16'',Light,22638,3,1
PIZZA BOX 40x30x1,Heavy,20091,0,0
PIZZA BOX 48X36X1,Heavy,18697,0,0
"CROSS PACKAGING 30X24""",Medium,14740,21,2
"21"" Tube",Light,12032,3,1
PIZZA BOX 30x20x3,Medium,9920,21,2
POLY BAG 9x12,Light,5340,3,1
MUG BOX 16x12x8,Medium,4610,21,2
"26"" Tube",Light,4555,3,1
MUG BOX 5x5x5,Light,4342,3,1
MIXPIX BOX,Light,3082,3,1
"",Light,2656,3,1
PIZZA BOX 42x32x2 (2x strapped),Heavy,2532,0,0
PIZZA BOX 27x23x2,Medium,2325,21,2
BUBBLE MAILER 9x14,Light,2000,3,1
"CROSS PACKAGING 49X30""",Heavy,1990,0,0
"POLY BAG 14,5x19",Medium,1953,21,2
PIZZA BOX 24x20x2 (2x strapped),Medium,1749,21,2
PIZZA BOX 40x30x2,Heavy,1597,0,0
"CROSS PACKAGING 40X30""",Heavy,1383,0,0
PIZZA BOX 30x20x3 (2x strapped),Medium,1359,21,2
MUG BOX 9x7x5,Light,1345,3,1
PIZZA BOX 36x24x2 (2x strapped),Medium,1289,21,2
BOX 16x24x12,Medium,1238,21,2
Carpet Box 22x4x4,Light,1058,3,1
MUG BOX 16x6x4,Light,1009,3,1
PIZZA BOX 42x32x2 (3x strapped),Heavy,877,0,0
POLY BAG 12x15,Light,808,3,1
PIZZA BOX 36x24x2 (3x strapped),Medium,613,21,2
WRAP 36''x24'' [x2],Medium,601,21,2
MIXPIX BOX_(2),Light,483,3,1
"CROSS PACKAGING 40X40""",Heavy,397,0,0
PIZZA BOX 40x30x2 (2x strapped),Heavy,331,0,0
MIXPIX BOX_(4),Light,315,3,1
PIZZA BOX 24x20x2 (3x strapped),Medium,294,21,2
WRAP 36''x24'',Medium,294,21,2
Carpet Box 37x5x5,Light,288,3,1
PIZZA BOX 40x30x2 (3x strapped),Heavy,239,0,0
WRAP 27''x23'',Medium,228,21,2
PIZZA BOX 27x23x2 (2x strapped),Medium,184,21,2
PIZZA BOX 30x20x3 (3x strapped),Medium,100,21,2
WRAP 40''x30'',Heavy,65,0,0
PIZZA BOX 27x23x2 (3x strapped),Heavy,36,0,0
WRAP 36''x24'' [x3],Heavy,20,0,0
WRAP 40''x30'' [x3],Heavy,5,0,0
