packagetype,group,weight_bracket,shipments,carrier_if_p2p_us_zone,carrier_if_other_zone
PIZZA BOX 20x16x1,Light,1-2,106785,PFAP,PFS
PIZZA BOX 20x16x1,Light,3,9154,PFAP,FEDEX
PIZZA BOX 20x16x1,Light,4+,1267,FEDEX,FEDEX
PIZZA BOX 12x8x1,Light,1-2,54862,PFAP,PFS
PIZZA BOX 12x8x1,Light,3,933,PFAP,FEDEX
PIZZA BOX 12x8x1,Light,4+,103,FEDEX,FEDEX
PIZZA BOX 16x12x2,Light,1-2,20143,PFAP,PFA
PIZZA BOX 16x12x2,Light,3,20056,PFAP,FEDEX
PIZZA BOX 16x12x2,Light,4+,3475,FEDEX,FEDEX
WRAP 16''x12'',Light,1-2,38549,PFAP,PFA
WRAP 16''x12'',Light,3,3494,PFAP,FEDEX
WRAP 16''x12'',Light,4+,255,FEDEX,FEDEX
PIZZA BOX 24x20x2,Medium,1-2,12,PFAP,PFS
PIZZA BOX 24x20x2,Medium,3-21,40938,PFAP,FEDEX
PIZZA BOX 36x24x2,Light,1-2,2,PFAP,PFA
PIZZA BOX 36x24x2,Light,3,83,PFAP,FEDEX
PIZZA BOX 36x24x2,Light,4+,37058,FEDEX,FEDEX
PIZZA BOX 20x16x2,Medium,1-2,965,PFAP,PFA
PIZZA BOX 20x16x2,Medium,3-21,35351,PFAP,FEDEX
PIZZA BOX 42x32x2,Heavy,all,24809,FEDEX,FEDEX
WRAP 24''x16'',Light,1-2,376,PFAP,PFS
WRAP 24''x16'',Light,3,22516,PFAP,FEDEX
WRAP 24''x16'',Light,4+,540,FEDEX,FEDEX
PIZZA BOX 40x30x1,Heavy,all,21002,FEDEX,FEDEX
PIZZA BOX 48X36X1,Heavy,all,19768,FEDEX,FEDEX
"CROSS PACKAGING 30X24""",Medium,3-21,15128,PFAP,FEDEX
"21"" Tube",Light,1-2,12135,PFAP,PFS
"21"" Tube",Light,3,138,PFAP,FEDEX
"21"" Tube",Light,4+,103,FEDEX,FEDEX
PIZZA BOX 30x20x3,Medium,3-21,10099,PFAP,FEDEX
PIZZA BOX 30x20x3,Medium,22+,53,FEDEX,FEDEX
POLY BAG 9x12,Light,1-2,5434,PFAP,PFS
POLY BAG 9x12,Light,3,37,PFAP,FEDEX
MUG BOX 16x12x8,Medium,1-2,564,PFAP,PFA
