packagetype,shipment_count,total_cost,avg_cost
PIZZA BOX 20x16x1,117155,1067811.821711728,9.114521972700507
PIZZA BOX 42x32x2,24772,661708.2961383008,26.711944781943355
PIZZA BOX 48X36X1,19758,622516.6143970552,31.507066221128415
PIZZA BOX 36x24x2,37102,438987.3299717952,11.831904748309935
PIZZA BOX 24x20x2,40931,432712.7987581853,10.571762203664345
PIZZA BOX 40x30x1,20997,415060.04646735784,19.767588058644467
PIZZA BOX 16x12x2,43667,397149.4303597185,9.09495569559893
PIZZA BOX 20x16x2,36287,355908.60773980146,9.80815740457468
WRAP 16''x12'',33368,284452.5767799034,8.524711603329639
WRAP 24''x16'',23410,229767.4565588032,9.814927661631918
PIZZA BOX 12x8x1,32954,208902.01120648163,6.3392004371694375
"CROSS PACKAGING 30X24""",15090,164861.6887743346,10.925227884316408
PIZZA BOX 30x20x3,10145,120879.80197212176,11.915209657183022
PIZZA BOX 42x32x2 (2x strapped),2906,94093.97882462651,32.379208129603064
"21"" Tube",8481,66132.753492229,7.797754214388516
"CROSS PACKAGING 49X30""",2253,60551.92034099991,26.87612975632486
MUG BOX 16x12x8,4958,49951.829362769844,10.074995837589723
PIZZA BOX 40x30x2,1689,42959.75903434143,25.435026071250103
"26"" Tube",4702,41101.03588728911,8.741181600869654
PIZZA BOX 42x32x2 (3x strapped),1133,40863.13928187486,36.06631887191073
PIZZA BOX 27x23x2,2422,28408.904065520033,11.729522735557405
POLY BAG 9x12,5013,28269.60588375084,5.639259103082154
"",2673,27679.538058625472,10.355233093387756
MIXPIX BOX,3231,27619.956168811015,8.548423450575987
PIZZA BOX 36x24x2 (2x strapped),1479,27510.526557476584,18.600761702147793
BOX 16x24x12,1663,25104.629691328068,15.095988990576108
PIZZA BOX 24x20x2 (2x strapped),1846,22976.00339976322,12.446372372569458
"CROSS PACKAGING 40X30""",1482,22655.81654207846,15.287325601942282
PIZZA BOX 30x20x3 (2x strapped),1518,22046.13062474091,14.523142704045394
"POLY BAG 14,5x19",2042,20290.26093820276,9.936464710187442
PIZZA BOX 36x24x2 (3x strapped),776,16859.23315075004,21.725815915915
MUG BOX 5x5x5,2387,14579.230746999856,6.10776319522407
PIZZA BOX 40x30x2 (3x strapped),432,12609.926412874962,29.189644474247597
MUG BOX 9x7x5,1493,12583.827439125014,8.428551533238455
"CROSS PACKAGING 40X40""",441,12068.934084000008,27.367197469387772
PIZZA BOX 40x30x2 (2x strapped),440,11780.997828125011,26.774995063920482
MUG BOX 16x6x4,1128,9977.415558124994,8.845226558621448
Carpet Box 22x4x4,1112,9527.971528525313,8.568319719896865
WRAP 36''x24'' [x2],632,9257.877943999985,14.648541050632888
BUBBLE MAILER 9x14,1039,5686.737808375047,5.473279892565012
PIZZA BOX 24x20x2 (3x strapped),329,5181.543938375002,15.749373672872347
MIXPIX BOX_(2),498,4563.051296249994,9.1627536069277
WRAP 36''x24'',307,3667.966112519228,11.947772353482828
MIXPIX BOX_(4),329,3218.0330176249945,9.781255372720349
Carpet Box 37x5x5,319,3163.0933668749954,9.915653187695911
PIZZA BOX 27x23x2 (2x strapped),200,2952.1421908750017,14.760710954375009
POLY BAG 12x15,323,2539.783775999998,7.863107665634669
WRAP 27''x23'',243,2483.152270124998,10.218733621913572
PIZZA BOX 30x20x3 (3x strapped),142,2164.514221375001,15.243057897007048
PIZZA BOX 27x23x2 (3x strapped),47,1080.093000375,22.980702135638296
WRAP 36''x24'' [x3],36,890.9669128749999,24.749080913194444
WRAP 40''x30'',69,875.5755305,12.689500442028987
WRAP 40''x30'' [x3],6,154.525700875,25.75428347916667
PAPIER-VERSANDTASCHE klein 250x353x50,1,9.25,9.25
