packagetype,shipment_count,current_total,maersk_total,current_avg,maersk_avg,avg_weight,avg_billable_weight,diff,diff_pct
PIZZA BOX 20x16x1,113896,958638.6015741964,566578.6499998391,8.416789014313025,4.974526322257491,1.2801000444179076,1.2801000444179076,-392059.9515743572,-40.89757609703481
PIZZA BOX 12x8x1,54637,329050.3298336903,222759.52999995038,6.022481648584115,4.077082014018895,0.6923765887960629,0.6923765887960629,-106290.79983373993,-32.30229244488579
PIZZA BOX 16x12x2,42377,363196.9300492379,232154.45000001308,8.57061448543403,5.478312528022585,2.198972497426763,2.198972497426763,-131042.48004922483,-36.08028295598745
WRAP 16''x12'',41536,314603.597806478,208784.92999998812,7.574239161365513,5.02660174306597,1.3053422659400067,1.3053422659400067,-105818.66780648986,-33.635555519483304
PIZZA BOX 24x20x2,39950,423215.6882700469,404172.33000001014,10.593634249563127,10.116954443054071,4.252816255794059,4.252816255794059,-19043.358270036755,-4.499681556673652
PIZZA BOX 36x24x2,36438,431109.6628695429,459769.06000006135,11.831320678125662,12.61784565563591,5.957692896743068,14.866775467166423,28659.397130518453,6.647820635649033
PIZZA BOX 20x16x2,35114,323552.1256974589,207325.80999999886,9.214334046176992,5.904363216950472,3.209486960680722,3.209486960680722,-116226.31569746006,-35.92197561580504
PIZZA BOX 42x32x2,24261,645446.6743496811,792179.4700000741,26.604289779880514,32.65238324883863,8.852311050295048,22.693652899157367,146732.795650393,22.733527258194243
WRAP 24''x16'',22638,204887.85154035068,218226.61000004227,9.050616288556881,9.639836116266554,2.616951714195313,2.616951714195313,13338.758459691599,6.510272990521676
PIZZA BOX 40x30x1,20091,394191.57273926603,200715.1199999985,19.620306243555127,9.990300134388457,3.344867023867447,3.344867023867447,-193476.45273926752,-49.08183383901019
PIZZA BOX 48X36X1,18697,586804.6495022889,665756.3199998665,31.384962801641382,35.607654703956065,7.991140901163236,25.053551283426554,78951.67049757764,13.454506634284888
"CROSS PACKAGING 30X24""",14740,161188.71392943888,157533.46999999357,10.935462274724483,10.68748100407012,5.977105990741783,6.59586327295911,-3655.243929445307,-2.2676798147576305
"21"" Tube",12032,83911.92360572866,92821.5500000092,6.974062799678246,7.714557014628424,0.6008384528236501,0.6008384528236501,8909.626394280538,10.617831187071342
PIZZA BOX 30x20x3,9920,118124.60038449685,124002.51000000164,11.907721812953312,12.500253024193714,5.452033294941356,15.027740459980915,5877.909615504788,4.976024973944571
POLY BAG 9x12,5340,29508.600791126035,21984.9,5.525955204330718,4.117022471910112,0.8381620149657351,0.8381620149657351,-7523.700791126033,-25.49663687675966
MUG BOX 16x12x8,4610,44125.78038839447,28622.580000000344,9.571752795747175,6.2088026030369505,4.684391707499256,4.684391707499256,-15503.200388394129,-35.13411038158461
"26"" Tube",4555,36731.77201603908,35483.8299999992,8.064055327341181,7.790083424807728,0.6629597878693503,0.6629597878693503,-1247.9420160398804,-3.397445719457698
MUG BOX 5x5x5,4342,25873.808158250355,19892.24000000005,5.958960883982118,4.581354214647639,0.8879627884346513,0.8879627884346513,-5981.568158250306,-23.11823648712866
MIXPIX BOX,3082,24517.66295193587,15032.62999999995,7.955114520420463,4.877556781310821,1.2547943697136745,1.2547943697136745,-9485.032951935918,-38.68652966855064
"",2656,23773.558058625535,15260.859999999931,8.950887823277686,5.74580572289154,2.23970068924745,2.2539650308683554,-8512.698058625603,-35.80742115939613
PIZZA BOX 42x32x2 (2x strapped),2532,81448.56951212646,231775.62000000334,32.16768148188249,91.53855450237099,21.938594991252454,44.50662656158765,150327.05048787687,184.56683940347835
PIZZA BOX 27x23x2,2325,27287.067322250008,27912.319999999687,11.73637304182796,12.005298924731049,7.289061747062277,12.735707320167212,625.2526777496787,2.291388335601183
BUBBLE MAILER 9x14,2000,11279.999287374927,7436.410000000066,5.639999643687464,3.718205000000033,0.45949846957349316,0.45949846957349316,-3843.5892873748608,-34.07437526770747
"CROSS PACKAGING 49X30""",1990,52832.367801250126,104848.39999999903,26.548928543341773,52.68763819095429,17.70039100266382,32.21834735272454,52016.03219874891,98.4548570573778
"POLY BAG 14,5x19",1953,18306.953638327694,11951.879999999986,9.373760183475522,6.119754224270347,3.745242933974186,3.745242933974186,-6355.073638327707,-34.71398772225346
PIZZA BOX 24x20x2 (2x strapped),1749,21732.445151763215,23125.949999999946,12.425640452694806,13.222384219554,10.800248316151107,16.877839233485137,1393.504848236731,6.412094168445064
PIZZA BOX 40x30x2,1597,40613.55987396642,40405.35000000023,25.431158343122366,25.300782717595638,7.673438205104761,19.738080224896848,-208.20987396618875,-0.5126609797622117
"CROSS PACKAGING 40X30""",1383,21013.09360822674,31770.39999999999,15.193849319035966,22.972089660159067,12.785830832362034,20.198756028525658,10757.30639177325,51.19334921518508
PIZZA BOX 30x20x3 (2x strapped),1359,19517.93628124076,49080.67000000038,14.36198401857304,36.115283296541854,10.576145736221127,29.556889892887476,29562.733718759617,151.4644442567076
MUG BOX 9x7x5,1345,10689.789406499985,6976.9300000000085,7.947798815241625,5.18730855018588,1.7368689041455618,1.7368689041455618,-3712.859406499977,-34.73276474691215
PIZZA BOX 36x24x2 (2x strapped),1289,24078.255937601563,58388.319999999614,18.679795141661415,45.29737781225727,15.305398416256603,29.194435935166357,34310.06406239805,142.49397527508663
BOX 16x24x12,1238,17956.182109453253,88198.60000000015,14.504185871933162,71.24281098546054,9.242613215292607,31.952051026736505,70242.4178905469,391.18793439707275
