zone,packagetype,total_ships,total_cost,avg_weight_lbs,usps_ships,usps_pct,usps_cost,usps_avg,fedex_ships,fedex_pct,fedex_cost,fedex_avg,p2p_ships,p2p_pct,p2p_cost,p2p_avg,fedex_sp_ships,fedex_hd_ships
2,PIZZA BOX 20x16x1,8014,39102.12,1.27,4744,59.2,25104.81,5.29,10,0.1,82.53,8.25,3260,40.7,13914.78,4.27,10,0
2,PIZZA BOX 12x8x1,4026,16418.42,0.71,3167,78.7,12937.27,4.09,0,0.0,0.0,,859,21.3,3481.15,4.05,0,0
2,PIZZA BOX 16x12x2,3132,16827.85,2.2,1733,55.3,10772.97,6.22,19,0.6,156.81,8.25,1380,44.1,5898.07,4.27,19,0
2,PIZZA BOX 24x20x2,2841,23978.4,4.17,714,25.1,7014.24,9.82,1963,69.1,16225.5,8.27,164,5.8,738.66,4.5,1949,14
2,WRAP 16''x12'',2780,13382.22,1.3,1457,52.4,7812.4,5.36,0,0.0,0.0,,1323,47.6,5569.82,4.21,0,0
2,PIZZA BOX 20x16x2,2524,14707.96,3.17,1495,59.2,9849.71,6.59,97,3.8,800.57,8.25,932,36.9,4057.68,4.35,97,0
2,PIZZA BOX 36x24x2,2174,19816.81,5.88,501,23.0,5780.95,11.54,1186,54.6,11637.45,9.81,487,22.4,2398.41,4.92,242,944
2,PIZZA BOX 42x32x2,1690,20907.02,8.59,0,0.0,0.0,,1690,100.0,20907.02,12.37,0,0.0,0.0,,1690,0
2,WRAP 24''x16'',1562,10130.58,2.61,339,21.7,3180.4,9.38,433,27.7,3575.72,8.26,790,50.6,3374.46,4.27,432,1
2,PIZZA BOX 40x30x1,1378,11896.38,3.24,355,25.8,3442.77,9.7,1023,74.2,8453.61,8.26,0,0.0,0.0,,1019,4
2,"CROSS PACKAGING 30X24""",855,7019.92,6.04,167,19.5,1718.66,10.29,569,66.5,4735.59,8.32,119,13.9,565.67,4.75,557,12
2,"21"" Tube",807,4465.57,0.58,396,49.1,2670.99,6.74,16,2.0,132.05,8.25,395,48.9,1662.53,4.21,16,0
2,PIZZA BOX 48X36X1,783,10033.57,8.28,0,0.0,0.0,,783,100.0,10033.57,12.81,0,0.0,0.0,,783,0
2,PIZZA BOX 30x20x3,585,4587.12,5.62,136,23.2,1564.24,11.5,165,28.2,1647.84,9.99,284,48.5,1375.04,4.84,66,99
2,POLY BAG 9x12,366,1532.89,0.85,338,92.3,1415.12,4.19,0,0.0,0.0,,28,7.7,117.77,4.21,0,0
2,"26"" Tube",339,1866.07,0.62,162,47.8,1101.06,6.8,5,1.5,41.27,8.25,172,50.7,723.74,4.21,5,0
2,MUG BOX 16x12x8,321,2330.35,4.39,188,58.6,1296.71,6.9,115,35.8,949.13,8.25,18,5.6,84.51,4.7,115,0
2,MUG BOX 5x5x5,282,1208.42,0.89,153,54.3,684.78,4.48,0,0.0,0.0,,129,45.7,523.64,4.06,0,0
2,MIXPIX BOX,221,1066.96,1.32,128,57.9,667.71,5.22,2,0.9,16.51,8.25,91,41.2,382.74,4.21,2,0
2,"",160,861.24,2.21,89,55.6,554.65,6.23,1,0.6,8.25,8.25,70,43.8,298.34,4.26,1,0
2,PIZZA BOX 27x23x2,154,1325.92,7.29,40,26.0,455.15,11.38,66,42.9,642.63,9.74,48,31.2,228.14,4.75,60,6
2,BUBBLE MAILER 9x14,140,530.31,0.47,126,90.0,472.97,3.75,0,0.0,0.0,,14,10.0,57.34,4.1,0,0
2,"CROSS PACKAGING 49X30""",137,1916.86,17.59,0,0.0,0.0,,137,100.0,1916.86,13.99,0,0.0,0.0,,137,0
2,"POLY BAG 14,5x19",121,865.04,3.63,70,57.9,466.24,6.66,45,37.2,371.4,8.25,6,5.0,27.4,4.57,45,0
2,PIZZA BOX 42x32x2 (2x strapped),110,1966.34,25.3,0,0.0,0.0,,110,100.0,1966.34,17.88,0,0.0,0.0,,101,9
2,PIZZA BOX 30x20x3 (2x strapped),103,1131.26,11.15,0,0.0,0.0,,100,97.1,1108.75,11.09,3,2.9,22.51,7.5,1,99
2,PIZZA BOX 24x20x2 (2x strapped),94,809.3,10.81,19,20.2,223.75,11.78,36,38.3,375.25,10.42,39,41.5,210.3,5.39,14,22
2,MUG BOX 9x7x5,91,462.62,1.78,49,53.8,286.04,5.84,0,0.0,0.0,,42,46.2,176.58,4.2,0,0
2,BOX 16x24x12,90,943.25,8.55,0,0.0,0.0,,83,92.2,888.0,10.7,7,7.8,55.25,7.89,1,82
2,PIZZA BOX 40x30x2,82,945.48,8.19,10,12.2,116.84,11.68,72,87.8,828.64,11.51,0,0.0,0.0,,54,18
2,PIZZA BOX 36x24x2 (2x strapped),80,891.09,14.18,0,0.0,0.0,,79,98.8,883.5,11.18,1,1.2,7.59,7.59,7,72
2,Carpet Box 22x4x4,73,464.04,1.39,17,23.3,147.77,8.69,20,27.4,165.07,8.25,36,49.3,151.2,4.2,20,0
2,"CROSS PACKAGING 40X30""",71,797.94,11.99,6,8.5,71.59,11.93,63,88.7,715.86,11.36,2,2.8,10.49,5.25,34,29
2,MUG BOX 16x6x4,68,341.48,2.72,24,35.3,152.48,6.35,0,0.0,0.0,,44,64.7,189.0,4.3,0,0
2,WRAP 36''x24'' [x2],55,603.99,7.49,0,0.0,0.0,,51,92.7,570.56,11.19,4,7.3,33.43,8.36,0,51
2,POLY BAG 12x15,50,202.89,0.68,45,90.0,181.83,4.04,0,0.0,0.0,,5,10.0,21.06,4.21,0,0
2,PIZZA BOX 42x32x2 (3x strapped),40,808.55,35.29,0,0.0,0.0,,40,100.0,808.55,20.21,0,0.0,0.0,,37,3
2,PIZZA BOX 36x24x2 (3x strapped),32,365.29,23.2,0,0.0,0.0,,31,96.9,356.25,11.49,1,3.1,9.04,9.04,4,27
