zone,packagetype,total_cost,avg_weight,usps_pct,fedex_pct,p2p_pct,usps_avg,fedex_avg,p2p_avg
17,PIZZA BOX 20x16x1,191.87,1.2,100.0,0.0,0.0,7.99,,
17,PIZZA BOX 36x24x2,498.77,6.4,100.0,0.0,0.0,23.75,,
17,PIZZA BOX 24x20x2,252.87,4.3,100.0,0.0,0.0,16.86,,
17,PIZZA BOX 42x32x2,703.11,9.2,0.0,100.0,0.0,,46.87,
17,WRAP 24''x16'',194.29,2.6,100.0,0.0,0.0,14.95,,
17,PIZZA BOX 20x16x2,167.77,4.3,100.0,0.0,0.0,13.98,,
17,PIZZA BOX 16x12x2,122.73,2.3,100.0,0.0,0.0,11.16,,
17,PIZZA BOX 12x8x1,72.23,0.9,100.0,0.0,0.0,6.57,,
17,"CROSS PACKAGING 30X24""",168.07,5.4,100.0,0.0,0.0,18.67,,
17,PIZZA BOX 40x30x1,132.01,3.6,100.0,0.0,0.0,16.5,,
17,BOX 16x24x12,381.1,9.7,0.0,100.0,0.0,,63.52,
17,PIZZA BOX 48X36X1,309.64,6.0,0.0,100.0,0.0,,51.61,
17,PIZZA BOX 27x23x2,90.86,8.3,100.0,0.0,0.0,22.71,,
17,WRAP 16''x12'',36.9,1.2,100.0,0.0,0.0,9.22,,
17,POLY BAG 9x12,16.5,0.7,100.0,0.0,0.0,5.5,,
17,"21"" Tube",23.19,0.4,100.0,0.0,0.0,7.73,,
17,PIZZA BOX 30x20x3,70.71,8.1,100.0,0.0,0.0,23.57,,
17,MUG BOX 16x12x8,29.9,5.0,100.0,0.0,0.0,14.95,,
17,"POLY BAG 14,5x19",27.92,4.1,100.0,0.0,0.0,13.96,,
17,"CROSS PACKAGING 49X30""",146.24,20.1,0.0,100.0,0.0,,73.12,
17,PIZZA BOX 30x20x3 (2x strapped),117.46,12.5,0.0,100.0,0.0,,58.73,
17,MUG BOX 5x5x5,4.73,0.4,100.0,0.0,0.0,4.73,,
17,PIZZA BOX 27x23x2 (3x strapped),152.29,55.2,0.0,100.0,0.0,,152.29,
17,PIZZA BOX 42x32x2 (3x strapped),113.06,36.7,0.0,100.0,0.0,,113.06,
17,"",11.73,2.2,100.0,0.0,0.0,11.73,,
17,MIXPIX BOX,9.91,1.4,100.0,0.0,0.0,9.91,,
17,"26"" Tube",7.73,0.5,100.0,0.0,0.0,7.73,,
17,PIZZA BOX 42x32x2 (2x strapped),85.13,16.3,0.0,100.0,0.0,,85.13,
17,PIZZA BOX 40x30x2 (3x strapped),116.59,20.4,0.0,100.0,0.0,,116.59,
2,PIZZA BOX 20x16x1,39102.12,1.3,59.2,0.1,40.7,5.29,8.25,4.27
2,PIZZA BOX 12x8x1,16418.42,0.7,78.7,0.0,21.3,4.09,,4.05
2,PIZZA BOX 16x12x2,16827.85,2.2,55.3,0.6,44.1,6.22,8.25,4.27
2,PIZZA BOX 24x20x2,23978.4,4.2,25.1,69.1,5.8,9.82,8.27,4.5
2,WRAP 16''x12'',13382.22,1.3,52.4,0.0,47.6,5.36,,4.21
2,PIZZA BOX 20x16x2,14707.96,3.2,59.2,3.8,36.9,6.59,8.25,4.35
2,PIZZA BOX 36x24x2,19816.81,5.9,23.0,54.6,22.4,11.54,9.81,4.92
2,PIZZA BOX 42x32x2,20907.02,8.6,0.0,100.0,0.0,,12.37,
2,WRAP 24''x16'',10130.58,2.6,21.7,27.7,50.6,9.38,8.26,4.27
2,PIZZA BOX 40x30x1,11896.38,3.2,25.8,74.2,0.0,9.7,8.26,
2,"CROSS PACKAGING 30X24""",7019.92,6.0,19.5,66.5,13.9,10.29,8.32,4.75
2,"21"" Tube",4465.57,0.6,49.1,2.0,48.9,6.74,8.25,4.21
2,PIZZA BOX 48X36X1,10033.57,8.3,0.0,100.0,0.0,,12.81,
2,PIZZA BOX 30x20x3,4587.12,5.6,23.2,28.2,48.5,11.5,9.99,4.84
2,POLY BAG 9x12,1532.89,0.8,92.3,0.0,7.7,4.19,,4.21
2,"26"" Tube",1866.07,0.6,47.8,1.5,50.7,6.8,8.25,4.21
2,MUG BOX 16x12x8,2330.35,4.4,58.6,35.8,5.6,6.9,8.25,4.7
2,MUG BOX 5x5x5,1208.42,0.9,54.3,0.0,45.7,4.48,,4.06
2,MIXPIX BOX,1066.96,1.3,57.9,0.9,41.2,5.22,8.25,4.21
2,"",861.24,2.2,55.6,0.6,43.8,6.23,8.25,4.26
2,PIZZA BOX 27x23x2,1325.92,7.3,26.0,42.9,31.2,11.38,9.74,4.75
2,BUBBLE MAILER 9x14,530.31,0.5,90.0,0.0,10.0,3.75,,4.1
2,"CROSS PACKAGING 49X30""",1916.86,17.6,0.0,100.0,0.0,,13.99,
2,"POLY BAG 14,5x19",865.04,3.6,57.9,37.2,5.0,6.66,8.25,4.57
