weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
1,-3.25,-3.58,-4.62,-5.11,-5.28,-5.36,-5.45,-1.46,-1.46
2,-4.01,-5.13,-5.59,-5.71,-5.97,-6.21,-6.31,-6.04,-6.04
3,-4.5,-5.4,-5.84,-6.13,-6.38,-6.62,-6.94,-9.98,-9.98
4,-4.87,-5.43,-6.08,-6.47,-6.64,-7.11,-7.44,-14.82,-14.82
5,-5.11,-5.68,-6.22,-6.76,-7.03,-7.44,-7.88,-16.4,-19.37
6,-5.32,-6.0,-6.61,-7.14,-7.4,-7.83,-8.3,-17.69,-24.02
7,-5.73,-6.13,-6.79,-7.36,-7.54,-8.04,-8.61,-18.89,-28.31
8,-5.89,-6.36,-7.02,-7.58,-7.84,-8.37,-8.98,-19.63,-30.96
9,-5.98,-6.44,-7.05,-7.64,-8.01,-8.71,-9.46,-21.01,-29.65
10,-6.06,-6.51,-7.12,-7.85,-8.1,-9.13,-10.09,-22.33,-35.93
11,-6.92,-7.2,-7.9,-8.57,-9.1,-10.73,-11.65,-23.69,-38.12
12,-7.04,-7.51,-7.98,-8.69,-9.41,-11.16,-12.19,-24.71,-39.75
13,-7.04,-7.54,-8.07,-8.86,-9.7,-11.84,-12.75,-25.73,-41.4
14,-7.33,-7.75,-8.15,-9.08,-10.27,-12.68,-13.86,-26.8,-43.12
15,-7.34,-7.92,-8.27,-9.4,-10.84,-13.08,-14.43,-27.78,-39.2
16,-7.52,-8.15,-8.42,-9.56,-11.19,-13.77,-15.15,-29.02,-46.7
17,-7.58,-8.32,-8.51,-9.83,-11.67,-14.47,-15.15,-30.26,-48.7
18,-7.66,-8.43,-8.6,-10.3,-12.27,-14.9,-16.33,-29.38,-44.47
19,-7.86,-8.83,-9.07,-10.79,-12.63,-15.36,-17.12,-32.76,-52.71
20,-7.92,-8.91,-9.12,-11.22,-13.06,-15.93,-17.74,-33.85,-54.47
21,-8.97,-10.11,-10.49,-12.39,-14.71,-17.87,-19.96,-32.28,-48.86
22,-8.99,-10.21,-10.77,-12.73,-15.31,-18.54,-20.84,-33.29,-50.39
23,-9.02,-10.41,-11.0,-12.97,-15.89,-18.98,-21.66,-34.3,-59.2
24,-9.27,-10.82,-11.57,-13.66,-16.65,-19.62,-22.91,-35.43,-61.14
25,-9.3,-10.87,-11.63,-13.92,-17.13,-20.7,-23.61,-36.52,-55.28
26,-9.75,-11.24,-12.11,-14.49,-17.75,-21.55,-24.59,-37.68,-57.02
27,-10.02,-11.51,-12.36,-14.73,-18.47,-21.95,-25.0,-38.72,-58.61
28,-10.26,-11.78,-12.93,-15.6,-19.37,-22.93,-25.95,-39.76,-60.18
29,-10.27,-12.01,-13.05,-15.6,-19.92,-23.45,-26.65,-40.74,-61.66
30,-10.38,-12.29,-13.54,-16.21,-20.24,-23.57,-27.75,-41.72,-63.14
31,-11.28,-13.1,-14.4,-17.12,-21.72,-25.47,-29.86,-41.72,-63.14
32,-11.29,-13.1,-14.4,-17.12,-21.72,-25.48,-30.18,-41.86,-63.36
33,-11.35,-13.29,-15.05,-17.93,-23.08,-26.32,-31.0,-42.74,-64.69
34,-11.42,-13.59,-15.53,-18.55,-23.09,-27.1,-32.48,-43.7,-66.14
35,-11.64,-14.31,-16.04,-19.0,-23.48,-27.8,-32.71,-48.03,-67.78
36,-11.81,-14.32,-16.16,-19.47,-24.47,-28.75,-33.99,-45.74,-69.23
37,-11.99,-14.51,-16.33,-19.9,-24.58,-29.68,-34.33,-46.79,-80.75
38,-12.17,-14.73,-16.86,-20.38,-25.13,-29.79,-34.97,-47.91,-72.51
39,-12.58,-15.3,-17.58,-21.01,-26.27,-30.97,-35.69,-48.94,-74.07
40,-13.48,-16.45,-18.83,-22.5,-28.17,-33.16,-38.22,-53.61,-86.27
41,-12.87,-16.02,-18.09,-21.76,-27.4,-31.92,-37.04,-54.54,-87.76
42,-12.88,-16.08,-18.79,-21.83,-27.53,-32.47,-37.23,-51.81,-78.41
