weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
1,11.32,11.65,12.69,13.27,13.72,13.93,14.17,40.84,40.84
2,12.08,13.32,14.53,14.84,15.49,16.13,16.4,45.42,45.42
3,12.57,14.03,15.16,15.93,16.58,17.2,18.05,49.36,49.36
4,12.94,14.11,15.78,16.81,17.27,18.47,19.34,54.2,54.2
5,13.29,14.76,16.17,17.56,18.26,19.33,20.48,58.75,58.75
6,13.39,14.81,16.33,17.63,18.28,19.34,20.49,63.4,63.4
7,14.15,15.15,16.76,18.19,18.61,19.86,21.26,67.69,67.69
8,14.56,15.7,17.34,18.71,19.36,20.66,22.19,70.34,70.34
9,14.78,15.92,17.42,18.87,19.77,21.52,23.37,75.29,75.29
10,14.98,16.09,17.59,19.39,20.0,22.54,24.91,80.0,80.0
11,15.92,16.56,18.17,19.71,20.91,24.66,26.79,84.88,84.88
12,16.18,17.26,18.35,19.99,21.64,25.65,28.04,88.52,88.52
13,16.19,17.34,18.56,20.37,22.31,27.22,29.31,92.19,92.19
14,16.86,17.81,18.75,20.87,23.62,29.16,31.87,96.01,96.01
15,16.87,18.2,19.01,21.61,24.92,30.07,33.18,99.54,99.54
16,17.3,18.73,19.36,21.98,25.72,31.66,34.83,103.99,103.99
17,17.42,19.12,19.57,22.6,26.82,33.28,34.84,108.43,108.43
18,17.6,19.37,19.78,23.69,28.22,34.27,37.56,112.91,112.91
19,18.08,20.31,20.85,24.81,29.05,35.31,39.36,117.37,117.37
20,18.21,20.48,20.96,25.79,30.04,36.62,40.79,121.29,121.29
21,18.88,21.28,22.08,26.09,30.98,37.64,42.04,124.07,124.07
22,18.93,21.49,22.67,26.81,32.24,39.03,43.89,127.95,127.95
23,19.0,21.91,23.17,27.31,33.46,39.97,45.62,131.81,131.81
24,19.52,22.79,24.37,28.77,35.05,41.31,48.24,136.14,136.14
25,19.59,22.88,24.48,29.32,36.07,43.59,49.72,140.35,140.35
26,20.53,23.66,25.51,30.52,37.38,45.37,51.78,144.79,144.79
27,21.1,24.23,26.02,31.02,38.89,46.21,52.65,148.81,148.81
28,21.6,24.81,27.22,32.84,40.79,48.28,54.66,152.81,152.81
29,21.64,25.28,27.47,32.86,41.95,49.38,56.12,156.57,156.57
30,21.86,25.88,28.51,34.15,42.63,49.63,58.45,160.32,160.32
31,22.8,26.46,29.09,34.59,43.87,51.47,60.32,160.33,160.33
32,22.81,26.47,29.1,34.6,43.88,51.48,60.98,160.88,160.88
33,22.94,26.86,30.41,36.22,46.64,53.18,62.63,164.25,164.25
34,23.08,27.46,31.37,37.49,46.65,54.77,65.63,167.94,167.94
35,23.51,28.92,32.41,38.39,47.45,56.18,66.1,172.1,172.1
36,23.86,28.93,32.66,39.34,49.44,58.09,68.69,175.77,175.77
37,24.22,29.32,33.0,40.21,49.66,59.97,69.37,179.8,179.8
38,24.6,29.76,34.06,41.18,50.78,60.2,70.66,184.1,184.1
39,25.42,30.92,35.52,42.45,53.09,62.57,72.11,188.07,188.07
40,25.44,31.04,35.53,42.46,53.16,62.58,72.13,192.09,192.09
41,26.01,32.38,36.56,43.97,55.37,64.51,74.85,195.41,195.41
42,26.02,32.5,37.98,44.11,55.62,65.61,75.23,199.1,199.1
43,26.52,32.96,38.04,46.36,58.64,67.99,77.28,203.16,203.16
44,26.88,33.46,39.02,47.19,58.98,70.1,78.08,206.07,206.07
45,26.93,33.47,39.03,47.2,59.0,71.47,78.63,210.04,210.04
46,27.63,33.82,40.27,48.1,60.56,72.24,80.72,214.08,214.08
47,27.64,34.58,40.92,48.44,61.38,73.64,82.02,218.18,218.18
48,27.65,34.59,41.39,50.19,62.29,74.32,83.32,221.93,221.93
49,27.66,34.6,41.4,50.2,62.76,75.81,83.81,225.72,225.72
50,27.67,34.61,41.42,50.24,63.3,76.47,84.99,229.51,229.51
51,27.68,34.62,41.62,50.48,64.09,77.42,86.95,235.5,235.5
52,27.69,34.63,41.64,50.51,64.1,77.44,86.96,235.98,235.98
53,27.7,34.64,41.66,51.01,64.11,77.45,87.81,239.55,239.55
54,27.71,34.65,41.72,51.1,64.13,77.46,87.82,242.94,242.94
