weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
1,-6.48,-7.15,-7.95,-8.22,-8.56,-8.66,-8.39,-20.2,-20.2
2,-5.21,-6.45,-7.66,-7.82,-8.17,-8.5,-8.65,-22.46,-22.46
3,-5.7,-7.16,-7.99,-8.4,-8.74,-9.07,-9.52,-24.41,-24.41
4,-6.07,-7.24,-8.32,-8.86,-9.1,-9.74,-10.2,-26.8,-26.8
5,-6.42,-7.78,-8.52,-9.26,-9.63,-10.19,-10.8,-29.05,-29.05
6,-6.52,-7.81,-8.61,-9.29,-9.64,-10.2,-10.8,-31.35,-31.35
7,-7.28,-7.99,-8.84,-9.59,-9.81,-10.47,-11.21,-33.47,-33.47
8,-7.68,-8.28,-9.14,-9.86,-10.21,-10.89,-11.7,-34.78,-34.78
9,-7.79,-8.39,-9.18,-9.95,-10.42,-11.35,-12.32,-37.23,-37.23
10,-8.57,-10.68,-11.71,-12.91,-13.32,-14.8,-14.75,-39.56,-39.56
11,-9.11,-10.92,-11.38,-12.21,-13.66,-15.34,-15.86,-41.97,-41.97
12,-10.59,-11.38,-12.08,-13.16,-14.14,-16.85,-18.28,-43.77,-43.77
13,-10.6,-11.39,-12.13,-13.31,-14.58,-17.75,-19.12,-45.59,-45.59
14,-9.65,-11.75,-12.34,-13.74,-15.43,-19.16,-18.87,-47.48,-47.48
15,-9.65,-11.91,-12.52,-14.12,-16.28,-19.61,-21.64,-49.22,-49.22
16,-9.9,-11.49,-12.13,-13.62,-16.05,-21.43,-20.62,-51.42,-51.42
17,-9.97,-11.73,-13.27,-14.0,-16.74,-22.36,-20.63,-53.62,-53.62
18,-10.07,-13.16,-12.39,-14.68,-17.62,-23.21,-22.24,-55.83,-55.83
19,-10.35,-12.46,-13.06,-16.82,-18.13,-21.96,-23.3,-58.04,-58.04
20,-12.28,-13.81,-14.11,-17.36,-20.22,-24.6,-27.41,-59.98,-59.98
21,-10.8,-13.06,-14.86,-17.7,-20.86,-23.41,-24.89,-61.35,-61.35
22,-10.83,-14.6,-15.38,-16.61,-20.12,-26.22,-25.98,-63.27,-63.27
23,-10.87,-13.44,-14.52,-16.92,-22.53,-24.86,-27.01,-65.18,-65.18
24,-13.26,-15.48,-16.53,-19.51,-23.77,-27.76,-28.56,-67.32,-67.32
25,-11.21,-14.04,-15.34,-18.17,-24.28,-27.11,-29.43,-69.4,-69.4
26,-11.75,-14.52,-15.98,-18.91,-25.16,-30.48,-30.65,-71.6,-71.6
27,-12.07,-14.87,-17.64,-21.04,-26.18,-28.74,-31.17,-73.59,-73.59
28,-14.67,-15.22,-17.05,-20.35,-25.46,-30.03,-32.36,-75.56,-75.56
29,-12.38,-15.51,-18.49,-20.36,-26.19,-30.72,-37.71,-77.42,-77.42
30,-12.51,-17.59,-17.86,-22.99,-26.61,-30.87,-34.6,-79.28,-79.28
31,-13.05,-16.23,-18.23,-21.43,-27.38,-32.02,-35.71,-79.28,-79.28
32,-13.05,-16.24,-18.23,-21.44,-27.39,-34.59,-36.1,-79.55,-79.55
33,-13.13,-16.48,-20.62,-22.44,-29.11,-33.08,-37.08,-81.22,-81.22
34,-13.21,-16.85,-19.65,-23.23,-29.12,-34.07,-38.85,-83.04,-83.04
35,-13.45,-17.74,-20.31,-23.79,-29.62,-34.95,-39.13,-85.1,-85.1
36,-13.65,-17.75,-20.46,-24.38,-33.28,-39.03,-40.66,-86.92,-86.92
37,-13.86,-17.99,-20.68,-24.91,-31.0,-37.3,-41.07,-88.91,-88.91
38,-14.08,-18.26,-21.34,-25.52,-34.18,-37.45,-41.83,-91.04,-91.04
39,-14.55,-18.97,-22.25,-26.3,-33.14,-38.92,-42.69,-93.0,-93.0
40,-14.56,-19.04,-22.26,-26.31,-33.18,-38.93,-42.7,-94.99,-94.99
41,-14.88,-19.87,-22.91,-29.82,-34.56,-40.13,-44.31,-96.63,-96.63
42,-14.89,-19.94,-23.8,-27.33,-34.72,-40.81,-44.54,-98.45,-98.45
43,-15.18,-20.22,-23.83,-28.73,-36.6,-42.29,-45.75,-100.46,-100.46
44,-15.38,-20.53,-24.45,-29.24,-36.82,-43.6,-46.22,-101.9,-101.9
