weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
1,11.32,11.65,12.69,13.27,13.72,13.93,14.17,40.84,40.84
2,12.08,13.32,14.53,14.84,15.49,16.13,16.4,45.42,45.42
3,12.57,14.03,15.16,15.93,16.58,17.2,18.05,49.36,49.36
4,12.94,14.11,15.78,16.81,17.27,18.47,19.34,54.2,54.2
5,13.29,14.76,16.17,17.56,18.26,19.33,20.48,58.75,58.75
6,13.39,14.81,16.33,17.63,18.28,19.34,20.49,63.4,63.4
7,14.15,15.15,16.76,18.19,18.61,19.86,21.26,67.69,67.69
8,14.56,15.7,17.34,18.71,19.36,20.66,22.19,70.34,70.34
9,14.78,15.92,17.42,18.87,19.77,21.52,23.37,75.29,75.29
10,18.98,20.26,22.21,24.48,25.26,28.08,31.56,80.0,80.0
11,20.17,20.72,23.02,24.97,25.91,30.5,33.94,84.88,84.88
12,20.09,21.59,22.91,24.96,26.82,31.97,34.68,88.52,88.52
13,20.1,21.6,23.0,25.25,27.65,33.67,36.26,92.19,92.19
14,21.36,22.28,23.41,26.07,29.27,36.35,40.38,96.01,96.01
15,21.37,22.59,23.74,26.78,30.88,37.19,41.05,99.54,99.54
16,21.92,23.73,24.53,28.28,32.59,40.65,44.13,103.99,103.99
17,22.07,24.23,25.18,28.63,33.98,42.41,44.14,108.43,108.43
18,22.3,24.96,25.06,30.02,35.75,44.02,47.59,112.91,112.91
19,22.91,25.73,26.42,31.91,36.81,44.74,49.87,117.37,117.37
20,23.29,26.2,26.76,32.93,38.36,46.67,51.99,121.29,121.29
21,23.92,27.22,28.19,33.57,39.56,47.69,53.58,124.07,124.07
22,23.98,27.7,29.17,33.97,40.85,49.74,55.61,127.95,127.95
23,24.07,27.76,29.36,34.6,42.73,50.64,57.8,131.81,131.81
24,25.16,29.37,31.36,37.0,45.09,52.65,61.12,136.14,136.14
25,24.82,28.99,31.02,37.72,46.06,55.23,63.0,140.35,140.35
26,26.46,29.98,32.32,38.67,47.73,57.82,65.61,144.79,144.79
27,26.73,30.7,33.46,39.91,49.66,58.55,66.71,148.81,148.81
28,27.83,31.43,34.49,41.94,51.68,61.17,69.25,152.81,152.81
29,27.42,32.03,35.07,41.95,53.15,62.56,71.53,156.57,156.57
30,27.7,33.37,36.12,43.61,54.01,62.88,74.06,160.32,160.32
31,28.89,33.52,36.86,44.51,55.58,65.21,76.43,160.33,160.33
32,28.9,33.54,36.87,43.84,55.6,65.62,77.26,160.88,160.88
33,29.06,34.03,39.12,45.89,59.09,67.38,79.35,164.25,164.25
34,29.24,34.79,39.75,47.5,59.11,69.39,83.15,167.94,167.94
35,29.79,36.64,41.06,48.64,60.12,71.18,83.75,172.1,172.1
36,30.23,36.65,41.38,49.84,63.13,74.03,87.03,175.77,175.77
37,30.69,37.15,41.81,50.95,62.92,75.98,87.89,179.8,179.8
38,31.17,37.71,43.15,52.18,64.84,76.27,89.53,184.1,184.1
39,32.21,39.18,45.0,53.78,67.27,79.28,91.36,188.07,188.07
40,32.23,39.33,45.02,53.8,67.35,79.29,91.39,192.09,192.09
41,32.95,41.03,46.32,56.57,70.15,81.73,94.83,195.41,195.41
42,32.97,41.18,48.12,55.89,70.47,83.13,95.32,199.1,199.1
43,33.6,41.76,48.2,58.74,74.3,86.14,97.91,203.16,203.16
44,34.06,42.39,49.44,59.79,74.73,88.82,98.93,206.07,206.07
45,34.12,42.41,49.45,59.8,74.75,90.55,99.62,210.04,210.04
46,35.01,42.85,51.02,60.94,76.73,91.53,102.27,214.08,214.08
47,35.02,43.81,51.85,61.37,77.77,93.3,103.92,218.18,218.18
48,35.03,43.83,52.44,63.59,78.92,94.16,105.57,221.93,221.93
49,35.05,43.84,52.45,63.6,79.52,96.05,106.19,225.72,225.72
50,35.06,43.85,53.28,63.65,80.2,96.89,107.68,229.51,229.51
51,35.07,43.86,52.73,63.96,81.2,98.09,110.17,235.5,235.5
52,35.08,43.88,52.76,64.0,81.21,98.12,110.18,235.98,235.98
53,35.1,43.89,52.78,64.63,81.23,98.13,111.26,239.55,239.55
54,35.11,43.9,52.86,64.74,81.25,98.14,111.27,242.94,242.94
55,35.12,43.91,52.87,64.76,81.27,98.15,111.28,246.21,246.21
56,35.15,43.94,52.88,64.77,81.29,98.18,112.67,249.53,249.53
57,35.78,44.17,52.9,66.71,81.32,98.21,113.81,252.97,252.97
58,35.79,44.18,53.48,66.73,81.33,98.22,114.82,256.28,256.28
59,35.82,44.22,53.29,66.77,81.9,98.23,116.73,260.17,260.17
60,36.81,45.93,54.2,69.13,83.68,98.59,117.44,264.23,264.23
61,36.82,46.06,54.73,69.29,83.43,98.6,117.45,267.49,267.49
62,38.33,49.34,55.62,71.24,84.71,100.11,118.88,271.88,271.88
63,38.34,49.35,56.15,71.28,85.29,100.93,119.6,276.34,276.34
64,39.37,49.37,57.08,71.29,85.9,100.94,120.34,280.94,280.94
65,39.8,50.69,57.09,71.31,86.65,101.18,120.53,285.53,285.53
66,40.0,51.19,57.1,71.32,86.71,101.5,121.05,289.94,289.94
67,40.01,51.21,57.12,71.46,87.38,101.99,122.19,294.35,294.35
68,40.47,52.15,60.58,73.08,88.68,103.54,122.2,298.58,298.58
69,41.3,52.66,61.17,73.6,89.15,103.55,122.85,302.92,302.92
70,41.49,53.39,62.5,77.15,90.92,103.56,123.9,309.29,309.29
71,48.28,62.48,72.42,88.75,105.08,119.28,142.71,314.05,314.05
