weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
1,6.87,6.87,6.87,6.87,6.87,6.87,6.87,26.22,26.22
2,6.87,6.87,6.87,6.87,6.87,6.9,7.02,29.6,29.6
3,6.87,6.87,6.87,6.87,7.09,7.36,7.72,33.5,33.5
4,6.87,6.87,6.87,7.19,7.39,7.9,8.27,35.95,35.95
5,6.87,6.87,6.92,7.51,7.81,8.27,8.76,37.88,37.88
6,6.87,6.87,6.99,7.54,7.82,8.27,8.77,40.49,40.49
7,6.87,6.87,7.17,7.78,7.96,8.5,9.1,46.38,46.38
8,6.87,6.87,7.42,8.0,8.28,8.84,9.49,49.51,49.51
9,6.87,6.87,7.45,8.07,8.46,9.21,10.0,52.19,52.19
10,8.07,8.67,9.5,10.47,10.81,12.01,13.4,57.29,57.29
11,8.52,8.86,9.71,10.53,11.08,13.05,14.28,61.27,61.27
12,8.59,9.24,9.8,10.68,11.47,13.68,14.84,65.75,65.75
13,8.6,9.24,9.84,10.8,11.83,14.4,15.51,70.24,70.24
14,9.02,9.53,10.01,11.15,12.52,15.55,16.86,74.78,74.78
15,9.03,9.66,10.16,11.46,13.21,15.91,17.56,79.21,79.21
16,9.54,10.33,10.66,12.1,14.16,17.39,18.99,82.96,82.96
17,9.61,10.55,10.77,12.44,14.65,18.14,18.99,87.08,87.08
18,9.71,10.68,10.88,13.04,15.42,18.83,20.48,91.5,91.5
19,9.96,11.2,11.44,13.65,15.87,19.25,21.63,95.87,95.87
20,9.96,11.21,11.45,14.09,16.41,19.97,22.24,100.39,100.39
21,10.38,11.64,12.06,14.36,16.92,20.53,22.92,104.61,104.61
22,10.39,11.85,12.48,14.75,17.61,21.28,23.93,109.13,109.13
23,10.4,11.99,12.66,14.92,18.28,21.79,24.88,113.62,113.62
24,10.76,12.56,13.42,15.83,19.29,22.52,26.3,118.01,118.01
25,10.77,12.61,13.47,16.14,19.7,23.76,27.11,122.39,122.39
26,11.32,13.05,14.04,16.8,20.42,24.74,28.23,126.79,126.79
27,11.64,13.36,14.31,17.07,21.24,25.2,28.71,131.23,131.23
28,11.91,13.68,14.87,17.94,22.28,26.33,29.8,135.83,135.83
29,11.91,13.94,15.0,17.95,22.92,26.93,30.6,140.42,140.42
30,11.96,14.28,15.57,18.66,23.29,27.06,31.87,144.89,144.89
31,12.57,14.59,16.01,19.04,23.96,28.06,32.89,149.28,149.28
32,12.58,14.6,16.02,19.05,23.97,28.07,33.25,153.79,153.79
33,12.62,14.81,16.74,19.94,25.48,29.0,34.15,158.13,158.13
34,12.63,15.14,17.27,20.63,25.48,29.86,35.79,162.56,162.56
35,12.87,15.83,17.7,20.97,25.92,30.63,36.04,166.78,166.78
36,13.06,15.95,17.98,21.65,27.01,31.67,37.45,170.74,170.74
37,13.35,16.17,18.17,21.97,27.13,32.7,37.82,174.01,174.01
38,13.46,16.41,18.75,22.5,27.74,32.83,38.52,177.34,177.34
39,14.01,17.05,19.55,23.36,29.0,34.12,39.31,180.56,180.56
40,14.02,17.12,19.55,23.37,29.04,34.12,39.33,183.82,183.82
41,14.34,17.85,20.12,24.2,30.38,35.17,41.02,187.14,187.14
42,14.35,17.92,20.9,24.2,30.39,35.77,41.02,190.39,190.39
43,14.62,18.18,20.94,25.51,32.21,37.07,42.14,193.71,193.71
44,14.83,18.45,21.47,25.97,32.22,38.22,42.57,196.94,196.94
45,14.84,18.46,21.48,25.98,32.23,38.97,42.87,200.18,200.18
46,15.26,18.65,22.16,26.47,33.08,39.39,44.01,203.44,203.44
47,15.27,19.07,22.52,26.66,33.55,40.15,44.72,206.77,206.77
48,15.28,19.11,22.78,27.63,34.03,40.82,45.77,210.04,210.04
49,15.28,19.11,22.78,27.64,34.54,41.65,46.04,213.31,213.31
50,15.29,19.12,22.79,27.65,34.58,41.7,46.34,216.6,216.6
51,15.29,19.13,22.8,27.66,34.85,42.02,47.63,219.9,219.9
52,15.3,19.14,22.81,27.67,34.85,42.03,47.64,223.15,223.15
53,15.31,19.14,22.81,27.94,34.86,42.04,48.1,226.47,226.47
54,15.31,19.14,22.86,28.0,34.87,42.04,48.11,229.69,229.69
55,15.32,19.15,22.86,28.0,34.87,42.04,48.11,232.91,232.91
56,15.32,19.16,22.87,28.01,34.88,42.06,48.26,236.25,236.25
57,15.6,19.26,22.87,28.85,34.9,42.06,49.17,239.21,239.21
58,15.61,19.27,22.88,28.86,34.9,42.07,49.18,241.61,241.61
59,15.61,19.29,23.04,28.87,35.14,42.07,50.0,243.39,243.39
60,16.05,20.03,23.43,29.89,35.8,42.22,50.3,244.85,244.85
61,16.06,20.08,23.66,29.9,35.8,42.23,50.31,246.31,246.31
62,16.72,21.51,24.05,30.58,36.35,42.88,51.4,247.89,247.89
63,16.73,21.52,24.28,30.59,36.61,43.23,51.4,249.32,249.32
64,17.17,21.53,24.49,30.6,36.86,43.24,51.62,250.78,250.78
65,17.36,21.9,24.5,30.6,37.19,43.34,51.63,252.31,252.31
66,17.44,22.32,24.69,30.84,37.21,43.48,52.33,254.14,254.14
67,17.45,22.33,24.7,30.9,37.5,43.69,52.34,254.81,254.81
68,17.64,22.74,26.19,31.6,38.05,44.35,52.34,255.36,255.36
69,18.01,22.96,26.45,31.82,38.62,44.35,53.06,256.06,256.06
70,18.02,23.28,26.82,33.11,39.02,44.36,53.07,256.68,256.68
