weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
1,8.07,8.07,8.07,8.07,8.07,8.07,8.07,40.84,40.84
2,8.07,8.07,8.07,8.07,8.07,8.07,8.07,45.42,45.42
3,8.07,8.07,8.07,8.07,8.07,8.07,8.4,49.36,49.36
4,8.07,8.07,8.07,8.07,8.07,8.59,9.0,54.2,54.2
5,8.07,8.07,8.07,8.17,8.49,8.99,9.53,58.75,58.75
6,8.07,8.07,8.07,8.07,8.32,8.8,9.32,63.4,63.4
7,8.07,8.07,8.07,8.28,8.47,9.04,9.68,67.69,67.69
8,8.07,8.07,8.07,8.51,8.81,9.4,10.1,70.34,70.34
9,8.07,8.07,8.07,8.59,9.0,9.79,10.64,75.29,75.29
10,8.07,8.07,8.07,8.82,9.1,10.26,11.34,80.0,80.0
11,8.07,8.07,8.07,8.07,8.47,9.99,10.85,84.88,84.88
12,8.07,8.07,8.07,8.1,8.77,10.39,11.36,88.52,88.52
13,8.07,8.07,8.07,8.25,9.04,11.03,11.87,92.19,92.19
14,8.07,8.07,8.07,8.45,9.57,11.81,12.91,96.01,96.01
15,8.07,8.07,8.07,8.75,10.1,12.18,13.44,99.54,99.54
16,8.07,8.07,8.07,8.9,10.42,12.83,14.11,103.99,103.99
17,8.07,8.07,8.07,9.16,10.86,13.48,14.11,108.43,108.43
18,8.07,8.07,8.07,9.6,11.43,13.88,15.22,112.91,112.91
19,8.07,8.23,8.45,10.05,11.77,14.3,15.94,117.37,117.37
20,8.07,8.3,8.49,10.45,12.17,14.83,16.52,121.29,121.29
21,8.07,8.19,8.5,10.05,11.93,14.5,16.19,124.07,124.07
22,8.07,8.28,8.73,10.32,12.42,15.03,16.9,127.95,127.95
23,8.07,8.44,8.92,10.52,12.89,15.39,17.57,131.81,131.81
24,8.07,8.78,9.38,11.08,13.5,15.91,18.58,136.14,136.14
25,8.07,8.81,9.43,11.29,13.89,16.79,19.15,140.35,140.35
26,8.07,9.11,9.82,11.75,14.4,17.47,19.94,144.79,144.79
27,8.13,9.33,10.02,11.95,14.98,17.8,20.28,148.81,148.81
28,8.32,9.55,10.48,12.65,15.71,18.59,21.05,152.81,152.81
29,8.33,9.74,10.58,12.65,16.15,19.02,21.61,156.57,156.57
30,8.42,9.97,10.98,13.15,16.42,19.11,22.51,160.32,160.32
31,8.1,9.4,10.33,12.28,15.58,18.28,21.42,160.33,160.33
32,8.1,9.4,10.33,12.29,15.58,18.28,21.65,160.88,160.88
33,8.15,9.54,10.8,12.86,16.56,18.88,22.24,164.25,164.25
34,8.2,9.75,11.14,13.31,16.57,19.45,23.31,167.94,167.94
35,8.35,10.27,11.51,13.63,16.85,19.95,23.47,172.1,172.1
36,8.47,10.27,11.6,13.97,17.56,20.63,24.39,175.77,175.77
37,8.6,10.41,11.72,14.28,17.63,21.3,24.63,179.8,179.8
38,8.74,10.57,12.09,14.62,18.03,21.38,25.09,184.1,184.1
39,9.03,10.98,12.61,15.07,18.85,22.22,25.61,188.07,188.07
