zip_code,das_type_hd,das_type_sp
01002,DAS,DAS
01005,DAS_EXTENDED,DAS_EXTENDED
01007,DAS,DAS
01010,DAS,
01011,,DAS_EXTENDED
01026,,DAS_EXTENDED
01029,DAS,
01031,,DAS_EXTENDED
01032,DAS,DAS
01033,DAS,DAS
01034,DAS_EXTENDED,
01036,DAS,DAS
01037,DAS_EXTENDED,DAS_EXTENDED
01050,DAS_EXTENDED,
01054,,DAS_EXTENDED
01056,DAS,DAS
01057,DAS,DAS
01068,DAS_EXTENDED,DAS_EXTENDED
01069,DAS,DAS
01071,DAS_EXTENDED,DAS_EXTENDED
01073,DAS,DAS
01074,,DAS_EXTENDED
01079,DAS,
01080,DAS,DAS
01081,DAS_EXTENDED,DAS_EXTENDED
01082,DAS,DAS
01083,DAS,DAS
01096,DAS_EXTENDED,DAS_EXTENDED
01098,DAS_EXTENDED,
01220,DAS,DAS
01223,DAS_EXTENDED,
01224,,DAS
01225,DAS,DAS
01226,DAS,DAS
01230,DAS_EXTENDED,DAS_EXTENDED
01235,DAS_EXTENDED,DAS_EXTENDED
01236,DAS,DAS
01237,DAS_EXTENDED,DAS_EXTENDED
01240,DAS,DAS
01243,DAS_EXTENDED,
01247,DAS,DAS
01253,DAS_EXTENDED,
01255,DAS_EXTENDED,
01256,,DAS_EXTENDED
01257,DAS,DAS
01259,DAS_EXTENDED,
01266,,DAS_EXTENDED
01267,DAS,DAS
01330,DAS_EXTENDED,DAS_EXTENDED
01331,DAS,DAS
01337,DAS,DAS
01341,DAS_EXTENDED,DAS_EXTENDED
01344,DAS_EXTENDED,DAS_EXTENDED
01351,DAS,
01360,DAS_EXTENDED,DAS_EXTENDED
01364,DAS,DAS
01366,DAS_EXTENDED,DAS_EXTENDED
01370,DAS_EXTENDED,DAS_EXTENDED
01375,,DAS
01376,DAS,DAS
01378,,DAS_EXTENDED
01420,DAS,DAS
01430,DAS,DAS
01431,,DAS
01432,DAS,DAS
01436,,DAS
01450,DAS,DAS
01451,DAS,
01452,DAS_EXTENDED,DAS_EXTENDED
01462,DAS,DAS
01463,DAS,DAS
01464,DAS,DAS
01468,DAS,DAS
01469,DAS,DAS
01473,DAS,DAS
01474,,DAS
01475,DAS_EXTENDED,DAS_EXTENDED
01503,DAS,DAS
01504,DAS,DAS
01506,DAS,DAS
01507,DAS_EXTENDED,DAS_EXTENDED
01515,DAS,DAS
01516,DAS,DAS
01518,DAS,DAS
01521,DAS,DAS
01522,DAS,DAS
01523,DAS,DAS
01529,DAS,
01531,,DAS_EXTENDED
01535,DAS,DAS
01541,DAS,DAS
01542,,DAS
01543,DAS,DAS
01550,DAS,DAS
01561,,DAS_EXTENDED
01562,DAS,DAS
01566,DAS,DAS
01568,DAS,DAS
01585,DAS_EXTENDED,DAS_EXTENDED
01590,DAS,DAS
01611,DAS,
01612,DAS,DAS
01720,DAS,DAS
01741,DAS,
01754,DAS,DAS
01756,DAS_EXTENDED,DAS_EXTENDED
01770,DAS,DAS
01773,DAS,DAS
01775,DAS,
01826,DAS,DAS
01827,,DAS
01830,DAS,DAS
01832,DAS,DAS
01833,,DAS
01860,DAS,DAS
01879,DAS,DAS
01921,DAS,DAS
01922,DAS,DAS
01929,DAS,DAS
01930,DAS,DAS
01938,DAS,DAS
01944,DAS,DAS
01949,,DAS
01950,DAS,DAS
01951,DAS,
01952,DAS,DAS
01966,DAS,DAS
01969,DAS,DAS
01982,DAS,DAS
01983,DAS,DAS
01985,DAS,
02025,DAS,DAS
02030,,DAS
02045,DAS,DAS
02047,,DAS_EXTENDED
02053,DAS,DAS
02054,DAS,DAS
02056,DAS,
02066,DAS,DAS
02108,DAS,
02109,DAS,
02110,DAS,DAS
02111,DAS,DAS
02113,DAS,DAS
02114,DAS,DAS
02116,DAS,DAS
02127,DAS,DAS
02210,DAS,DAS
02330,DAS,DAS
02332,DAS,DAS
02338,DAS,DAS
02341,DAS,DAS
02347,DAS,DAS
02364,DAS,DAS
02367,DAS,
02534,DAS,
02536,DAS,DAS
02538,DAS,DAS
02539,DAS_REMOTE,DAS_EXTENDED
02540,DAS,DAS
02542,DAS,DAS
02554,DAS_REMOTE,DAS_EXTENDED
02564,,DAS_EXTENDED
02568,DAS_REMOTE,DAS_EXTENDED
02630,DAS,DAS
02631,DAS,DAS
02633,DAS,DAS
02635,DAS,DAS
02638,DAS,DAS
02639,DAS,DAS
02642,DAS,DAS
02643,,DAS
02645,DAS,DAS
02646,DAS,DAS
02648,DAS,DAS
02650,DAS,
02652,DAS,DAS
02653,DAS,DAS
02655,DAS,DAS
02657,DAS,DAS
02660,DAS,
02666,DAS_EXTENDED,DAS_EXTENDED
02667,DAS_EXTENDED,DAS_EXTENDED
02668,DAS,DAS
02675,DAS,DAS
02702,DAS,DAS
02715,DAS,
02717,DAS,DAS
02739,DAS,DAS
02743,DAS,DAS
02744,DAS,DAS
02748,DAS,
02769,DAS_EXTENDED,DAS_EXTENDED
02770,DAS_EXTENDED,
02777,DAS,DAS
02779,DAS,DAS
02790,DAS,DAS
02804,DAS,DAS
02807,DAS_REMOTE,DAS_EXTENDED
02808,DAS_EXTENDED,
02813,DAS_EXTENDED,DAS_EXTENDED
02814,DAS,DAS
02816,DAS,DAS
02817,DAS,DAS
02818,DAS,DAS
02822,DAS_EXTENDED,DAS_EXTENDED
02825,DAS_EXTENDED,DAS_EXTENDED
02827,DAS_EXTENDED,DAS_EXTENDED
02830,DAS_EXTENDED,DAS
02832,DAS_EXTENDED,DAS_EXTENDED
02835,DAS,DAS
02837,DAS,DAS
02838,,DAS
02839,DAS,DAS
02857,DAS_EXTENDED,DAS_EXTENDED
02859,DAS,DAS
02874,DAS_EXTENDED,DAS_EXTENDED
02875,DAS_EXTENDED,
02878,DAS,DAS
02879,DAS,DAS
02891,DAS,DAS
02892,DAS_EXTENDED,
02896,DAS,DAS
03032,DAS,DAS
03033,DAS,DAS
03034,DAS,DAS
03036,DAS,DAS
