weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_14,zone_17,zone_22,zone_23,zone_25,zone_92,zone_96
1,6.13,6.13,6.13,6.13,6.13,6.13,6.13,39.38,8.96,39.38,9.19,13.71,14.15,13.71,14.15
2,6.13,6.13,6.13,6.13,6.13,6.29,6.4,39.38,8.96,39.38,9.19,13.71,14.15,13.71,14.15
3,6.13,6.13,6.13,6.21,6.47,6.71,7.04,39.38,8.96,39.38,9.19,13.71,14.15,13.71,14.15
4,6.13,6.13,6.15,6.56,6.74,7.2,7.54,39.38,8.96,39.38,9.19,13.71,14.15,14.65,15.45
5,6.13,6.13,6.31,6.85,7.12,7.54,7.99,42.35,8.96,39.38,9.19,13.71,14.15,16.67,17.56
6,6.13,6.13,6.37,6.88,7.13,7.54,7.99,45.71,8.96,39.38,9.19,14.35,15.08,18.77,19.74
7,6.13,6.13,6.54,7.09,7.26,7.75,8.29,48.8,8.96,39.38,9.19,15.89,16.73,20.8,21.89
8,6.13,6.13,6.76,7.3,7.55,8.06,8.65,50.71,8.96,39.38,9.19,17.46,18.43,22.85,24.11
9,6.13,6.21,6.79,7.36,7.71,8.39,9.11,54.28,8.96,41.48,9.19,19.01,20.1,24.88,26.3
10,6.13,6.28,6.86,7.56,7.8,8.79,9.71,57.67,8.96,44.07,9.19,20.56,21.8,26.9,28.53
11,6.13,6.13,6.54,7.1,7.53,8.88,9.64,61.19,8.96,46.76,9.19,22.28,23.63,29.15,30.93
12,6.13,6.21,6.61,7.2,7.79,9.23,10.09,63.81,8.96,48.77,9.19,23.79,25.26,31.13,33.05
13,6.13,6.24,6.68,7.33,8.03,9.8,10.55,66.46,8.96,50.79,9.47,25.2,26.81,32.98,35.09
14,6.13,6.41,6.75,7.51,8.5,10.5,11.47,69.21,8.96,52.89,9.78,26.5,28.37,34.68,37.13
15,6.13,6.55,6.84,7.78,8.97,10.83,11.94,71.76,8.96,54.84,10.08,27.84,29.92,36.43,39.15
16,6.23,6.74,6.97,7.91,9.26,11.4,12.54,74.97,8.96,57.29,10.32,29.08,31.33,38.05,41.0
17,6.27,6.88,7.05,8.14,9.66,11.98,12.54,78.17,8.96,59.73,10.64,30.47,32.96,39.87,43.13
18,6.34,6.97,7.12,8.53,10.16,12.34,13.52,81.4,8.96,62.2,10.94,31.89,34.59,41.73,45.26
19,6.51,7.31,7.51,8.93,10.46,12.71,14.17,84.61,8.96,64.66,11.28,33.26,36.21,43.53,47.38
20,6.56,7.37,7.55,9.28,10.81,13.18,14.68,87.44,8.96,66.82,11.57,34.6,37.85,45.28,49.53
21,6.13,6.81,7.07,8.35,9.91,12.04,13.45,89.44,8.96,68.35,11.93,35.81,39.48,46.87,51.66
22,6.13,6.88,7.25,8.58,10.32,12.49,14.04,92.24,8.96,70.49,12.2,36.99,41.04,48.4,53.7
23,6.13,7.01,7.41,8.74,10.71,12.79,14.6,95.02,8.96,72.61,12.52,38.15,42.58,49.92,55.72
24,6.25,7.29,7.8,9.21,11.22,13.22,15.44,98.14,8.96,75.0,12.84,39.29,44.13,51.41,57.75
25,6.27,7.32,7.83,9.38,11.54,13.95,15.91,101.18,8.96,77.32,13.2,40.55,45.65,53.07,59.74
26,6.13,6.39,6.89,8.24,10.09,12.25,13.98,104.38,8.96,79.76,13.55,41.8,47.14,54.69,61.69
27,6.13,6.54,7.03,8.38,10.5,12.48,14.22,107.28,8.96,81.98,13.89,43.0,48.61,56.27,63.61
28,6.13,6.7,7.35,8.87,11.01,13.04,14.76,110.16,8.96,84.18,14.21,44.24,50.09,57.9,65.54
29,6.13,6.83,7.42,8.87,11.33,13.33,15.15,112.87,9.06,86.25,14.56,45.5,51.51,59.55,67.41
30,6.13,6.99,7.7,9.22,11.51,13.4,15.78,115.57,9.1,88.32,14.85,46.74,53.0,61.16,69.35
31,6.16,7.14,7.85,9.34,11.84,13.9,16.29,115.58,9.22,88.33,15.17,47.99,54.4,62.8,71.19
32,6.16,7.15,7.86,9.34,11.85,13.9,16.46,115.98,9.29,88.63,15.41,49.13,55.7,64.3,72.89
33,6.19,7.25,8.21,9.78,12.59,14.36,16.91,118.41,9.35,90.49,15.65,50.27,56.89,65.78,74.45
34,6.23,7.41,8.47,10.12,12.6,14.79,17.72,121.07,9.49,92.52,15.96,51.38,58.03,67.23,75.93
35,6.35,7.81,8.75,10.37,12.81,15.17,17.85,124.07,9.57,94.81,16.28,52.37,59.08,68.54,77.31
36,6.44,7.81,8.82,10.62,13.35,15.68,18.55,126.71,9.72,96.83,16.53,53.27,60.08,69.71,78.62
37,6.54,7.92,8.91,10.86,13.41,16.19,18.73,129.62,9.74,99.05,16.79,54.17,61.03,70.89,79.86
38,6.64,8.04,9.2,11.12,13.71,16.25,19.08,132.72,9.85,101.42,17.04,55.05,62.03,72.03,81.17
39,6.86,8.35,9.59,11.46,14.33,16.89,19.47,135.58,9.91,103.61,17.29,55.99,62.98,73.27,82.42
40,6.87,8.38,9.59,11.46,14.35,16.9,19.48,138.48,9.99,105.82,17.56,56.89,64.07,74.45,83.84
41,7.02,8.74,9.87,11.87,14.95,17.42,20.21,140.87,10.11,107.65,17.79,57.83,65.19,75.67,85.3
42,7.03,8.77,10.25,11.91,15.02,17.71,20.31,143.53,10.31,109.68,18.09,58.71,66.34,76.83,86.81
43,7.16,8.9,10.27,12.52,15.83,18.36,20.87,146.46,10.42,111.92,18.3,59.59,67.52,77.97,88.35
44,7.26,9.03,10.54,12.74,15.92,18.93,21.08,148.56,10.57,113.52,18.59,60.53,68.63,79.21,89.8
45,7.27,9.04,10.54,12.74,15.93,19.3,21.23,151.42,10.68,115.71,18.82,61.43,69.77,80.38,91.3
46,7.46,9.13,10.87,12.99,16.35,19.5,21.79,154.33,10.77,117.94,19.09,62.34,70.9,81.58,92.77
47,7.46,9.34,11.05,13.08,16.57,19.88,22.15,157.29,10.94,120.2,19.33,63.28,72.05,82.8,94.28
48,7.47,9.34,11.18,13.55,16.82,20.07,22.5,159.99,11.1,122.26,19.66,64.15,73.2,83.95,95.79
49,7.47,9.34,11.18,13.55,16.95,20.47,22.63,162.72,11.3,124.35,19.97,65.06,74.23,85.14,97.13
50,7.47,9.34,11.18,13.56,17.09,20.65,22.95,165.45,11.63,126.44,20.29,65.99,75.21,86.35,98.42
51,7.47,9.35,11.24,13.63,17.3,20.9,23.48,169.77,11.79,129.74,20.64,67.12,76.54,87.83,100.16
52,7.48,9.35,11.24,13.64,17.31,20.91,23.48,170.12,12.06,130.0,21.02,67.87,77.51,88.81,101.42
53,7.48,9.35,11.25,13.77,17.31,20.91,23.71,172.69,12.18,131.97,21.49,68.63,78.51,89.81,102.74
54,7.48,9.36,11.26,13.8,17.32,20.91,23.71,175.14,12.42,133.84,21.66,69.35,79.47,90.75,104.0
55,7.48,9.36,11.27,13.8,17.32,20.92,23.71,177.49,12.65,135.64,21.97,70.12,80.5,91.76,105.34
56,7.49,9.36,11.27,13.8,17.32,20.92,24.01,179.89,13.01,137.47,22.29,70.79,81.38,92.63,106.49
57,7.62,9.41,11.27,14.22,17.33,20.93,24.25,182.37,13.08,139.36,22.59,71.42,82.18,93.46,107.54
58,7.63,9.41,11.28,14.22,17.33,20.93,24.47,184.75,13.32,141.18,22.92,72.07,83.02,94.31,108.63
59,7.63,9.42,11.36,14.23,17.45,20.93,24.88,187.56,13.57,143.33,23.22,72.76,83.82,95.22,109.69
60,7.84,9.79,11.55,14.73,17.78,21.01,25.03,190.48,13.86,145.56,23.54,73.4,84.65,96.05,110.77
61,7.85,9.81,11.66,14.77,17.78,21.01,25.03,192.83,14.09,147.36,23.84,74.09,85.4,96.95,111.75
62,8.17,10.51,11.85,15.18,18.05,21.33,25.33,196.0,14.2,149.78,24.15,74.77,86.11,97.84,112.68
63,8.17,10.52,11.97,15.19,18.18,21.51,25.49,199.21,14.37,152.24,24.47,75.43,86.87,98.71,113.68
64,8.39,10.52,12.16,15.19,18.31,21.51,25.64,202.53,14.6,154.77,24.78,76.05,87.57,99.52,114.59
65,8.48,10.8,12.17,15.2,18.47,21.56,25.69,205.84,15.0,157.3,25.12,76.7,88.34,100.36,115.6
66,8.52,10.91,12.17,15.2,18.48,21.63,25.8,209.02,15.15,159.73,25.43,77.25,89.06,101.08,116.55
67,8.53,10.91,12.17,15.23,18.62,21.73,26.04,212.2,15.27,162.16,25.73,77.85,89.79,101.87,117.5
68,8.62,11.11,12.91,15.57,18.9,22.06,26.04,215.25,15.84,164.49,26.07,78.38,90.55,102.56,118.49
69,8.8,11.22,13.04,15.68,19.0,22.07,26.18,218.38,15.85,166.88,26.38,78.98,91.27,103.36,119.44
70,8.84,11.38,13.32,16.44,19.38,22.07,26.4,222.97,16.21,170.39,26.69,79.59,91.99,104.15,120.38
71,8.85,11.38,13.52,16.44,19.5,22.43,26.41,226.4,16.41,173.01,26.96,80.13,92.72,104.86,121.33
72,9.1,11.38,13.81,16.45,19.83,23.38,26.45,229.77,17.5,175.58,28.18,80.75,93.45,105.66,122.29
73,9.16,11.49,13.81,16.69,20.04,23.43,26.45,233.13,17.68,178.16,29.08,81.3,94.21,106.39,123.28
74,9.4,11.49,13.82,16.7,20.35,23.43,26.46,235.38,18.95,179.87,30.28,81.97,94.93,107.26,124.22
75,9.75,11.5,13.82,16.83,20.35,23.67,26.46,238.04,20.0,181.91,30.65,82.71,95.7,108.24,125.23
76,10.5,12.14,13.91,17.08,20.8,24.05,26.71,240.98,20.73,184.15,31.56,83.47,96.41,109.23,126.16
77,10.91,12.32,14.07,17.16,20.92,24.73,26.71,242.96,21.58,185.67,32.75,84.2,97.18,110.18,127.17
78,10.92,12.78,14.48,17.34,21.05,24.92,26.72,244.27,22.47,186.67,33.69,85.04,97.88,111.29,128.08
79,11.42,13.31,14.84,17.62,21.49,25.3,27.15,244.31,23.37,186.7,34.6,85.89,98.66,112.39,129.1
80,11.73,13.57,14.91,18.04,21.85,25.65,27.36,246.86,24.47,188.65,35.21,86.7,99.35,113.46,130.01
81,12.01,13.68,15.27,18.16,22.13,25.81,27.45,248.93,24.89,190.23,37.13,87.52,100.12,114.53,131.01
82,12.4,14.01,15.96,18.62,22.19,26.48,27.46,250.17,26.54,191.18,37.7,88.27,100.83,115.51,131.95
83,12.41,14.02,15.96,18.62,22.26,26.48,27.46,252.9,27.44,193.26,38.28,89.02,101.61,116.49,132.96
84,12.9,14.57,16.43,18.81,22.8,26.79,27.67,255.82,27.53,195.49,39.24,89.78,102.33,117.49,133.91
85,13.25,14.57,16.44,19.11,22.94,27.08,27.97,258.8,28.69,197.77,40.51,90.52,103.07,118.46,134.88
