weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_17,zone_26,zone_99
1,6.87,6.87,6.87,6.87,6.87,6.87,6.87,20.22,20.22,20.22,20.22,20.22
2,6.87,6.87,6.87,6.87,6.87,6.9,7.02,20.22,20.22,20.22,20.22,20.22
3,6.87,6.87,6.87,6.87,7.09,7.36,7.72,20.22,20.22,20.22,20.22,20.22
4,6.87,6.87,6.87,7.19,7.39,7.9,8.27,20.22,20.22,20.22,20.22,20.22
5,6.87,6.87,6.92,7.51,7.81,8.27,8.76,20.22,20.22,20.22,20.22,20.22
6,6.87,6.87,6.99,7.54,7.82,8.27,8.77,20.22,20.22,20.22,20.22,20.22
7,6.87,6.87,7.17,7.78,7.96,8.5,9.1,20.78,20.78,20.78,20.78,20.78
8,6.87,6.87,7.42,8.0,8.28,8.84,9.49,22.18,22.18,22.18,22.18,22.18
9,6.87,6.87,7.45,8.07,8.46,9.21,10,23.38,23.38,23.38,23.38,23.38
10,8.07,8.67,9.5,10.47,10.81,12.01,13.4,25.66,25.66,25.66,25.66,25.66
11,8.52,8.86,9.71,10.53,11.08,13.05,14.28,27.45,27.45,27.45,27.45,27.45
12,8.59,9.24,9.8,10.68,11.47,13.68,14.84,29.45,29.45,29.45,29.45,29.45
13,8.6,9.24,9.84,10.8,11.83,14.4,15.51,31.46,31.46,31.46,31.46,31.46
14,9.02,9.53,10.01,11.15,12.52,15.55,16.86,33.5,33.5,33.5,33.5,33.5
15,9.03,9.66,10.16,11.46,13.21,15.91,17.56,35.48,35.48,35.48,35.48,35.48
16,9.54,10.33,10.66,12.1,14.16,17.39,18.99,37.16,37.16,37.16,37.16,37.16
17,9.61,10.55,10.77,12.44,14.65,18.14,18.99,39.01,39.01,39.01,39.01,39.01
18,9.71,10.68,10.88,13.04,15.42,18.83,20.48,40.99,40.99,40.99,40.99,40.99
19,9.96,11.2,11.44,13.65,15.87,19.25,21.63,42.95,42.95,42.95,42.95,42.95
20,9.96,11.21,11.45,14.09,16.41,19.97,22.24,44.97,44.97,44.97,44.97,44.97
21,10.38,11.64,12.06,14.36,16.92,20.53,22.92,46.86,46.86,46.86,46.86,46.86
22,10.39,11.85,12.48,14.75,17.61,21.28,23.93,48.88,48.88,48.88,48.88,48.88
