weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
1,8.07,8.07,8.07,8.16,8.44,8.57,8.72
2,8.07,8.19,8.94,9.13,9.52,9.92,10.09
3,8.07,8.63,9.32,9.8,10.2,10.58,11.11
4,8.07,8.68,9.7,10.34,10.63,11.36,11.9
5,8.18,9.08,9.95,10.8,11.23,11.89,12.6
6,8.07,8.81,9.72,10.49,10.88,11.51,12.19
7,8.42,9.02,9.97,10.83,11.07,11.82,12.65
8,8.67,9.34,10.32,11.13,11.52,12.29,13.21
9,8.8,9.48,10.37,11.23,11.76,12.81,13.91
10,8.92,9.58,10.47,11.54,11.9,13.41,14.82
11,9.0,9.36,10.27,11.14,11.81,13.94,15.14
12,9.14,9.75,10.37,11.3,12.23,14.49,15.85
13,9.15,9.8,10.49,11.51,12.61,15.38,16.56
14,9.53,10.06,10.6,11.79,13.35,16.48,18.01
15,9.53,10.28,10.74,12.21,14.08,16.99,18.75
16,9.78,10.58,10.94,12.42,14.53,17.89,19.68
17,9.84,10.8,11.06,12.77,15.15,18.81,19.69
18,9.94,10.94,11.18,13.39,15.95,19.37,21.23
19,10.22,11.48,11.78,14.02,16.42,19.95,22.24
20,10.29,11.57,11.84,14.57,16.98,20.69,23.05
21,9.91,11.17,11.59,13.7,16.27,19.77,22.08
22,9.94,11.28,11.9,14.08,16.93,20.49,
23,9.98,11.5,12.17,14.34,17.57,20.99,
24,10.25,11.97,12.8,15.11,18.4,21.69,25.33
25,,12.01,12.85,15.4,18.94,22.89,26.11
26,10.78,12.42,13.4,16.03,19.63,23.82,
27,,12.72,13.66,16.29,20.42,24.26,27.65
28,,13.03,14.29,17.25,21.42,25.35,
29,,13.27,14.42,17.26,22.03,25.93,
30,11.48,13.59,14.97,,22.39,26.06,
31,11.52,13.36,14.69,17.47,22.15,26.0,30.46
32,11.52,13.37,,,22.16,26.0,
33,11.59,,15.36,,23.56,26.86,
34,11.66,,15.84,,23.56,27.67,
35,,,,19.39,,,
37,,14.81,16.67,20.31,25.08,,
38,,,,20.8,,,
39,,,,,26.82,31.61,36.42
40,11.96,14.59,16.7,19.96,24.99,29.42,33.91
41,,16.36,18.47,22.21,27.97,32.59,37.81
42,,16.42,19.18,22.28,28.09,,
43,,16.64,19.21,23.42,29.62,,
44,,,,,29.79,35.41,39.44
45,,,19.71,23.84,29.8,36.1,
46,,,20.34,24.3,30.59,36.49,
47,13.96,17.47,20.67,24.47,31.0,37.2,41.43
48,,17.47,20.91,25.35,31.46,37.53,
49,13.97,,20.91,25.36,31.7,,
50,,17.48,20.92,,31.97,,
51,,17.49,21.02,,32.37,,
52,,,21.03,,32.38,39.11,
54,,17.5,21.07,,32.39,39.13,
55,,,,25.82,32.4,,
56,,,,,32.41,39.14,
57,,,21.09,,,,
58,,,,,32.42,,
59,,,,26.62,,,
61,,,,27.62,33.26,,
62,15.28,,,28.4,,39.91,
64,,,,,34.25,,
65,,,,28.43,,,
66,,,,,34.57,,
70,16.54,,,30.75,,,
71,,,25.3,,,,
73,,,,,37.49,,
74,17.58,,25.85,,,,
77,20.41,,,,,,
81,,,28.56,,,,
90,30.27,31.56,35.06,38.83,46.19,53.95,56.85
