weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
1,7.2,7.41,8.07,8.44,8.72,8.86,9.01
2,7.43,8.19,8.94,9.13,9.53,9.92,10.09
3,7.73,8.63,9.33,9.8,10.2,10.58,11.1
4,7.96,8.68,9.71,10.34,10.62,11.36,11.9
5,8.18,9.08,9.95,10.8,11.23,11.89,12.6
6,7.97,8.81,9.72,10.49,10.88,11.51,12.2
7,8.42,9.02,9.98,10.83,11.08,11.82,12.65
8,8.67,9.34,10.32,11.14,11.52,12.3,13.21
9,8.8,9.48,10.37,11.23,11.77,12.81,13.91
10,8.92,9.58,10.47,11.54,11.9,13.42,14.83
11,9.0,9.36,10.27,11.14,11.82,13.94,15.14
12,9.14,9.76,10.37,11.3,12.23,14.5,15.85
13,9.15,9.8,10.49,11.51,12.61,15.38,16.57
14,9.53,10.07,10.6,11.8,13.35,16.48,18.01
15,9.53,10.29,10.74,12.21,14.08,17.0,18.75
16,9.78,10.59,10.94,12.42,14.54,17.89,19.69
17,9.85,10.81,11.06,12.77,15.16,18.81,19.69
18,9.95,10.95,11.18,13.39,15.95,19.37,21.23
19,10.22,11.48,11.78,14.02,16.42,19.96,22.25
20,10.29,11.58,11.85,14.58,16.98,20.7,23.05
21,9.92,11.18,11.6,13.7,16.27,19.77,22.08
22,9.94,11.29,11.91,14.08,16.93,20.5,23.05
23,9.98,11.51,12.17,14.34,17.57,20.99,23.96
24,10.25,11.97,12.8,15.11,18.41,21.7,25.34
25,10.29,12.02,12.86,15.4,18.94,22.89,26.11
26,10.78,12.43,13.4,16.03,19.63,23.83,27.19
27,11.08,12.73,13.67,16.29,20.43,24.27,27.65
28,11.34,13.03,14.3,17.25,21.42,25.36,28.71
29,11.37,13.28,14.43,17.26,22.03,25.93,29.47
30,11.48,13.59,14.97,17.94,22.39,26.07,30.7
31,11.52,13.36,14.69,17.47,22.16,26.0,30.47
32,11.52,13.37,14.7,17.48,22.16,26.0,30.8
33,11.59,13.57,15.36,18.29,23.56,26.86,31.63
34,11.66,13.87,15.84,18.94,23.56,27.66,33.15
35,11.87,14.61,16.37,19.39,23.97,28.38,33.39
36,12.05,14.61,16.5,19.87,24.97,29.34,34.7
37,12.23,14.81,16.67,20.31,25.08,30.29,35.04
38,12.43,15.03,17.2,20.8,25.65,30.41,35.69
39,12.84,15.62,17.94,21.44,26.82,31.6,36.42
40,11.96,14.59,16.7,19.96,24.99,29.42,33.91
41,13.14,16.36,18.47,22.21,27.97,32.58,37.81
42,13.14,16.42,19.18,22.28,28.09,33.14,38.0
43,13.4,16.65,19.21,23.42,29.62,34.34,39.03
44,13.58,16.9,19.71,23.84,29.79,35.41,39.44
45,13.6,16.91,19.71,23.84,29.8,36.1,39.72
46,13.96,17.08,20.34,24.3,30.59,36.49,40.77
47,13.96,17.47,20.67,24.47,31.0,37.2,41.43
48,13.97,17.47,20.91,25.35,31.46,37.54,42.08
49,13.97,17.48,20.91,25.36,31.7,38.29,42.33
50,13.98,17.48,20.92,25.38,31.97,38.62,42.93
51,13.98,17.49,21.02,25.5,32.37,39.1,43.92
52,13.99,17.49,21.03,25.51,32.38,39.11,43.92
53,13.99,17.5,21.04,25.77,32.38,39.12,44.35
54,14.0,17.5,21.07,25.81,32.39,39.13,44.36
55,14.0,17.51,21.08,25.82,32.4,39.13,44.36
56,14.01,17.52,21.08,25.82,32.41,39.14,44.92
57,14.26,17.61,21.09,26.59,32.42,39.15,45.37
58,14.27,17.61,21.1,26.6,32.42,39.16,45.77
59,14.28,17.63,21.24,26.62,32.65,39.16,46.53
60,14.67,18.31,21.61,27.56,33.26,39.3,46.82
61,14.68,18.36,21.82,27.62,33.26,39.31,46.82
