weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
1,-3.25,-3.58,-4.62,-5.11,-5.28,-5.36,-5.45
2,-4.01,-5.13,-5.59,-5.71,-5.97,-6.21,-6.31
3,-4.5,-5.4,-5.84,-6.13,-6.38,-6.62,-6.94
4,-4.87,-5.43,-6.08,-6.47,-6.64,-7.11,-7.44
5,-5.11,-5.68,-6.22,-6.76,-7.03,-7.44,-7.88
6,-5.32,-6.0,-6.61,-7.14,-7.4,-7.83,-8.3
7,-5.73,-6.13,-6.79,-7.36,-7.54,-8.04,-8.61
8,-5.89,-6.36,-7.02,-7.58,-7.84,-8.37,-8.98
9,-5.98,-6.44,-7.05,-7.64,-8.01,-8.71,-9.46
10,-6.06,-6.51,-7.12,-7.85,-8.1,-9.13,-10.09
11,-6.92,-7.2,-7.9,-8.57,-9.1,-10.73,-11.65
12,-7.04,-7.51,-7.98,-8.69,-9.41,-11.16,-12.19
13,-7.04,-7.54,-8.07,-8.86,-9.7,-11.84,-12.75
14,-7.33,-7.75,-8.15,-9.08,-10.27,-12.68,-13.86
15,-7.34,-7.92,-8.27,-9.4,-10.84,-13.08,-14.43
16,-7.52,-8.15,-8.42,-9.56,-11.19,-13.77,-15.15
17,-7.58,-8.32,-8.51,-9.83,-11.67,-14.47,-15.15
18,-7.66,-8.43,-8.6,-10.3,-12.27,-14.9,-16.33
19,-7.86,-8.83,-9.07,-10.79,-12.63,-15.36,-17.12
20,-7.92,-8.91,-9.12,-11.22,-13.06,-15.93,-17.74
21,-8.97,-10.11,-10.49,-12.39,-14.71,-17.87,-19.96
22,-8.99,-10.21,-10.77,-12.73,-15.31,-18.54,
23,-9.02,-10.41,-11.0,-12.97,-15.89,-18.98,
24,-9.27,-10.82,-11.57,-13.66,-16.65,-19.62,-22.91
25,,-10.87,-11.63,-13.92,-17.13,-20.7,-23.61
26,-9.75,-11.24,-12.11,-14.49,-17.75,-21.55,
27,,-11.51,-12.36,-14.73,-18.47,-21.95,-25.0
28,,-11.78,-12.93,-15.6,-19.37,-22.93,
29,,-12.01,-13.05,-15.6,-19.92,-23.45,
30,-10.38,-12.29,-13.54,,-20.24,-23.57,
31,-11.28,-13.1,-14.4,-17.12,-21.72,-25.47,-29.86
32,-11.29,-13.1,,,-21.72,-25.48,
33,-11.35,,-15.05,,-23.08,-26.32,
34,-11.42,,-15.53,,-23.09,-27.1,
35,,,,-19.0,,,
37,,-14.51,-16.33,-19.9,-24.58,,
38,,,,-20.38,,,
39,,,,,-26.27,-30.97,-35.69
40,-13.48,-16.45,-18.83,-22.5,-28.17,-33.16,-38.22
41,,-16.02,-18.09,-21.76,-27.4,-31.92,-37.04
42,,-16.08,-18.79,-21.83,-27.53,,
43,,-16.32,-18.83,-22.94,-29.02,,
44,,,,,-29.19,-34.69,-38.64
45,,,-19.32,-23.36,-29.2,-35.37,
46,,,-19.93,-23.8,-29.97,-35.75,
47,-13.68,-17.11,-20.25,-23.97,-30.38,-36.44,-40.59
48,,-17.12,-20.48,-24.84,-30.83,-36.79,
49,-13.69,,-20.49,-24.84,-31.06,,
50,,-17.13,-20.5,,-31.33,,
51,,-17.13,-20.6,,-31.72,,
52,,,-20.61,,-31.72,-38.33,
54,,-17.15,-20.65,,-31.74,-38.33,
55,,,,-25.29,-31.74,,
56,,,,,-31.75,-38.35,
57,,,-20.66,,,,
58,,,,,-31.77,,
59,,,,-26.08,,,
61,,,,-27.06,-32.59,,
62,-14.97,,,-27.83,,-39.1,
64,,,,,-33.55,,
65,,,,-27.85,,,
66,,,,,-33.87,,
70,-16.21,,,-30.14,,,
71,,,-24.79,,,,
73,,,,,-36.73,,
74,-17.24,,-25.32,,,,
77,-20.01,,,,,,
81,,,-27.99,,,,
90,-29.65,-30.93,-34.36,-38.04,-45.26,-52.86,-55.7
222,,-86.03,,,,,
