State/Province, Dest Zip/Postal Code, Service Days, Zone
MA,01001,2,004
MA,01002,2,004
MA,01003,2,004
MA,01004,2,004
MA,01005,2,004
MA,01007,2,004
MA,01008,2,004
MA,01009,2,004
MA,01010,2,004
MA,01011,2,004
MA,01012,2,004
MA,01013,2,004
MA,01014,2,004
MA,01020,2,004
MA,01021,2,004
MA,01022,2,004
MA,01026,2,004
MA,01027,2,004
MA,01028,2,004
MA,01029,2,004
MA,01030,2,004
MA,01031,2,004
MA,01032,2,004
MA,01033,2,004
MA,01034,2,004
MA,01035,2,004
MA,01036,2,004
MA,01037,2,004
MA,01038,2,004
MA,01039,2,004
MA,01040,2,004
MA,01041,2,004
MA,01050,2,004
MA,01053,2,004
MA,01054,2,004
MA,01056,2,004
MA,01057,2,004
MA,01060,2,004
MA,01061,2,004
MA,01062,2,004
MA,01063,2,004
MA,01066,2,004
MA,01068,2,004
MA,01069,2,004
MA,01070,2,004
MA,01071,2,004
MA,01072,2,004
MA,01073,2,004
MA,01074,2,004
MA,01075,2,004
MA,01077,2,004
MA,01079,2,004
MA,01080,2,004
MA,01081,2,004
MA,01082,2,004
MA,01083,2,004
MA,01084,2,004
MA,01085,2,004
MA,01086,2,004
MA,01088,2,004
MA,01089,2,004
MA,01090,2,004
MA,01092,2,004
MA,01093,2,004
MA,01094,2,004
MA,01095,2,004
MA,01096,2,004
MA,01097,2,004
MA,01098,2,004
MA,01100,2,004
MA,01101,2,004
MA,01102,2,004
MA,01103,2,004
MA,01104,2,004
MA,01105,2,004
MA,01106,2,004
MA,01107,2,004
MA,01108,2,004
MA,01109,2,004
MA,01110,2,004
MA,01112,2,004
MA,01113,2,004
MA,01114,2,004
MA,01115,2,004
MA,01116,2,004
MA,01117,2,004
MA,01118,2,004
MA,01119,2,004
MA,01120,2,004
MA,01121,2,004
MA,01122,2,004
MA,01123,2,004
MA,01124,2,004
MA,01125,2,004
MA,01126,2,004
MA,01127,2,004
MA,01128,2,004
MA,01129,2,004
MA,01130,2,004
MA,01131,2,004
MA,01132,2,004
MA,01133,2,004
MA,01134,2,004
MA,01135,2,004
MA,01136,2,004
MA,01137,2,004
MA,01138,2,004
MA,01139,2,004
MA,01140,2,004
MA,01141,2,004
MA,01142,2,004
MA,01143,2,004
MA,01144,2,004
MA,01145,2,004
MA,01146,2,004
MA,01147,2,004
MA,01148,2,004
MA,01149,2,004
MA,01150,2,004
MA,01151,2,004
MA,01152,2,004
MA,01153,2,004
MA,01154,2,004
MA,01155,2,004
MA,01156,2,004
MA,01157,2,004
MA,01158,2,004
MA,01159,2,004
MA,01160,2,004
MA,01161,2,004
MA,01162,2,004
