State/Province, Dest Zip/Postal Code, Service Days, Zone
MA,01001,5,008
MA,01002,5,008
MA,01003,5,008
MA,01004,5,008
MA,01005,5,008
MA,01007,5,008
MA,01008,5,008
MA,01009,5,008
MA,01010,5,008
MA,01011,5,008
MA,01012,5,008
MA,01013,5,008
MA,01014,5,008
MA,01020,5,008
MA,01021,5,008
MA,01022,5,008
MA,01026,5,008
MA,01027,5,008
MA,01028,5,008
MA,01029,5,008
MA,01030,5,008
MA,01031,5,008
MA,01032,5,008
MA,01033,5,008
MA,01034,5,008
MA,01035,5,008
MA,01036,5,008
MA,01037,5,008
MA,01038,5,008
MA,01039,5,008
MA,01040,5,008
MA,01041,5,008
MA,01050,5,008
MA,01053,5,008
MA,01054,5,008
MA,01056,5,008
MA,01057,5,008
MA,01060,5,008
MA,01061,5,008
MA,01062,5,008
MA,01063,5,008
MA,01066,5,008
MA,01068,5,008
MA,01069,5,008
MA,01070,5,008
MA,01071,5,008
MA,01072,5,008
MA,01073,5,008
MA,01074,5,008
MA,01075,5,008
MA,01077,5,008
MA,01079,5,008
MA,01080,5,008
MA,01081,5,008
MA,01082,5,008
MA,01083,5,008
MA,01084,5,008
MA,01085,5,008
MA,01086,5,008
MA,01088,5,008
MA,01089,5,008
MA,01090,5,008
MA,01092,5,008
MA,01093,5,008
MA,01094,5,008
MA,01095,5,008
MA,01096,5,008
MA,01097,5,008
MA,01098,5,008
MA,01100,5,008
MA,01101,5,008
MA,01102,5,008
MA,01103,5,008
MA,01104,5,008
MA,01105,5,008
MA,01106,5,008
MA,01107,5,008
MA,01108,5,008
MA,01109,5,008
MA,01110,5,008
MA,01112,5,008
MA,01113,5,008
MA,01114,5,008
MA,01115,5,008
MA,01116,5,008
MA,01117,5,008
MA,01118,5,008
MA,01119,5,008
MA,01120,5,008
MA,01121,5,008
MA,01122,5,008
MA,01123,5,008
MA,01124,5,008
MA,01125,5,008
MA,01126,5,008
MA,01127,5,008
MA,01128,5,008
MA,01129,5,008
MA,01130,5,008
MA,01131,5,008
MA,01132,5,008
MA,01133,5,008
MA,01134,5,008
MA,01135,5,008
MA,01136,5,008
MA,01137,5,008
MA,01138,5,008
MA,01139,5,008
MA,01140,5,008
MA,01141,5,008
MA,01142,5,008
MA,01143,5,008
MA,01144,5,008
MA,01145,5,008
MA,01146,5,008
MA,01147,5,008
MA,01148,5,008
MA,01149,5,008
MA,01150,5,008
MA,01151,5,008
MA,01152,5,008
MA,01153,5,008
MA,01154,5,008
MA,01155,5,008
MA,01156,5,008
MA,01157,5,008
MA,01158,5,008
MA,01159,5,008
MA,01160,5,008
MA,01161,5,008
MA,01162,5,008
MA,01163,5,008
MA,01164,5,008
MA,01165,5,008
MA,01166,5,008
MA,01167,5,008
MA,01168,5,008
MA,01169,5,008
MA,01170,5,008
MA,01171,5,008
MA,01172,5,008
MA,01173,5,008
MA,01174,5,008
MA,01175,5,008
MA,01176,5,008
MA,01177,5,008
MA,01178,5,008
MA,01179,5,008
MA,01180,5,008
MA,01181,5,008
MA,01182,5,008
MA,01183,5,008
MA,01184,5,008
MA,01185,5,008
MA,01186,5,008
MA,01187,5,008
MA,01188,5,008
MA,01189,5,008
MA,01190,5,008
MA,01191,5,008
MA,01192,5,008
MA,01193,5,008
MA,01194,5,008
MA,01195,5,008
MA,01196,5,008
MA,01197,5,008
MA,01198,5,008
MA,01199,5,008
MA,01201,5,008
MA,01202,5,008
MA,01203,5,008
MA,01220,5,008
MA,01222,5,008
MA,01223,5,008
MA,01224,5,008
MA,01225,5,008
MA,01226,5,008
MA,01227,5,008
MA,01229,5,008
MA,01230,5,008
MA,01235,5,008
MA,01236,5,008
MA,01237,5,008
MA,01238,5,008
MA,01240,5,008
MA,01242,5,008
MA,01243,5,008
MA,01244,5,008
MA,01245,5,008
MA,01247,5,008
MA,01252,5,008
MA,01253,5,008
MA,01254,5,008
MA,01255,5,008
MA,01256,5,008
MA,01257,5,008
MA,01258,5,008
MA,01259,5,008
MA,01260,5,008
MA,01262,5,008
MA,01263,5,008
MA,01264,5,008
MA,01266,5,008
MA,01267,5,008
MA,01270,5,008
MA,01301,5,008
MA,01302,5,008
MA,01330,5,008
MA,01331,5,008
MA,01337,5,008
MA,01338,5,008
MA,01339,5,008
MA,01340,5,008
MA,01341,5,008
MA,01342,5,008
MA,01343,5,008
MA,01344,5,008
MA,01346,5,008
MA,01347,5,008
MA,01349,5,008
MA,01350,5,008
MA,01351,5,008
MA,01354,5,008
MA,01355,5,008
MA,01360,5,008
MA,01364,5,008
MA,01366,5,008
MA,01367,5,008
MA,01368,5,008
MA,01369,5,008
MA,01370,5,008
MA,01373,5,008
MA,01374,5,008
MA,01375,5,008
MA,01376,5,008
MA,01378,5,008
MA,01379,5,008
MA,01380,5,008
MA,01400,5,008
MA,01401,5,008
MA,01402,5,008
MA,01403,5,008
MA,01404,5,008
MA,01405,5,008
MA,01406,5,008
MA,01407,5,008
MA,01408,5,008
MA,01409,5,008
MA,01410,5,008
MA,01411,5,008
MA,01412,5,008
MA,01413,5,008
MA,01414,5,008
MA,01415,5,008
MA,01416,5,008
MA,01417,5,008
MA,01418,5,008
MA,01419,5,008
MA,01420,5,008
MA,01421,5,008
MA,01422,5,008
MA,01423,5,008
MA,01424,5,008
MA,01425,5,008
MA,01426,5,008
MA,01427,5,008
MA,01428,5,008
MA,01429,5,008
MA,01430,5,008
MA,01431,5,008
MA,01432,5,008
MA,01433,5,008
MA,01434,5,008
MA,01435,5,008
MA,01436,5,008
MA,01437,5,008
MA,01438,5,008
MA,01439,5,008
MA,01440,5,008
MA,01441,5,008
MA,01442,5,008
MA,01443,5,008
MA,01444,5,008
MA,01445,5,008
MA,01446,5,008
MA,01447,5,008
MA,01448,5,008
MA,01449,5,008
MA,01450,5,008
MA,01451,5,008
MA,01452,5,008
MA,01453,5,008
MA,01454,5,008
MA,01455,5,008
MA,01456,5,008
MA,01457,5,008
MA,01458,5,008
MA,01459,5,008
MA,01460,5,008
MA,01461,5,008
MA,01462,5,008
MA,01463,5,008
MA,01464,5,008
MA,01465,5,008
MA,01466,5,008
MA,01467,5,008
MA,01468,5,008
MA,01469,5,008
MA,01470,5,008
MA,01471,5,008
MA,01472,5,008
MA,01473,5,008
MA,01474,5,008
MA,01475,5,008
MA,01476,5,008
MA,01477,5,008
MA,01478,5,008
MA,01479,5,008
MA,01480,5,008
MA,01481,5,008
MA,01482,5,008
MA,01483,5,008
MA,01484,5,008
MA,01485,5,008
MA,01486,5,008
MA,01487,5,008
MA,01488,5,008
MA,01489,5,008
MA,01490,5,008
MA,01491,5,008
MA,01492,5,008
MA,01493,5,008
MA,01494,5,008
MA,01495,5,008
MA,01496,5,008
MA,01497,5,008
MA,01498,5,008
MA,01499,5,008
MA,01500,5,008
MA,01501,5,008
MA,01502,5,008
MA,01503,5,008
MA,01504,5,008
MA,01505,5,008
MA,01506,5,008
MA,01507,5,008
MA,01508,5,008
MA,01509,5,008
MA,01510,5,008
MA,01511,5,008
MA,01512,5,008
MA,01513,5,008
MA,01514,5,008
MA,01515,5,008
MA,01516,5,008
MA,01517,5,008
MA,01518,5,008
MA,01519,5,008
MA,01520,5,008
MA,01521,5,008
MA,01522,5,008
MA,01523,5,008
MA,01524,5,008
MA,01525,5,008
MA,01526,5,008
MA,01527,5,008
MA,01528,5,008
MA,01529,5,008
MA,01530,5,008
MA,01531,5,008
MA,01532,5,008
MA,01533,5,008
MA,01534,5,008
MA,01535,5,008
MA,01536,5,008
MA,01537,5,008
MA,01538,5,008
MA,01539,5,008
MA,01540,5,008
MA,01541,5,008
MA,01542,5,008
MA,01543,5,008
MA,01544,5,008
MA,01545,5,008
MA,01546,5,008
MA,01547,5,008
MA,01548,5,008
MA,01549,5,008
MA,01550,5,008
MA,01551,5,008
MA,01552,5,008
MA,01553,5,008
MA,01554,5,008
MA,01555,5,008
MA,01556,5,008
MA,01557,5,008
MA,01558,5,008
MA,01559,5,008
MA,01560,5,008
MA,01561,5,008
MA,01562,5,008
MA,01563,5,008
MA,01564,5,008
MA,01565,5,008
MA,01566,5,008
MA,01567,5,008
MA,01568,5,008
MA,01569,5,008
MA,01570,5,008
MA,01571,5,008
MA,01572,5,008
MA,01573,5,008
MA,01574,5,008
MA,01575,5,008
MA,01576,5,008
MA,01577,5,008
MA,01578,5,008
MA,01579,5,008
MA,01580,5,008
MA,01581,5,008
MA,01582,5,008
MA,01583,5,008
MA,01584,5,008
MA,01585,5,008
MA,01586,5,008
MA,01587,5,008
MA,01588,5,008
MA,01589,5,008
MA,01590,5,008
MA,01591,5,008
MA,01592,5,008
MA,01593,5,008
MA,01594,5,008
MA,01595,5,008
MA,01596,5,008
MA,01597,5,008
MA,01598,5,008
MA,01599,5,008
MA,01600,5,008
MA,01601,5,008
MA,01602,5,008
MA,01603,5,008
MA,01604,5,008
MA,01605,5,008
MA,01606,5,008
MA,01607,5,008
MA,01608,5,008
MA,01609,5,008
MA,01610,5,008
MA,01611,5,008
MA,01612,5,008
MA,01613,5,008
MA,01614,5,008
MA,01615,5,008
MA,01616,5,008
MA,01617,5,008
MA,01618,5,008
MA,01619,5,008
MA,01620,5,008
MA,01621,5,008
MA,01622,5,008
MA,01623,5,008
MA,01624,5,008
MA,01625,5,008
MA,01626,5,008
MA,01627,5,008
MA,01628,5,008
MA,01629,5,008
MA,01630,5,008
MA,01631,5,008
MA,01632,5,008
MA,01633,5,008
MA,01634,5,008
MA,01635,5,008
MA,01636,5,008
MA,01637,5,008
MA,01638,5,008
MA,01639,5,008
MA,01640,5,008
MA,01641,5,008
MA,01642,5,008
MA,01643,5,008
MA,01644,5,008
MA,01645,5,008
MA,01646,5,008
MA,01647,5,008
MA,01648,5,008
MA,01649,5,008
MA,01650,5,008
MA,01651,5,008
MA,01652,5,008
MA,01653,5,008
MA,01654,5,008
MA,01655,5,008
MA,01656,5,008
MA,01657,5,008
MA,01658,5,008
MA,01659,5,008
MA,01660,5,008
MA,01661,5,008
MA,01662,5,008
MA,01663,5,008
MA,01664,5,008
MA,01665,5,008
MA,01666,5,008
MA,01667,5,008
MA,01668,5,008
MA,01669,5,008
MA,01670,5,008
MA,01671,5,008
MA,01672,5,008
MA,01673,5,008
MA,01674,5,008
MA,01675,5,008
MA,01676,5,008
MA,01677,5,008
MA,01678,5,008
MA,01679,5,008
MA,01680,5,008
MA,01681,5,008
MA,01682,5,008
MA,01683,5,008
MA,01684,5,008
MA,01685,5,008
MA,01686,5,008
MA,01687,5,008
MA,01688,5,008
MA,01689,5,008
MA,01690,5,008
MA,01691,5,008
MA,01692,5,008
MA,01693,5,008
MA,01694,5,008
MA,01695,5,008
MA,01696,5,008
MA,01697,5,008
MA,01698,5,008
MA,01699,5,008
MA,01700,5,008
MA,01701,5,008
MA,01702,5,008
MA,01703,5,008
MA,01704,5,008
MA,01705,5,008
MA,01706,5,008
MA,01707,5,008
MA,01708,5,008
MA,01709,5,008
MA,01710,5,008
MA,01711,5,008
MA,01712,5,008
MA,01713,5,008
MA,01714,5,008
MA,01715,5,008
