Weight_lbs,Zone17_ToAlaska,Zone22_IntraAlaska,Zone23_FromAlaska,Zone25_FromAlaska,Zone9_ToHawaii,Zone14_IntraOahu,Zone92_FromHawaii,Zone96_FromHawaii
1,40.84,9.53,14.22,14.68,40.84,9.30,14.22,14.68
2,45.42,9.68,16.50,16.72,45.42,9.44,16.50,16.72
3,49.36,9.72,18.05,18.56,49.36,9.46,18.05,18.56
4,54.20,9.82,20.32,21.43,54.20,9.52,20.32,21.43
5,58.75,9.94,23.12,24.36,58.75,9.65,23.12,24.36
6,63.40,10.23,26.04,27.38,63.40,9.66,26.04,27.38
7,67.69,10.62,28.85,30.37,67.69,9.75,28.85,30.37
8,70.34,11.00,31.69,33.45,70.34,9.90,31.69,33.45
9,75.29,11.36,34.51,36.48,75.29,10.09,34.51,36.48
10,80.00,11.78,37.32,39.57,80.00,10.22,37.32,39.57
11,84.88,12.23,40.44,42.90,84.88,10.51,40.44,42.90
12,88.52,12.75,43.18,45.85,88.52,10.70,43.18,45.85
13,92.19,13.13,45.75,48.67,92.19,10.80,45.75,48.67
14,96.01,13.56,48.10,51.50,96.01,10.92,48.10,51.50
15,99.54,13.98,50.53,54.31,99.54,11.03,50.53,54.31
16,103.99,14.32,52.78,56.87,103.99,11.13,52.78,56.87
17,108.43,14.76,55.31,59.83,108.43,11.24,55.31,59.83
18,112.91,15.17,57.88,62.78,112.91,11.37,57.88,62.78
19,117.37,15.65,60.38,65.72,117.37,11.51,60.38,65.72
20,121.29,16.05,62.81,68.70,121.29,11.61,62.81,68.70
21,124.07,16.55,65.01,71.66,124.07,11.75,65.01,71.66
22,127.95,16.92,67.14,74.49,127.95,11.76,67.14,74.49
23,131.81,17.37,69.25,77.29,131.81,11.94,69.25,77.29
24,136.14,17.81,71.32,80.11,136.14,11.95,71.32,80.11
25,140.35,18.31,73.61,82.87,140.35,12.08,73.61,82.87
26,144.79,18.79,75.87,85.57,144.79,12.21,75.87,85.57
27,148.81,19.27,78.06,88.23,148.81,12.38,78.06,88.23
28,152.81,19.71,80.31,90.92,152.81,12.43,80.31,90.92
29,156.57,20.20,82.60,93.51,156.57,12.57,82.60,93.51
30,160.32,20.60,84.84,96.20,160.32,12.62,84.84,96.20
31,160.33,21.04,87.12,98.75,160.33,12.79,87.12,98.75
32,160.88,21.37,89.19,101.11,160.88,12.88,89.19,101.11
33,164.25,21.71,91.25,103.27,164.25,12.97,91.25,103.27
