weight_lbs_lower,weight_lbs_upper,zone,rate
0,0.25,1,3.11
0.25,0.5,1,3.11
0.5,0.75,1,3.36
0.75,0.9999,1,3.93
0.9999,1.0,1,3.95
1.0,2.0,1,4.22
2.0,3.0,1,4.39
3.0,4.0,1,4.52
4.0,5.0,1,4.68
5.0,6.0,1,4.7
6.0,7.0,1,4.96
7.0,8.0,1,5.12
8.0,9.0,1,5.17
9.0,10.0,1,5.25
10.0,11.0,1,5.58
11.0,12.0,1,5.63
12.0,13.0,1,5.64
13.0,14.0,1,5.9
14.0,15.0,1,5.9
15.0,16.0,1,6.05
16.0,17.0,1,6.11
17.0,18.0,1,6.14
18.0,19.0,1,6.3
19.0,20.0,1,6.31
20.0,21.0,1,6.58
21.0,22.0,1,6.58
22.0,23.0,1,6.59
23.0,24.0,1,6.82
24.0,25.0,1,6.84
25.0,26.0,1,7.16
26.0,27.0,1,7.36
27.0,28.0,1,7.53
28.0,29.0,1,7.54
29.0,30.0,1,7.61
30.0,31.0,1,22.4
31.0,32.0,1,22.94
32.0,33.0,1,23.47
33.0,34.0,1,24.0
34.0,35.0,1,24.52
35.0,36.0,1,25.05
36.0,37.0,1,25.54
37.0,38.0,1,26.06
38.0,39.0,1,26.57
39.0,40.0,1,27.06
40.0,41.0,1,27.56
41.0,42.0,1,28.04
42.0,43.0,1,28.52
43.0,44.0,1,29.02
44.0,45.0,1,29.48
45.0,46.0,1,29.94
46.0,47.0,1,30.4
47.0,48.0,1,30.86
48.0,49.0,1,31.3
49.0,50.0,1,31.75
50.0,51.0,1,32.19
51.0,52.0,1,32.63
52.0,53.0,1,33.06
53.0,54.0,1,33.49
54.0,55.0,1,33.9
55.0,56.0,1,34.31
56.0,57.0,1,34.72
57.0,58.0,1,35.13
58.0,59.0,1,35.53
59.0,60.0,1,35.92
60.0,61.0,1,36.31
61.0,62.0,1,36.7
62.0,63.0,1,37.06
63.0,64.0,1,37.44
64.0,65.0,1,37.81
65.0,66.0,1,38.17
66.0,67.0,1,38.53
67.0,68.0,1,38.88
68.0,69.0,1,39.23
69.0,70.0,1,39.57
0,0.25,2,3.14
0.25,0.5,2,3.14
0.5,0.75,2,3.4
0.75,0.9999,2,3.97
0.9999,1.0,2,3.99
1.0,2.0,2,4.22
2.0,3.0,2,4.39
3.0,4.0,2,4.52
4.0,5.0,2,4.68
5.0,6.0,2,4.7
6.0,7.0,2,4.96
7.0,8.0,2,5.12
8.0,9.0,2,5.17
9.0,10.0,2,5.25
10.0,11.0,2,5.58
11.0,12.0,2,5.63
12.0,13.0,2,5.64
13.0,14.0,2,5.9
14.0,15.0,2,5.9
15.0,16.0,2,6.05
16.0,17.0,2,6.11
17.0,18.0,2,6.14
18.0,19.0,2,6.3
19.0,20.0,2,6.31
20.0,21.0,2,6.58
21.0,22.0,2,6.58
22.0,23.0,2,6.59
23.0,24.0,2,6.82
24.0,25.0,2,6.84
25.0,26.0,2,7.16
26.0,27.0,2,7.36
27.0,28.0,2,7.53
28.0,29.0,2,7.54
29.0,30.0,2,7.61
30.0,31.0,2,24.67
31.0,32.0,2,25.3
32.0,33.0,2,25.9
33.0,34.0,2,26.5
34.0,35.0,2,27.09
35.0,36.0,2,27.66
36.0,37.0,2,28.24
37.0,38.0,2,28.8
38.0,39.0,2,29.36
39.0,40.0,2,29.92
40.0,41.0,2,30.45
41.0,42.0,2,30.99
42.0,43.0,2,31.51
43.0,44.0,2,32.03
44.0,45.0,2,32.54
45.0,46.0,2,33.05
46.0,47.0,2,33.54
47.0,48.0,2,34.03
48.0,49.0,2,34.51
49.0,50.0,2,34.99
50.0,51.0,2,35.46
