zip_code,shipping_state,phx_zone,cmh_zone,das
01001,MA,8,4,NO
01002,MA,8,4,DAS
01003,MA,8,4,NO
01004,MA,8,4,NO
01007,MA,8,4,DAS
01013,MA,8,4,NO
01014,MA,8,4,NO
01020,MA,8,4,NO
01021,MA,8,4,NO
01022,MA,8,4,NO
01027,MA,8,4,NO
01028,MA,8,4,NO
01030,MA,8,4,NO
01033,MA,8,4,DAS
01035,MA,8,4,NO
01036,MA,8,4,DAS
01038,MA,8,4,DAS
01040,MA,8,4,NO
01041,MA,8,4,NO
01056,MA,8,4,DAS
01059,MA,8,4,NO
01060,MA,8,4,NO
01061,MA,8,4,NO
01062,MA,8,4,NO
01063,MA,8,4,NO
01073,MA,8,4,DAS
01075,MA,8,4,NO
01077,MA,8,4,NO
01085,MA,8,4,NO
01089,MA,8,4,NO
01090,MA,8,4,NO
01095,MA,8,4,NO
01103,MA,8,4,NO
01104,MA,8,4,NO
01105,MA,8,4,NO
01106,MA,8,4,NO
01107,MA,8,4,NO
01109,MA,8,4,NO
01118,MA,8,4,NO
01119,MA,8,4,NO
01129,MA,8,4,NO
01151,MA,8,4,NO
01201,MA,8,4,NO
01247,MA,8,4,DAS
01267,MA,8,4,DAS
01420,MA,8,5,DAS
01432,MA,8,5,DAS
01450,MA,8,5,DAS
01451,MA,8,5,DAS
01453,MA,8,5,NO
01460,MA,8,5,NO
01462,MA,8,5,DAS
01463,MA,8,5,DAS
01464,MA,8,5,DAS
01469,MA,8,5,DAS
01501,MA,8,5,NO
01503,MA,8,5,DAS
01504,MA,8,5,DAS
01505,MA,8,5,NO
01506,MA,8,5,DAS
01507,MA,8,5,EAS
01510,MA,8,5,NO
01515,MA,8,5,DAS
01516,MA,8,5,DAS
01519,MA,8,5,NO
01520,MA,8,5,NO
01522,MA,8,5,DAS
01523,MA,8,5,DAS
01524,MA,8,5,NO
01527,MA,8,5,NO
01529,MA,8,5,DAS
01532,MA,8,5,NO
01534,MA,8,5,NO
01536,MA,8,5,NO
01537,MA,8,5,NO
01540,MA,8,5,NO
01542,MA,8,5,DAS
01545,MA,8,5,NO
01546,MA,8,5,NO
01550,MA,8,5,NO
01560,MA,8,5,NO
01562,MA,8,5,DAS
01564,MA,8,5,NO
01566,MA,8,5,DAS
01568,MA,8,5,DAS
01569,MA,8,5,NO
01570,MA,8,5,NO
01571,MA,8,5,NO
01581,MA,8,5,NO
01583,MA,8,5,NO
01588,MA,8,5,NO
01590,MA,8,5,DAS
01602,MA,8,5,NO
01603,MA,8,5,NO
01604,MA,8,5,NO
01605,MA,8,5,NO
01606,MA,8,5,NO
01607,MA,8,5,NO
01608,MA,8,5,NO
01609,MA,8,5,NO
01610,MA,8,5,NO
01611,MA,8,5,DAS
01612,MA,8,5,DAS
01653,MA,8,5,NO
01655,MA,8,5,NO
01701,MA,8,5,NO
01702,MA,8,5,NO
01718,MA,8,5,NO
01719,MA,8,5,NO
01720,MA,8,5,DAS
01721,MA,8,5,NO
01730,MA,8,5,NO
01731,MA,8,5,NO
01740,MA,8,5,NO
01741,MA,8,5,DAS
01742,MA,8,5,NO
01745,MA,8,5,NO
01746,MA,8,5,NO
01747,MA,8,5,NO
01748,MA,8,5,NO
01749,MA,8,5,NO
01752,MA,8,5,NO
01754,MA,8,5,DAS
01756,MA,8,5,EAS
01757,MA,8,5,NO
01760,MA,8,5,NO
01770,MA,8,5,DAS
01772,MA,8,5,NO
01773,MA,8,5,DAS
01775,MA,8,5,DAS
01776,MA,8,5,NO
01778,MA,8,5,NO
01801,MA,8,5,NO
01803,MA,8,5,NO
01805,MA,8,5,NO
01810,MA,8,5,NO
01813,MA,8,5,NO
01815,MA,8,5,NO
01821,MA,8,5,NO
01824,MA,8,5,NO
01826,MA,8,5,DAS
01830,MA,8,5,DAS
01831,MA,8,5,NO
01832,MA,8,5,DAS
01833,MA,8,5,DAS
01834,MA,8,5,NO
01835,MA,8,5,NO
01840,MA,8,5,NO
01841,MA,8,5,NO
01843,MA,8,5,NO
01844,MA,8,5,NO
01845,MA,8,5,NO
01850,MA,8,5,NO
01851,MA,8,5,NO
01852,MA,8,5,NO
01853,MA,8,5,NO
01854,MA,8,5,NO
01860,MA,8,5,DAS
01862,MA,8,5,NO
01863,MA,8,5,NO
01864,MA,8,5,NO
01867,MA,8,5,NO
01876,MA,8,5,NO
01879,MA,8,5,DAS
01880,MA,8,5,NO
01886,MA,8,5,NO
01887,MA,8,5,NO
01889,MA,8,5,NO
01890,MA,8,5,NO
01901,MA,8,5,NO
01902,MA,8,5,NO
01904,MA,8,5,NO
01905,MA,8,5,NO
01906,MA,8,5,NO
01907,MA,8,5,NO
01908,MA,8,5,NO
01910,MA,8,5,NO
01913,MA,8,5,NO
01915,MA,8,5,NO
01921,MA,8,5,DAS
01922,MA,8,5,DAS
01923,MA,8,5,NO
01929,MA,8,5,DAS
01930,MA,8,5,DAS
01931,MA,8,5,NO
01938,MA,8,5,DAS
01940,MA,8,5,NO
01944,MA,8,5,DAS
01945,MA,8,5,NO
01949,MA,8,5,DAS
01950,MA,8,5,DAS
01951,MA,8,5,DAS
01952,MA,8,5,DAS
01960,MA,8,5,NO
01966,MA,8,5,DAS
01969,MA,8,5,DAS
01970,MA,8,5,NO
01982,MA,8,5,DAS
01983,MA,8,5,DAS
01984,MA,8,5,NO
01985,MA,8,5,DAS
02019,MA,8,5,NO
02021,MA,8,5,NO
02025,MA,8,5,DAS
02026,MA,8,5,NO
02027,MA,8,5,NO
02030,MA,8,5,DAS
02032,MA,8,5,NO
02035,MA,8,5,NO
