weight_lbs_lower,weight_lbs_upper,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
0,1,4.18,4.18,4.4,4.59,4.74,4.83,4.89
1,2,4.18,4.61,5.03,5.14,5.36,5.59,5.66
2,3,4.35,4.85,5.24,5.51,5.74,5.95,6.23
3,4,4.47,4.88,5.47,5.82,5.98,6.38,6.67
4,5,4.62,5.11,5.58,6.07,6.32,6.68,7.06
5,6,4.65,5.14,5.7,6.1,6.33,6.69,7.07
6,7,4.91,5.22,5.84,6.3,6.45,6.87,7.34
7,8,5.06,5.42,6.01,6.48,6.71,7.16,7.65
8,9,5.13,5.5,6.02,6.53,6.84,7.43,8.07
9,10,5.2,5.56,6.13,6.7,6.93,7.79,8.59
10,11,5.52,5.71,6.24,6.82,7.15,8.43,9.3
11,12,5.57,5.96,6.3,6.88,7.4,8.83,9.66
12,13,5.59,5.97,6.33,6.96,7.63,9.33,10.13
13,14,5.84,6.13,6.44,7.19,8.08,10.04,10.96
14,15,5.84,6.22,6.53,7.39,8.52,10.28,11.46
15,16,5.99,6.45,6.66,7.57,8.86,10.9,11.98
16,17,6.04,6.58,6.73,7.77,9.16,11.37,12.04
17,18,6.09,6.69,6.79,8.15,9.65,11.8,12.98
18,19,6.24,6.99,7.12,8.51,9.9,12.03,13.62
19,20,6.25,6.99,7.13,8.78,10.23,12.48,14.1
20,21,6.51,7.26,7.5,8.95,10.63,12.92,14.53
21,22,6.51,7.39,7.76,9.26,11.06,13.39,15.16
22,23,6.52,7.47,7.92,9.35,11.47,13.71,15.77
23,24,6.75,7.84,8.35,9.93,12.11,14.17,16.67
24,25,6.77,7.86,8.38,10.05,12.37,14.95,17.18
25,26,7.1,8.13,8.74,10.46,12.82,15.56,17.89
26,27,7.29,8.33,8.9,10.64,13.33,15.85,18.19
27,28,7.46,8.53,9.25,11.23,13.98,16.56,18.88
28,29,7.47,8.69,9.39,11.25,14.39,16.94,19.4
29,30,7.54,8.9,9.75,11.7,14.62,17.02,20.19
30,31,7.89,9.11,9.98,11.88,14.97,17.65,20.85
31,32,7.9,9.11,9.98,11.88,15.05,17.66,21.07
32,33,7.93,9.25,10.43,12.44,15.92,18.24,21.64
33,34,7.93,9.46,10.76,12.87,16.0,18.79,22.68
34,35,8.08,9.89,11.02,13.08,16.27,19.27,22.84
35,36,8.2,9.96,11.2,13.58,16.95,19.92,23.73
36,37,8.38,10.09,11.37,13.78,17.03,20.57,23.97
37,38,8.45,10.24,11.67,14.11,17.42,20.65,24.41
38,39,8.8,10.65,12.17,14.58,18.11,21.45,24.91
39,40,8.8,10.69,12.18,14.61,18.24,21.46,24.92
40,41,9.0,11.15,12.53,15.1,18.97,22.12,25.99
41,42,9.01,11.18,13.02,15.12,19.08,22.5,26.0
42,43,9.18,11.35,13.04,15.93,20.12,23.31,26.7
43,44,9.31,11.53,13.37,16.21,20.18,23.91,26.98
44,45,9.32,11.53,13.38,16.21,20.23,24.51,27.17
45,46,9.58,11.64,13.8,16.61,20.76,24.77,27.89
46,47,9.59,11.9,14.02,16.72,21.07,25.26,28.34
47,48,9.59,11.91,14.16,17.23,21.36,25.68,29.01
48,49,9.6,11.91,14.19,17.24,21.68,26.2,29.18
49,50,9.6,11.91,14.2,17.26,21.7,26.23,29.36
50,51,9.62,11.92,14.23,17.29,21.82,26.37,30.11
51,52,9.62,11.92,14.25,17.31,21.83,26.37,30.11
52,53,9.63,11.95,14.25,17.41,21.83,26.37,30.41
53,54,9.63,11.98,14.27,17.44,21.83,26.38,30.42
54,55,9.65,11.99,14.29,17.52,21.86,26.38,30.45
55,56,9.65,12.01,14.3,17.52,21.87,26.4,30.5
56,57,9.82,12.05,14.32,18.05,21.88,26.42,31.08
57,58,9.82,12.06,14.33,18.07,21.89,26.44,31.1
58,59,9.84,12.07,14.42,18.08,22.01,26.5,31.6
59,60,10.11,12.54,14.67,18.71,22.42,26.5,31.8
60,61,10.11,12.57,14.79,18.73,22.43,26.51,32.18
61,62,10.52,13.46,15.06,19.15,22.77,26.9,32.49
62,63,10.52,13.47,15.2,19.15,22.93,27.12,32.5
63,64,10.81,13.47,15.33,19.17,23.08,27.13,32.62
64,65,10.93,13.7,15.34,19.2,23.28,27.19,32.64
65,66,10.97,13.97,15.46,19.35,23.29,27.27,33.08
66,67,10.98,13.98,15.46,19.36,23.48,27.41,33.1
67,68,11.1,14.23,16.4,19.78,23.83,27.82,33.12
68,69,11.34,14.37,16.51,19.93,24.18,27.85,33.54
69,70,11.34,14.49,16.75,20.62,24.43,27.87,33.54
70,71,11.35,14.53,17.09,20.64,24.53,28.19,33.62
71,72,11.67,14.53,17.44,20.8,24.93,29.41,33.67
