weight_lbs_lower,weight_lbs_upper,zone,rate
0,0.0625,1,3.56
0,0.0625,2,3.56
0,0.0625,3,3.83
0,0.0625,4,3.89
0,0.0625,5,3.96
0,0.0625,6,4.08
0,0.0625,7,4.33
0,0.0625,8,4.46
0.0625,0.125,1,3.56
0.0625,0.125,2,3.56
0.0625,0.125,3,3.83
0.0625,0.125,4,3.89
0.0625,0.125,5,3.96
0.0625,0.125,6,4.08
0.0625,0.125,7,4.33
0.0625,0.125,8,4.46
0.125,0.1875,1,3.56
0.125,0.1875,2,3.56
0.125,0.1875,3,3.83
0.125,0.1875,4,3.89
0.125,0.1875,5,3.96
0.125,0.1875,6,4.08
0.125,0.1875,7,4.33
0.125,0.1875,8,4.46
0.1875,0.25,1,3.56
0.1875,0.25,2,3.56
0.1875,0.25,3,3.83
0.1875,0.25,4,3.89
0.1875,0.25,5,3.96
0.1875,0.25,6,4.08
0.1875,0.25,7,4.33
0.1875,0.25,8,4.46
0.25,0.3125,1,3.66
0.25,0.3125,2,3.66
0.25,0.3125,3,3.9
0.25,0.3125,4,3.96
0.25,0.3125,5,4.02
0.25,0.3125,6,4.14
0.25,0.3125,7,4.4
0.25,0.3125,8,4.53
0.3125,0.375,1,3.66
0.3125,0.375,2,3.66
0.3125,0.375,3,3.9
0.3125,0.375,4,3.96
0.3125,0.375,5,4.02
0.3125,0.375,6,4.14
0.3125,0.375,7,4.4
0.3125,0.375,8,4.53
0.375,0.4375,1,3.66
0.375,0.4375,2,3.66
0.375,0.4375,3,3.9
0.375,0.4375,4,3.96
0.375,0.4375,5,4.02
0.375,0.4375,6,4.14
0.375,0.4375,7,4.4
0.375,0.4375,8,4.53
0.4375,0.5,1,3.66
0.4375,0.5,2,3.66
0.4375,0.5,3,3.9
0.4375,0.5,4,3.96
0.4375,0.5,5,4.02
0.4375,0.5,6,4.14
0.4375,0.5,7,4.4
0.4375,0.5,8,4.53
0.5,0.5625,1,3.88
0.5,0.5625,2,3.88
0.5,0.5625,3,3.97
0.5,0.5625,4,4.03
0.5,0.5625,5,4.09
0.5,0.5625,6,4.22
0.5,0.5625,7,4.48
0.5,0.5625,8,4.61
0.5625,0.625,1,3.88
0.5625,0.625,2,3.88
0.5625,0.625,3,3.97
0.5625,0.625,4,4.03
0.5625,0.625,5,4.09
0.5625,0.625,6,4.22
0.5625,0.625,7,4.48
0.5625,0.625,8,4.61
0.625,0.6875,1,3.88
0.625,0.6875,2,3.88
0.625,0.6875,3,3.97
0.625,0.6875,4,4.03
0.625,0.6875,5,4.09
0.625,0.6875,6,4.22
0.625,0.6875,7,4.48
0.625,0.6875,8,4.61
0.6875,0.75,1,3.88
0.6875,0.75,2,3.88
0.6875,0.75,3,3.97
0.6875,0.75,4,4.03
0.6875,0.75,5,4.09
0.6875,0.75,6,4.22
0.6875,0.75,7,4.48
0.6875,0.75,8,4.61
0.75,0.8125,1,4.01
0.75,0.8125,2,4.01
0.75,0.8125,3,4.03
0.75,0.8125,4,4.1
0.75,0.8125,5,4.17
0.75,0.8125,6,4.3
0.75,0.8125,7,4.56
0.75,0.8125,8,4.7
0.8125,0.875,1,4.01
0.8125,0.875,2,4.01
0.8125,0.875,3,4.03
0.8125,0.875,4,4.1
0.8125,0.875,5,4.17
0.8125,0.875,6,4.3
0.8125,0.875,7,4.56
0.8125,0.875,8,4.7
0.875,0.9375,1,4.01
0.875,0.9375,2,4.01
0.875,0.9375,3,4.03
0.875,0.9375,4,4.1
0.875,0.9375,5,4.17
0.875,0.9375,6,4.3
0.875,0.9375,7,4.56
0.875,0.9375,8,4.7
0.9375,0.999375,1,4.01
0.9375,0.999375,2,4.01
0.9375,0.999375,3,4.03
0.9375,0.999375,4,4.1
0.9375,0.999375,5,4.17
0.9375,0.999375,6,4.3
0.9375,0.999375,7,4.56
0.9375,0.999375,8,4.7
0.999375,1.0,1,4.09
0.999375,1.0,2,4.09
0.999375,1.0,3,4.1
0.999375,1.0,4,4.17
0.999375,1.0,5,4.23
0.999375,1.0,6,4.37
0.999375,1.0,7,4.64
0.999375,1.0,8,4.78
1.0,2.0,1,4.16
1.0,2.0,2,4.16
1.0,2.0,3,4.18
1.0,2.0,4,4.24
1.0,2.0,5,4.31
1.0,2.0,6,4.44
1.0,2.0,7,4.72
1.0,2.0,8,4.87
2.0,3.0,1,4.23
2.0,3.0,2,4.23
2.0,3.0,3,4.24
2.0,3.0,4,4.31
2.0,3.0,5,4.39
2.0,3.0,6,4.52
2.0,3.0,7,4.8
2.0,3.0,8,4.94
3.0,4.0,1,4.3
3.0,4.0,2,4.3
3.0,4.0,3,4.32
3.0,4.0,4,4.39
3.0,4.0,5,4.46
3.0,4.0,6,4.6
3.0,4.0,7,4.89
3.0,4.0,8,5.03
4.0,5.0,1,4.38
4.0,5.0,2,4.38
4.0,5.0,3,4.39
4.0,5.0,4,4.47
4.0,5.0,5,4.54
4.0,5.0,6,4.69
4.0,5.0,7,4.98
4.0,5.0,8,5.12
5.0,6.0,1,4.46
