weight_lbs_lower,weight_lbs_upper,zone,rate
0.0,0.0625,1,4.22
0.0,0.0625,2,4.22
0.0,0.0625,3,5.06
0.0,0.0625,4,5.1
0.0,0.0625,5,5.1
0.0,0.0625,6,5.11
0.0,0.0625,7,5.11
0.0,0.0625,8,5.11
0.0625,0.125,1,4.22
0.0625,0.125,2,4.22
0.0625,0.125,3,5.07
0.0625,0.125,4,5.1
0.0625,0.125,5,5.1
0.0625,0.125,6,5.11
0.0625,0.125,7,5.12
0.0625,0.125,8,5.14
0.125,0.1875,1,4.22
0.125,0.1875,2,4.22
0.125,0.1875,3,5.07
0.125,0.1875,4,5.1
0.125,0.1875,5,5.1
0.125,0.1875,6,5.13
0.125,0.1875,7,5.14
0.125,0.1875,8,5.17
0.1875,0.25,1,4.22
0.1875,0.25,2,4.22
0.1875,0.25,3,5.08
0.1875,0.25,4,5.1
0.1875,0.25,5,5.11
0.1875,0.25,6,5.13
0.1875,0.25,7,5.14
0.1875,0.25,8,5.17
0.25,0.3125,1,4.26
0.25,0.3125,2,4.26
0.25,0.3125,3,5.08
0.25,0.3125,4,5.13
0.25,0.3125,5,5.14
0.25,0.3125,6,5.14
0.25,0.3125,7,5.16
0.25,0.3125,8,5.18
0.3125,0.375,1,4.29
0.3125,0.375,2,4.29
0.3125,0.375,3,5.08
0.3125,0.375,4,5.13
0.3125,0.375,5,5.14
0.3125,0.375,6,5.17
0.3125,0.375,7,5.18
0.3125,0.375,8,5.2
0.375,0.4375,1,4.29
0.375,0.4375,2,4.29
0.375,0.4375,3,5.08
0.375,0.4375,4,5.13
0.375,0.4375,5,5.14
0.375,0.4375,6,5.17
0.375,0.4375,7,5.2
0.375,0.4375,8,5.22
0.4375,0.5,1,4.33
0.4375,0.5,2,4.33
0.4375,0.5,3,5.08
0.4375,0.5,4,5.13
0.4375,0.5,5,5.14
0.4375,0.5,6,5.17
0.4375,0.5,7,5.21
0.4375,0.5,8,5.23
0.5,0.5625,1,4.4
0.5,0.5625,2,4.4
0.5,0.5625,3,5.27
0.5,0.5625,4,5.34
0.5,0.5625,5,5.39
0.5,0.5625,6,5.41
0.5,0.5625,7,5.41
0.5,0.5625,8,5.42
0.5625,0.625,1,4.4
0.5625,0.625,2,4.4
0.5625,0.625,3,5.31
0.5625,0.625,4,5.34
0.5625,0.625,5,5.4
0.5625,0.625,6,5.42
0.5625,0.625,7,5.43
0.5625,0.625,8,5.47
0.625,0.6875,1,4.41
0.625,0.6875,2,4.41
0.625,0.6875,3,5.31
0.625,0.6875,4,5.34
0.625,0.6875,5,5.42
0.625,0.6875,6,5.42
0.625,0.6875,7,5.44
0.625,0.6875,8,5.47
0.6875,0.75,1,4.41
0.6875,0.75,2,4.41
0.6875,0.75,3,5.31
0.6875,0.75,4,5.34
0.6875,0.75,5,5.43
0.6875,0.75,6,5.43
0.6875,0.75,7,5.44
0.6875,0.75,8,5.49
0.75,0.8125,1,4.63
0.75,0.8125,2,4.63
0.75,0.8125,3,5.39
0.75,0.8125,4,5.42
0.75,0.8125,5,5.48
0.75,0.8125,6,5.64
0.75,0.8125,7,5.64
0.75,0.8125,8,5.67
0.8125,0.875,1,4.67
0.8125,0.875,2,4.67
0.8125,0.875,3,5.39
0.8125,0.875,4,5.42
0.8125,0.875,5,5.48
0.8125,0.875,6,5.64
0.8125,0.875,7,5.66
0.8125,0.875,8,5.69
0.875,0.9375,1,4.71
0.875,0.9375,2,4.71
0.875,0.9375,3,5.39
0.875,0.9375,4,5.42
0.875,0.9375,5,5.48
0.875,0.9375,6,5.64
0.875,0.9375,7,5.67
0.875,0.9375,8,5.7
0.9375,1.0,1,4.71
0.9375,1.0,2,4.71
0.9375,1.0,3,5.47
0.9375,1.0,4,5.61
