weight_lbs_lower,weight_lbs_upper,zone,rate
0.0,0.25,1,3.91
0.0,0.25,2,3.96
0.0,0.25,3,3.99
0.0,0.25,4,4.11
0.0,0.25,5,4.21
0.0,0.25,6,4.37
0.0,0.25,7,4.47
0.0,0.25,8,4.67
0.0,0.25,9,5.79
0.25,0.5,1,3.95
0.25,0.5,2,3.99
0.25,0.5,3,4.02
0.25,0.5,4,4.14
0.25,0.5,5,4.3
0.25,0.5,6,4.6
0.25,0.5,7,4.71
0.25,0.5,8,4.99
0.25,0.5,9,6.14
0.5,0.75,1,4.3
0.5,0.75,2,4.35
0.5,0.75,3,4.45
0.5,0.75,4,4.61
0.5,0.75,5,4.87
0.5,0.75,6,5.3
0.5,0.75,7,5.47
0.5,0.75,8,5.86
0.5,0.75,9,6.5
0.75,0.999938,1,4.54
0.75,0.999938,2,4.59
0.75,0.999938,3,4.68
0.75,0.999938,4,4.88
0.75,0.999938,5,5.22
0.75,0.999938,6,5.75
0.75,0.999938,7,5.95
0.75,0.999938,8,6.36
0.75,0.999938,9,7.68
0.999938,1.0,1,5.66
0.999938,1.0,2,5.68
0.999938,1.0,3,5.85
0.999938,1.0,4,6.21
0.999938,1.0,5,7.0
0.999938,1.0,6,8.01
0.999938,1.0,7,8.27
0.999938,1.0,8,8.97
0.999938,1.0,9,9.78
1.0,2.0,1,5.77
1.0,2.0,2,5.86
1.0,2.0,3,5.96
1.0,2.0,4,6.47
1.0,2.0,5,7.02
1.0,2.0,6,8.2
1.0,2.0,7,8.58
1.0,2.0,8,9.55
1.0,2.0,9,11.82
2.0,3.0,1,6.24
2.0,3.0,2,6.24
2.0,3.0,3,6.55
2.0,3.0,4,7.02
2.0,3.0,5,8.28
2.0,3.0,6,9.9
2.0,3.0,7,10.43
2.0,3.0,8,11.64
2.0,3.0,9,14.48
3.0,4.0,1,6.54
3.0,4.0,2,6.59
3.0,4.0,3,6.98
3.0,4.0,4,7.77
3.0,4.0,5,9.28
3.0,4.0,6,11.26
3.0,4.0,7,11.93
3.0,4.0,8,13.5
3.0,4.0,9,16.58
4.0,5.0,1,6.7
4.0,5.0,2,6.74
4.0,5.0,3,7.16
4.0,5.0,4,8.02
4.0,5.0,5,9.68
4.0,5.0,6,11.79
4.0,5.0,7,12.57
4.0,5.0,8,14.29
4.0,5.0,9,17.67
5.0,6.0,1,6.92
5.0,6.0,2,6.98
5.0,6.0,3,7.45
5.0,6.0,4,8.41
5.0,6.0,5,10.29
5.0,6.0,6,12.64
5.0,6.0,7,13.51
5.0,6.0,8,15.48
5.0,6.0,9,19.05
6.0,7.0,1,7.04
6.0,7.0,2,7.09
6.0,7.0,3,7.6
6.0,7.0,4,8.62
6.0,7.0,5,10.63
6.0,7.0,6,13.1
6.0,7.0,7,14.04
6.0,7.0,8,16.14
6.0,7.0,9,20.11
7.0,8.0,1,7.14
7.0,8.0,2,7.2
7.0,8.0,3,7.74
7.0,8.0,4,8.8
7.0,8.0,5,10.93
7.0,8.0,6,13.5
7.0,8.0,7,14.52
7.0,8.0,8,16.72
7.0,8.0,9,21.1
8.0,9.0,1,7.28
8.0,9.0,2,7.34
8.0,9.0,3,7.9
8.0,9.0,4,9.02
8.0,9.0,5,11.3
8.0,9.0,6,13.99
8.0,9.0,7,15.08
8.0,9.0,8,17.42
8.0,9.0,9,22.21
9.0,10.0,1,7.45
9.0,10.0,2,7.51
9.0,10.0,3,8.09
9.0,10.0,4,9.27
9.0,10.0,5,11.68
9.0,10.0,6,14.52
9.0,10.0,7,15.68
9.0,10.0,8,18.18
9.0,10.0,9,23.36
10.0,11.0,1,7.9
10.0,11.0,2,7.96
10.0,11.0,3,8.54
10.0,11.0,4,9.78
10.0,11.0,5,12.3
10.0,11.0,6,15.23
10.0,11.0,7,16.54
10.0,11.0,8,19.23
10.0,11.0,9,25.24
11.0,12.0,1,8.1
11.0,12.0,2,8.16
11.0,12.0,3,8.77
11.0,12.0,4,10.09
11.0,12.0,5,12.74
11.0,12.0,6,15.84
11.0,12.0,7,17.22
11.0,12.0,8,20.09
11.0,12.0,9,26.5
12.0,13.0,1,8.29
12.0,13.0,2,8.37
12.0,13.0,3,9.01
12.0,13.0,4,10.38
12.0,13.0,5,13.21
12.0,13.0,6,16.46
12.0,13.0,7,17.92
12.0,13.0,8,20.96
12.0,13.0,9,27.78
13.0,14.0,1,8.49
13.0,14.0,2,8.57
13.0,14.0,3,9.23
13.0,14.0,4,10.68
13.0,14.0,5,13.66
13.0,14.0,6,17.1
13.0,14.0,7,18.63
13.0,14.0,8,21.85
13.0,14.0,9,29.09
14.0,15.0,1,8.67
14.0,15.0,2,8.75
14.0,15.0,3,9.46
14.0,15.0,4,10.98
14.0,15.0,5,14.12
14.0,15.0,6,17.75
14.0,15.0,7,19.36
14.0,15.0,8,22.75
14.0,15.0,9,30.37
15.0,16.0,1,8.86
15.0,16.0,2,8.95
15.0,16.0,3,9.66
15.0,16.0,4,11.27
15.0,16.0,5,14.6
15.0,16.0,6,18.4
15.0,16.0,7,20.1
15.0,16.0,8,23.65
15.0,16.0,9,31.65
16.0,17.0,1,9.03
16.0,17.0,2,9.13
16.0,17.0,3,9.88
16.0,17.0,4,11.57
16.0,17.0,5,15.01
16.0,17.0,6,18.99
16.0,17.0,7,20.75
16.0,17.0,8,24.49
16.0,17.0,9,32.7
17.0,18.0,1,9.22
17.0,18.0,2,9.32
17.0,18.0,3,10.12
17.0,18.0,4,11.87
17.0,18.0,5,15.46
17.0,18.0,6,19.61
17.0,18.0,7,21.46
17.0,18.0,8,25.37
17.0,18.0,9,33.83
18.0,19.0,1,9.4
18.0,19.0,2,9.51
18.0,19.0,3,10.34
18.0,19.0,4,12.17
18.0,19.0,5,15.9
18.0,19.0,6,20.23
18.0,19.0,7,22.15
18.0,19.0,8,26.23
18.0,19.0,9,34.94
19.0,20.0,1,9.63
19.0,20.0,2,9.76
19.0,20.0,3,10.65
19.0,20.0,4,12.49
19.0,20.0,5,16.5
19.0,20.0,6,21.16
19.0,20.0,7,23.37
19.0,20.0,8,27.52
19.0,20.0,9,37.3
20.0,21.0,1,17.01
20.0,21.0,2,17.99
20.0,21.0,3,19.03
20.0,21.0,4,20.08
20.0,21.0,5,24.09
20.0,21.0,6,29.24
20.0,21.0,7,35.05
20.0,21.0,8,39.72
20.0,21.0,9,39.72
21.0,22.0,1,18.29
21.0,22.0,2,19.55
21.0,22.0,3,20.82
21.0,22.0,4,22.19
21.0,22.0,5,27.17
21.0,22.0,6,33.91
21.0,22.0,7,40.95
21.0,22.0,8,45.96
21.0,22.0,9,45.96
22.0,23.0,1,19.82
22.0,23.0,2,21.34
22.0,23.0,3,22.97
22.0,23.0,4,25.21
22.0,23.0,5,31.43
22.0,23.0,6,39.98
22.0,23.0,7,48.18
22.0,23.0,8,53.98
22.0,23.0,9,53.98
23.0,24.0,1,21.6
23.0,24.0,2,23.3
23.0,24.0,3,25.49
23.0,24.0,4,29.18
23.0,24.0,5,36.88
23.0,24.0,6,47.38
23.0,24.0,7,56.75
23.0,24.0,8,63.76
23.0,24.0,9,63.76
24.0,25.0,1,23.34
24.0,25.0,2,25.4
24.0,25.0,3,28.34
24.0,25.0,4,33.79
24.0,25.0,5,43.36
24.0,25.0,6,53.83
24.0,25.0,7,63.66
24.0,25.0,8,72.3
24.0,25.0,9,72.3
25.0,26.0,1,24.22
25.0,26.0,2,26.46
25.0,26.0,3,29.77
25.0,26.0,4,36.08
25.0,26.0,5,46.62
25.0,26.0,6,57.06
25.0,26.0,7,67.13
25.0,26.0,8,76.57
25.0,26.0,9,76.57
26.0,27.0,1,25.09
26.0,27.0,2,27.53
26.0,27.0,3,31.21
26.0,27.0,4,38.4
26.0,27.0,5,49.86
26.0,27.0,6,60.31
26.0,27.0,7,70.59
26.0,27.0,8,80.88
26.0,27.0,9,80.88
27.0,28.0,1,25.8
27.0,28.0,2,28.33
27.0,28.0,3,32.17
27.0,28.0,4,39.58
27.0,28.0,5,51.52
27.0,28.0,6,62.39
27.0,28.0,7,73.07
27.0,28.0,8,83.72
27.0,28.0,9,83.72
28.0,29.0,1,26.49
28.0,29.0,2,29.11
28.0,29.0,3,33.11
28.0,29.0,4,40.74
28.0,29.0,5,53.17
28.0,29.0,6,64.43
28.0,29.0,7,75.5
28.0,29.0,8,86.55
28.0,29.0,9,86.55
29.0,30.0,1,27.18
29.0,30.0,2,29.88
29.0,30.0,3,34.03
29.0,30.0,4,41.88
29.0,30.0,5,54.79
29.0,30.0,6,66.46
29.0,30.0,7,77.9
29.0,30.0,8,89.34
29.0,30.0,9,89.34
30.0,31.0,1,27.84
30.0,31.0,2,30.66
30.0,31.0,3,34.94
30.0,31.0,4,43.0
30.0,31.0,5,56.38
30.0,31.0,6,68.44
30.0,31.0,7,80.27
30.0,31.0,8,92.09
30.0,31.0,9,92.09
31.0,32.0,1,28.51
31.0,32.0,2,31.42
31.0,32.0,3,35.83
