weight_lbs_lower,weight_lbs_upper,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9
0,0.25,3.43,3.46,3.49,3.59,3.68,3.83,3.91,4.09,4.09
0.25,0.5,3.43,3.46,3.49,3.59,3.74,4.00,4.12,4.38,4.38
0.5,0.75,3.70,3.74,3.82,3.97,4.23,4.65,4.79,5.15,5.15
0.75,1,4.33,4.37,4.47,4.67,5.00,5.52,5.71,6.12,6.12
1,2,5.23,5.78,5.99,6.46,7.38,8.29,9.02,9.91,9.91
2,3,6.11,6.14,6.45,7.08,7.99,9.42,10.50,11.73,11.73
3,4,6.40,6.45,6.83,7.60,9.06,10.99,11.67,13.20,13.20
4,5,6.54,6.58,7.00,7.85,9.46,11.53,12.28,13.97,13.97
5,6,6.78,6.84,7.30,8.25,10.09,12.40,13.26,15.18,15.18
6,7,6.90,6.94,7.45,8.46,10.42,12.86,13.78,15.85,15.85
7,8,6.99,7.05,7.58,8.62,10.73,13.25,14.25,16.40,16.40
8,9,7.14,7.19,7.74,8.84,11.09,13.73,14.79,17.11,17.11
9,10,7.30,7.36,7.92,9.09,11.47,14.25,15.39,17.84,17.84
10,11,7.74,7.79,8.37,9.59,12.07,14.95,16.23,18.88,18.88
11,12,7.93,8.00,8.60,9.89,12.50,15.54,16.90,19.72,19.72
12,13,8.13,8.20,8.82,10.18,12.95,16.15,17.59,20.57,20.57
13,14,8.32,8.39,9.05,10.48,13.40,16.78,18.29,21.45,21.45
14,15,8.51,8.58,9.27,10.77,13.86,17.41,19.00,22.34,22.34
15,16,8.68,8.76,9.48,11.06,14.32,18.07,19.73,23.22,23.22
16,17,8.86,8.95,9.69,11.34,14.73,18.63,20.37,24.04,24.04
17,18,9.04,9.13,9.92,11.65,15.16,19.26,21.07,24.91,24.91
18,19,9.21,9.33,10.13,11.94,15.60,19.86,21.74,25.76,25.76
19,20,9.45,9.57,10.45,12.25,16.19,20.77,22.94,27.02,27.02
20,100,62.00,62.00,62.00,62.00,62.00,62.00,62.00,62.00,62.00
