weight_lbs_lower,weight_lbs_upper,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
0,0.25,3.55,3.58,3.61,3.71,3.84,3.98,4.06,4.23
0.25,0.5,3.55,3.58,3.61,3.71,3.90,4.15,4.26,4.51
0.5,0.75,3.81,3.85,3.92,4.07,4.36,4.76,4.90,5.24
0.75,1,4.41,4.45,4.54,4.73,5.10,5.59,5.77,6.16
1,2,5.26,5.79,5.99,6.43,7.36,8.22,8.92,9.76
2,3,6.10,6.13,6.42,7.02,7.94,9.30,10.32,11.49
3,4,6.53,6.57,6.93,7.67,9.35,11.19,11.83,13.29
4,5,6.66,6.70,7.10,7.90,9.73,11.70,12.41,14.02
5,6,6.89,6.94,7.38,8.28,10.33,12.53,13.34,15.17
6,7,7.00,7.04,7.52,8.48,10.65,12.96,13.84,15.80
7,8,7.09,7.14,7.65,8.64,10.94,13.33,14.28,16.33
8,9,7.23,7.28,7.80,8.84,11.28,13.79,14.80,17.00
9,10,7.38,7.44,7.97,9.08,11.64,14.28,15.37,17.70
10,11,8.10,8.15,8.70,9.86,12.71,15.45,16.67,19.18
11,12,8.28,8.35,8.92,10.14,13.12,16.01,17.30,19.98
12,13,8.47,8.54,9.13,10.42,13.55,16.59,17.96,20.79
13,14,8.65,8.72,9.34,10.70,13.98,17.19,18.62,21.63
14,15,8.83,8.90,9.55,10.98,14.41,17.79,19.30,22.47
15,16,8.99,9.07,9.75,11.25,14.85,18.41,19.99,23.31
16,17,9.16,9.25,9.95,11.52,15.24,18.95,20.60,24.09
17,18,9.33,9.42,10.17,11.81,15.65,19.54,21.26,24.91
18,19,9.50,9.61,10.37,12.09,16.07,20.11,21.90,25.72
19,20,9.72,9.84,10.67,12.38,16.63,20.98,23.04,26.92
