zip_code,shipping_state,phx_zone,cmh_zone,das
95613,California,4,5,EDAS
19711,Delaware,8,4,NO
10119,New York,8,5,EDAS
29303,South Carolina,7,4,EDAS
48866,Michigan,7,4,NO
92570,California,3,5,NO
96094,California,5,5,EDAS
38635,Mississippi,6,4,EDAS
45662,Ohio,7,2,NO
75132,Texas,4,5,NO
33101,Florida,8,5,NO
75226,Texas,5,5,NO
92159,California,4,5,NO
96092,California,5,5,EDAS
17202,Pennsylvania,8,4,DAS
92139,California,3,5,NO
92210,California,3,5,EDAS
98146,Washington,6,5,NO
33511,Florida,8,5,NO
07040,New Jersey,8,4,NO
94088,California,4,5,NO
21215,Maryland,8,4,NO
38138,Tennessee,6,4,NO
10010,New York,8,4,EDAS
92004,California,3,5,EDAS
95229,California,4,5,DAS
06107,Connecticut,8,4,NO
77546,Texas,6,5,DAS
93465,California,4,5,DAS
60091,Illinois,7,3,NO
02346,Massachusetts,8,5,NO
20782,Maryland,8,4,NO
17402,Pennsylvania,8,4,NO
49418,Michigan,7,3,NO
10590,New York,8,4,NO
25413,West Virginia,7,3,EDAS
27107,North Carolina,8,3,EDAS
18661,Pennsylvania,8,4,NO
94623,California,4,5,NO
78648,Texas,5,5,DAS
22408,Virginia,8,4,EDAS
45233,Ohio,7,2,NO
85255,Arizona,2,8,DAS
94137,California,4,5,NO
44055,Ohio,7,2,NO
44618,Ohio,7,2,NO
33559,Florida,8,5,NO
33351,Florida,8,5,NO
08525,New Jersey,8,4,DAS
45018,Ohio,7,3,NO
84047,Utah,4,4,NO
53204,Wisconsin,6,4,NO
10551,New York,8,5,NO
45211,Ohio,7,2,NO
32187,Florida,8,5,EDAS
33162,Florida,8,5,NO
91793,California,4,5,NO
07850,New Jersey,8,4,NO
08807,New Jersey,8,4,NO
23242,Virginia,8,5,NO
01041,Massachusetts,8,4,NO
93013,California,4,5,EDAS
44515,Ohio,7,2,NO
16317,Pennsylvania,8,4,EDAS
19046,Pennsylvania,8,4,NO
02155,Massachusetts,8,5,NO
91367,California,4,5,NO
92378,California,4,5,NO
32724,Florida,8,5,DAS
98513,Washington,6,5,NO
20184,District Of Columbia,8,8,DAS
20010,District Of Columbia,8,4,NO
91124,California,4,5,NO
22713,Virginia,8,5,EDAS
48442,Michigan,7,3,NO
80841,Colorado,4,8,NO
12515,New York,8,4,NO
27104,North Carolina,8,3,EDAS
55070,Minnesota,6,4,NO
48519,Michigan,7,4,NO
90303,California,4,5,NO
94553,California,5,5,NO
85731,Arizona,2,8,NO
11210,New York,8,4,NO
60044,Illinois,7,8,NO
06093,Connecticut,8,4,DAS
77474,Texas,6,5,DAS
44314,Ohio,7,3,NO
45231,Ohio,7,2,NO
92046,California,4,5,NO
91505,California,4,5,NO
17068,Pennsylvania,8,4,NO
23838,Virginia,8,4,NO
30028,Georgia,7,4,DAS
01003,Massachusetts,8,4,NO
75230,Texas,5,5,NO
38104,Tennessee,7,5,NO
80624,Colorado,4,8,EDAS
13862,New York,8,5,EDAS
85258,Arizona,2,8,NO
84774,Utah,4,4,EDAS
84601,Utah,4,4,EDAS
11104,New York,8,4,NO
48473,Michigan,7,3,NO
78617,Texas,5,5,NO
43035,Ohio,7,2,NO
60046,Illinois,7,3,NO
19520,Pennsylvania,8,4,DAS
06461,Connecticut,8,4,NO
44721,Ohio,7,2,NO
11252,New York,8,5,NO
25701,West Virginia,7,2,NO
10456,New York,8,4,NO
43137,Ohio,7,3,NO
14305,New York,8,3,NO
84115,Utah,4,4,NO
96124,California,4,5,EDAS
33469,Florida,8,5,NO
47060,Indiana,7,2,NO
48260,Michigan,7,4,NO
21794,Maryland,8,5,DAS
07310,New Jersey,8,4,NO
95648,California,5,5,NO
94574,California,5,5,EDAS
07508,New Jersey,8,4,NO
10277,New York,8,5,NO
10919,New York,8,5,DAS
24095,Virginia,8,5,DAS
08903,New Jersey,8,4,NO
94925,California,5,5,NO
92846,California,4,5,NO
49264,Michigan,7,4,EDAS
48081,Michigan,7,3,NO
98668,Washington,5,5,NO
41180,Kentucky,7,8,EDAS
92083,California,3,5,NO
60482,Illinois,7,3,NO
48275,Michigan,7,4,NO
92823,California,4,5,NO
19426,Pennsylvania,8,4,NO
32073,Florida,7,5,NO
48855,Michigan,7,3,DAS
94263,California,4,5,NO
91355,California,4,5,NO
10526,New York,8,5,DAS
06037,Connecticut,8,4,NO
90660,California,4,5,NO
48383,Michigan,7,3,NO
94249,California,4,5,NO
90733,California,4,5,NO
94070,California,5,5,NO
01603,Massachusetts,8,5,NO
78066,Texas,4,5,EDAS
13460,New York,8,5,EDAS
77039,Texas,6,5,NO
48382,Michigan,7,3,EDAS
55121,Minnesota,6,4,NO
90640,California,4,5,NO
01840,Massachusetts,8,5,NO
29730,South Carolina,7,4,NO
11514,New York,8,5,NO
34691,Florida,8,5,DAS
07451,New Jersey,8,4,NO
84092,Utah,4,4,NO
19038,Pennsylvania,8,4,NO
91803,California,4,5,NO
53555,Wisconsin,6,8,NO
95834,California,5,5,NO
08721,New Jersey,8,4,DAS
55352,Minnesota,6,4,NO
60519,Illinois,7,8,NO
45652,Ohio,7,3,EDAS
90806,California,4,5,NO
20102,District Of Columbia,8,8,NO
44307,Ohio,7,2,NO
07935,New Jersey,8,4,DAS
19804,Delaware,8,4,NO
95615,California,4,5,EDAS
80620,Colorado,4,8,DAS
90637,California,4,5,NO
33480,Florida,8,5,NO
78204,Texas,5,5,NO
75214,Texas,5,5,NO
27539,North Carolina,8,4,NO
63122,Missouri,6,4,NO
13502,New York,8,4,DAS
78263,Texas,5,5,NO
77568,Texas,6,5,EDAS
43113,Ohio,7,2,NO
43017,Ohio,7,2,NO
63113,Missouri,6,5,NO
63129,Missouri,6,4,NO
32723,Florida,8,5,NO
10994,New York,8,4,NO
48463,Michigan,7,4,NO
77466,Texas,4,5,EDAS
43050,Ohio,7,2,EDAS
40353,Kentucky,7,2,NO
45216,Ohio,7,2,NO
37189,Tennessee,7,5,DAS
80537,Colorado,4,8,EDAS
22211,Virginia,8,5,NO
45202,Ohio,7,2,NO
13057,New York,8,4,NO
27573,North Carolina,8,4,DAS
98161,Washington,5,5,NO
10107,New York,8,5,EDAS
53108,Wisconsin,7,8,NO
34685,Florida,8,5,NO
85736,Arizona,2,8,EDAS
95345,California,4,5,EDAS
30297,Georgia,7,4,NO
76002,Texas,5,5,NO
16407,Pennsylvania,8,3,NO
24066,Virginia,8,3,NO
34669,Florida,8,5,DAS
10541,New York,8,4,NO
02902,Rhode Island,8,4,NO
11237,New York,8,4,NO
22405,Virginia,8,4,EDAS
48706,Michigan,7,3,NO
60096,Illinois,7,8,NO
95351,California,4,5,NO
22035,Virginia,8,5,NO
07510,New Jersey,8,4,NO
33145,Florida,8,5,NO
10162,New York,8,5,NO
85254,Arizona,2,8,NO
78633,Texas,5,5,NO
30019,Georgia,7,4,DAS
45373,Ohio,7,2,NO
91605,California,4,5,NO
55376,Minnesota,6,4,NO
17011,Pennsylvania,8,4,NO
08690,New Jersey,8,4,NO
49202,Michigan,7,3,NO
14625,New York,8,4,NO
49301,Michigan,7,3,NO
23075,Virginia,8,4,NO
30294,Georgia,7,4,NO
02740,Massachusetts,8,5,NO
92305,California,3,5,NO
01970,Massachusetts,8,5,NO
07740,New Jersey,8,4,NO
76559,Texas,5,5,NO
49519,Michigan,7,3,NO
43136,Ohio,7,3,NO
13077,New York,8,4,NO
95070,California,4,5,NO
33023,Florida,8,5,NO
38066,Tennessee,7,4,EDAS
01432,Massachusetts,8,5,DAS
15001,Pennsylvania,8,2,NO
93775,California,4,5,NO
91031,California,4,5,NO
89191,Nevada,3,4,EDAS
49348,Michigan,7,3,NO
41230,Kentucky,7,2,DAS
11598,New York,8,4,NO
32258,Florida,7,5,NO
77047,Texas,6,5,NO
92545,California,3,5,NO
33169,Florida,8,5,NO
32080,Florida,7,5,NO
80151,Colorado,4,8,NO
13212,New York,8,4,NO
08861,New Jersey,8,4,NO
93001,California,4,5,EDAS
77356,Texas,6,5,DAS
49016,Michigan,7,4,NO
78207,Texas,5,5,NO
77461,Texas,6,5,DAS
20120,District Of Columbia,8,4,NO
43210,Ohio,7,3,NO
92109,California,3,5,NO
75152,Texas,5,5,NO
06408,Connecticut,8,8,NO
23228,Virginia,8,4,NO
84405,Utah,4,4,NO
44231,Ohio,7,2,NO
33776,Florida,7,5,NO
27408,North Carolina,8,3,EDAS
02171,Massachusetts,8,5,NO
33122,Florida,8,5,NO
07417,New Jersey,8,4,NO
30072,Georgia,7,3,NO
95190,California,4,5,NO
90633,California,4,5,NO
10924,New York,8,4,NO
55155,Minnesota,5,4,NO
11775,New York,8,5,NO
02126,Massachusetts,8,4,NO
89410,Nevada,4,4,EDAS
02045,Massachusetts,8,5,DAS
75028,Texas,5,5,NO
33314,Florida,8,5,NO
97405,Oregon,5,5,EDAS
48504,Michigan,7,3,NO
37160,Tennessee,7,3,DAS
02912,Rhode Island,8,5,NO
21778,Maryland,8,5,EDAS
08032,New Jersey,8,4,NO
44044,Ohio,7,2,NO
80934,Colorado,4,8,NO
95381,California,4,5,NO
48374,Michigan,7,4,NO
93277,California,4,5,NO
07020,New Jersey,8,4,NO
84134,Utah,3,4,NO
46290,Indiana,7,2,NO
97056,Oregon,6,5,DAS
15129,Pennsylvania,8,2,NO
01075,Massachusetts,8,4,NO
94108,California,5,5,NO
33388,Florida,8,5,NO
93662,California,4,5,NO
55424,Minnesota,6,4,NO
33566,Florida,8,5,NO
01060,Massachusetts,8,4,NO
54016,Wisconsin,6,4,NO
60025,Illinois,7,3,NO
13428,New York,8,5,DAS
78719,Texas,5,5,NO
96003,California,5,5,EDAS
43465,Ohio,7,2,NO
80603,Colorado,4,8,NO
22412,Virginia,8,5,NO
91327,California,4,5,NO
46229,Indiana,7,2,NO
18848,Pennsylvania,8,4,DAS
89711,Nevada,3,4,NO
92567,California,3,5,NO
77381,Texas,6,5,NO
84738,Utah,4,4,EDAS
94018,California,5,5,NO
84312,Utah,4,4,EDAS
95003,California,4,5,DAS
02446,Massachusetts,8,5,NO
91941,California,3,5,NO
95418,California,4,5,NO
33404,Florida,8,5,NO
91706,California,4,5,NO
92406,California,4,5,NO
10528,New York,8,4,NO
19492,Pennsylvania,8,4,NO
92711,California,4,5,NO
90087,California,4,5,NO
20872,Maryland,8,4,NO
34953,Florida,8,5,DAS
95926,California,5,5,EDAS
93428,California,4,5,EDAS
97290,Oregon,5,5,NO
37853,Tennessee,7,3,NO
97213,Oregon,6,5,NO
60445,Illinois,6,3,NO
95374,California,4,5,DAS
10701,New York,8,4,NO
85742,Arizona,2,8,NO
02324,Massachusetts,8,5,NO
44105,Ohio,7,2,NO
77060,Texas,6,5,NO
75135,Texas,5,5,DAS
12585,New York,8,5,DAS
20103,District Of Columbia,8,8,NO
60435,Illinois,7,8,NO
48162,Michigan,7,4,NO
62048,Illinois,6,8,DAS
32145,Florida,7,5,DAS
21244,Maryland,8,4,NO
10117,New York,8,5,NO
34207,Florida,8,5,DAS
08062,New Jersey,8,4,NO
27012,North Carolina,8,3,EDAS
12513,New York,8,5,DAS
20130,District Of Columbia,8,8,EDAS
53027,Wisconsin,7,4,DAS
20136,District Of Columbia,8,4,NO
34135,Florida,8,5,NO
98589,Washington,6,5,EDAS
33813,Florida,8,5,NO
37167,Tennessee,7,3,NO
12085,New York,8,5,NO
07022,New Jersey,8,4,NO
30361,Georgia,7,3,NO
33174,Florida,8,5,NO
37862,Tennessee,7,3,DAS
72350,Arkansas,6,8,DAS
60430,Illinois,7,3,NO
48272,Michigan,7,4,NO
94261,California,4,5,NO
80247,Colorado,4,8,NO
76513,Texas,5,5,NO
85381,Arizona,2,8,NO
44308,Ohio,7,3,NO
33706,Florida,7,5,DAS
53095,Wisconsin,7,4,DAS
94206,California,4,5,NO
96035,California,5,5,EDAS
06538,Connecticut,8,8,NO
32835,Florida,8,5,NO
01545,Massachusetts,8,5,NO
93661,California,4,5,EDAS
06615,Connecticut,8,8,NO
78645,Texas,5,5,NO
89706,Nevada,4,4,EDAS
12008,New York,8,5,DAS
91043,California,4,5,NO
