weight_lbs_lower,weight_lbs_upper,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
0,1,4,4,4.21,4.39,4.54,4.62,4.68
1,2,4,4.41,4.81,4.92,5.13,5.35,5.42
2,3,4.16,4.64,5.01,5.27,5.49,5.69,5.96
3,4,4.28,4.67,5.23,5.57,5.72,6.11,6.38
4,5,4.42,4.89,5.34,5.81,6.05,6.39,6.76
5,6,4.45,4.92,5.45,5.84,6.06,6.4,6.77
6,7,4.7,5,5.59,6.03,6.17,6.57,7.02
7,8,4.84,5.19,5.75,6.2,6.42,6.85,7.32
8,9,4.91,5.26,5.76,6.25,6.55,7.11,7.72
9,10,4.98,5.32,5.87,6.41,6.63,7.45,8.22
10,11,5.28,5.46,5.97,6.53,6.84,8.07,8.9
11,12,5.33,5.7,6.03,6.58,7.08,8.45,9.24
12,13,5.35,5.71,6.06,6.66,7.3,8.93,9.69
13,14,5.59,5.87,6.16,6.88,7.73,9.61,10.49
14,15,5.59,5.95,6.25,7.07,8.15,9.84,10.97
15,16,5.73,6.17,6.37,7.24,8.48,10.43,11.46
16,17,5.78,6.3,6.44,7.44,8.77,10.88,11.52
17,18,5.83,6.4,6.5,7.8,9.23,11.29,12.42
18,19,5.97,6.69,6.81,8.14,9.47,11.51,13.03
19,20,5.98,6.69,6.82,8.4,9.79,11.94,13.49
20,21,6.23,6.95,7.18,8.56,10.17,12.36,13.9
21,22,6.23,7.07,7.43,8.86,10.58,12.81,14.51
22,23,6.24,7.15,7.58,8.95,10.98,13.12,15.09
23,24,6.46,7.5,7.99,9.5,11.59,13.56,15.95
24,25,6.48,7.52,8.02,9.62,11.84,14.31,16.44
25,26,6.79,7.78,8.36,10.01,12.27,14.89,17.12
26,27,6.98,7.97,8.52,10.18,12.76,15.17,17.41
27,28,7.14,8.16,8.85,10.75,13.38,15.85,18.07
28,29,7.15,8.32,8.99,10.77,13.77,16.21,18.56
29,30,7.22,8.52,9.33,11.2,13.99,16.29,19.32
30,31,7.55,8.72,9.55,11.37,14.33,16.89,19.95
31,32,7.56,8.72,9.55,11.37,14.4,16.9,20.16
32,33,7.59,8.85,9.98,11.9,15.23,17.45,20.71
33,34,7.59,9.05,10.3,12.32,15.31,17.98,21.7
34,35,7.73,9.46,10.55,12.52,15.57,18.44,21.86
35,36,7.85,9.53,10.72,13,16.22,19.06,22.71
36,37,8.02,9.66,10.88,13.19,16.3,19.68,22.94
37,38,8.09,9.8,11.17,13.5,16.67,19.76,23.36
38,39,8.42,10.19,11.65,13.95,17.33,20.53,23.84
39,40,8.42,10.23,11.66,13.98,17.45,20.54,23.85
40,41,8.61,10.67,11.99,14.45,18.15,21.17,24.87
41,42,8.62,10.7,12.46,14.47,18.26,21.53,24.88
42,43,8.78,10.86,12.48,15.24,19.25,22.31,25.55
43,44,8.91,11.03,12.79,15.51,19.31,22.88,25.82
44,45,8.92,11.03,12.8,15.51,19.36,23.45,26
45,46,9.17,11.14,13.21,15.89,19.87,23.7,26.69
46,47,9.18,11.39,13.42,16,20.16,24.17,27.12
47,48,9.18,11.4,13.55,16.49,20.44,24.57,27.76
48,49,9.19,11.4,13.58,16.5,20.75,25.07,27.92
49,50,9.19,11.4,13.59,16.52,20.77,25.1,28.1
50,51,9.21,11.41,13.62,16.55,20.88,25.23,28.81
51,52,9.21,11.41,13.64,16.56,20.89,25.23,28.81
52,53,9.22,11.44,13.64,16.66,20.89,25.23,29.1
53,54,9.22,11.46,13.66,16.69,20.89,25.24,29.11
54,55,9.23,11.47,13.67,16.77,20.92,25.24,29.14
55,56,9.23,11.49,13.68,16.77,20.93,25.26,29.19
56,57,9.4,11.53,13.7,17.27,20.94,25.28,29.74
57,58,9.4,11.54,13.71,17.29,20.95,25.3,29.76
58,59,9.42,11.55,13.8,17.3,21.06,25.36,30.24
59,60,9.67,12,14.04,17.9,21.45,25.36,30.43
60,61,9.67,12.03,14.15,17.92,21.46,25.37,30.79
61,62,10.07,12.88,14.41,18.33,21.79,25.74,31.09
62,63,10.07,12.89,14.55,18.33,21.94,25.95,31.1
63,64,10.34,12.89,14.67,18.34,22.09,25.96,31.22
64,65,10.46,13.11,14.68,18.37,22.28,26.02,31.23
65,66,10.5,13.37,14.79,18.52,22.29,26.1,31.66
66,67,10.51,13.38,14.79,18.53,22.47,26.23,31.67
67,68,10.62,13.62,15.69,18.93,22.8,26.62,31.69
68,69,10.85,13.75,15.8,19.07,23.14,26.65,32.1
69,70,10.85,13.87,16.03,19.73,23.38,26.67,32.1
70,71,10.86,13.9,16.35,19.75,23.47,26.98,32.17
71,72,11.17,13.9,16.69,19.9,23.86,28.14,32.22
72,73,11.24,14.04,16.7,20.04,24.08,28.15,32.22
73,74,11.53,14.04,16.7,20.2,24.48,28.19,32.22
74,75,11.86,14.06,16.7,20.22,24.49,28.47,32.23
75,76,12.89,14.84,16.81,20.69,25.03,28.93,32.54
76,77,13.39,15.06,17.01,20.78,25.17,29.76,32.56
77,78,13.41,15.63,17.52,21,25.33,29.98,32.56
78,79,13.88,16.11,17.94,21.17,25.86,30.45,33.07
79,80,14.4,16.59,18.03,21.84,26.53,31.04,33.43
80,81,14.61,16.72,18.47,21.85,26.63,31.05,33.44
81,82,15.07,16.97,19.31,22.53,26.77,31.85,33.66
82,83,15.09,16.97,19.31,22.55,26.78,31.85,33.88
83,84,15.84,17.81,19.87,22.77,27.43,32.23,33.89
84,85,16.11,17.81,19.89,22.96,27.6,32.58,34.07
85,86,16.86,18.8,20.66,23.58,28.19,33.5,34.62
86,87,17.2,18.81,20.66,23.58,28.56,33.53,34.67
87,88,17.75,19.05,21.16,24.16,28.67,33.57,35.05
88,89,18.72,19.77,21.73,24.42,29.29,33.91,35.79
89,90,19.85,20.63,22.66,25.14,29.71,34.7,36.83
90,91,19.85,20.63,22.66,25.16,29.73,34.7,36.84
91,92,20.3,20.8,22.78,25.35,30.04,34.7,36.86
92,93,20.57,21.02,23.23,25.4,30.1,34.71,36.95
93,94,20.67,21.58,23.34,25.73,30.83,34.71,37.33
94,95,20.96,21.77,23.5,26.08,30.83,34.83,37.73
95,96,21.42,21.92,24.36,26.17,30.83,34.84,38.11
96,97,22.34,22.77,24.71,26.77,31.76,35.34,39.22
97,98,22.63,22.92,24.72,27.09,32.12,35.34,39.23
98,99,22.77,23.01,25.22,27.22,32.13,35.7,39.25
99,100,23.09,23.22,25.22,27.39,32.27,35.72,39.28
100,101,23.54,23.78,25.66,27.86,32.57,36.06,40.03
101,102,23.55,23.79,25.66,27.86,32.58,36.06,40.05
102,103,23.8,24.15,26.19,27.86,32.66,36.09,40.05
103,104,23.81,24.15,26.2,27.87,32.67,36.1,40.06
104,105,25.04,25.33,26.81,28.91,33.47,37.21,40.98
105,106,25.22,25.47,26.86,28.91,33.48,37.21,40.98
106,107,25.47,25.81,27.23,29,33.48,37.22,40.99
107,108,25.47,25.85,27.23,29.01,33.78,37.22,40.99
108,109,26.46,26.77,27.78,29.79,34.07,37.88,41.73
109,110,26.95,27.36,28.36,30.31,35.02,38.87,42.9
110,111,26.95,27.4,28.99,30.43,35.02,38.87,43.01
111,112,27.01,27.7,28.99,30.43,35.3,38.87,43.01
112,113,27.01,27.71,29.31,30.71,35.3,38.88,43.39
113,114,27.39,27.77,29.7,31.31,36.24,39.85,44.49
114,115,27.93,28.62,30.19,31.87,36.54,40.53,45.14
115,116,28.23,28.71,30.58,32.01,36.7,41.11,45.16
116,117,28.25,28.74,30.58,32.36,36.78,41.11,45.49
117,118,28.82,29.07,30.62,32.46,37.39,41.12,45.75
118,119,29.35,29.7,31.53,32.86,37.4,41.45,45.78
119,120,29.83,30.15,31.53,32.93,37.7,41.6,45.85
120,121,29.84,30.16,31.53,32.93,37.94,41.6,45.85
121,122,30.2,30.68,31.88,33.48,38.53,42.66,47.09
122,123,30.42,30.98,33.15,34.07,38.53,42.96,47.2
123,124,30.46,31.01,33.18,34.07,38.71,42.96,47.3
124,125,30.49,31.02,33.18,34.14,38.79,42.96,47.3
125,126,31.31,31.68,33.52,34.14,39.02,43.05,48.87
126,127,31.4,32.22,34.17,34.85,40.11,43.74,48.87
127,128,31.67,32.23,34.18,35.16,40.2,43.83,49.69
128,129,31.95,32.33,34.18,35.16,40.2,43.83,49.71
129,130,32,32.34,34.24,35.17,40.2,44.4,50.85
130,131,32.57,33.16,35.27,35.97,40.79,44.73,50.98
131,132,32.82,33.17,35.27,35.98,40.8,44.74,50.98
132,133,32.9,33.86,35.27,35.98,41.01,44.83,50.99
133,134,33.46,34.09,35.83,36.83,42.03,45.9,51.47
134,135,34.1,34.79,36.51,37.49,42.23,46.23,51.57
135,136,34.35,34.87,37.1,37.81,42.55,46.83,52.08
136,137,34.35,34.88,37.73,38.16,43.36,46.91,52.18
137,138,34.99,35.77,37.91,38.19,43.36,46.91,53.11
138,139,35.28,35.77,37.92,38.2,43.37,47.69,53.52
139,140,35.59,36.13,38.01,38.72,43.49,47.69,53.52
140,141,35.94,36.47,38.63,39.1,43.98,48.24,54.02
141,142,36.09,36.66,38.98,39.4,44.14,48.91,54.23
142,143,36.14,36.67,38.98,39.72,44.23,48.92,54.27
143,144,37.4,38.2,40.42,40.88,45.32,50.08,55.75
144,145,37.4,38.55,40.42,40.97,46,50.2,55.75
145,146,37.41,38.8,40.47,40.97,46,50.2,55.76
146,147,37.5,38.82,40.76,41.15,46.33,50.2,56.45
147,148,37.53,38.82,41.05,41.66,46.48,50.21,56.45
148,149,37.54,38.83,41.05,41.96,46.48,50.21,56.46
149,150,37.54,38.84,41.13,42.32,46.58,50.31,56.57
